time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,4139,1,0,,,,,,,,,,,,,
1024,1976,2,0,-0.04148529947269708,-0.04299159720540047,0.2,1.000825047492981,0.07766380322573241,0.34326171875,16,0.0004092704424510632,-43.99570333957672,0.023295231,-0.4178168773651123,,
1536,1678,3,0,-0.030545879824785516,-0.04263566434383392,0.2,1.0013461112976074,0.004584212263580412,0.2919921875,32,0.0004092704424510632,-44.02262842655182,0.02335091,-0.010702252388000488,-2.726912,1258.0
2048,1576,4,1,-0.02883695188211277,-0.03370637446641922,0.2,0.9983022212982178,0.0061779173847753555,0.2725830078125,48,0.0004092704424510632,-43.99014711380005,0.019019343,0.008128821849822998,-2.726912,1258.0
2560,1527,5,1,-0.02710465106065385,-0.03600870072841644,0.2,0.9973107576370239,0.00519569653988583,0.2567138671875,64,0.0004092704424510632,-43.91057503223419,0.01760138,0.018285155296325684,-2.7410449999999997,1258.0
3072,1494,6,2,-0.024595015551312827,-0.021326439455151558,0.2,0.9979123473167419,0.013131773157510906,0.2738037109375,80,0.0004092704424510632,-43.907893896102905,0.01747822,0.012723982334136963,-2.7410449999999997,1258.0
3584,1474,7,2,-0.030206328083295375,-0.03165788948535919,0.2,0.9979748725891113,0.004384931635286193,0.28076171875,96,0.0004092704424510632,-43.92129564285278,0.02280818,0.02610880136489868,-2.7410449999999997,1258.0
4096,1451,8,2,-0.02589978146716021,-0.029433734714984894,0.2,0.9981908202171326,0.002601323096314445,0.255126953125,112,0.0004092704424510632,-43.92116105556488,0.015455115,0.055896759033203125,-2.7596949999999993,1258.0
4608,1439,9,3,-0.02610001017455943,-0.026456769555807114,0.2,0.9954420924186707,0.02493096503894776,0.2242431640625,128,0.0004092704424510632,-43.891369104385376,0.015572195,0.01519101858139038,-2.7596949999999993,1258.0
5120,1429,10,3,-0.03249970584874973,-0.041632842272520065,0.2,0.9939219355583191,0.004239604386384599,0.3106689453125,144,0.0004092704424510632,-43.80915451049805,0.023975197,0.1491565704345703,-2.7923937499999996,1258.0
