time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,3945,1,0,,,,,,,,,,,,,
1024,1921,2,0,-0.0315321561320161,-0.035983383655548096,0.2,0.9995261430740356,0.1006645030756772,0.26123046875,16,0.0004092704424510632,-43.97857666015625,0.020630356,-1.211275577545166,,
1536,1623,3,0,-0.027469199907500297,-0.030042007565498352,0.2,0.9982704520225525,0.003541502810548991,0.2791748046875,32,0.0004092704424510632,-43.95253944396973,0.020736396,0.051224350929260254,-2.695506,1258.0
2048,1519,4,1,-0.02543726662406698,-0.028197050094604492,0.2,0.9969043135643005,0.00811903148132842,0.259765625,48,0.0004092704424510632,-43.91040587425232,0.016159136,0.008188605308532715,-2.695506,1258.0
2560,1461,5,1,-0.03258360981999431,-0.04064682871103287,0.2,0.9965959191322327,0.005679045061697252,0.2957763671875,64,0.0004092704424510632,-43.88157093524933,0.022250876,0.06774479150772095,-2.7480025,1258.0
3072,1425,6,2,-0.026298703262000345,-0.022553611546754837,0.2,0.9948348999023438,0.016496827505761757,0.2950439453125,80,0.0004092704424510632,-43.85526204109192,0.017905492,0.017178833484649658,-2.7480025,1258.0
3584,1402,7,2,-0.03167947998736054,-0.042638279497623444,0.2,0.993304967880249,0.003693755599670112,0.2723388671875,96,0.0004092704424510632,-43.79657518863678,0.017880563,0.04002422094345093,-2.7480025,1258.0
4096,1383,8,2,-0.02816846195491962,-0.03844386711716652,0.2,0.9931026101112366,0.002356131444685161,0.258544921875,112,0.0004092704424510632,-43.76732325553894,0.018114604,0.10381197929382324,-2.6667116666666666,1258.0
4608,1370,9,3,-0.03070337328244932,-0.03568810969591141,0.2,0.9915811419487,0.02862668933812529,0.2777099609375,128,0.0004092704424510632,-43.74909293651581,0.01807381,0.015887200832366943,-2.6667116666666666,1258.0
5120,1360,10,3,-0.0341594069468556,-0.047240857034921646,0.2,0.9901835322380066,0.005211430230701808,0.300537109375,144,0.0004092704424510632,-43.6951984167099,0.019328885,0.3718363642692566,-2.68779075,1258.0
5632,1350,11,4,-0.026032289013528498,-0.027166258543729782,0.2,0.9884631633758545,0.029851064318791032,0.26220703125,160,0.0004092704424510632,-43.64769697189331,0.018239565,0.1197250485420227,-2.68779075,1258.0
6144,1342,12,4,-0.025330647127702832,-0.026998400688171387,0.2,0.9881408214569092,0.0034850243173423223,0.2327880859375,176,0.0004092704424510632,-43.61107909679413,0.01781648,0.2922036647796631,-2.68779075,1258.0
