time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_range,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,4167,1,0,,,,,,,,,,,,,
1024,2017,2,0,-0.03114177379757166,-0.04231644794344902,0.2,1.0001658201217651,0.10429748782189563,0.274169921875,16,0.0004092704424510632,-43.992146372795105,0.019447798,-0.8714041709899902,,
1536,1713,3,0,-0.033496863063191995,-0.040089547634124756,0.2,0.9988025426864624,0.0038888160925125703,0.3226318359375,32,0.0004092704424510632,-43.97338593006134,0.022363422,0.06255286931991577,-2.782899,1258.0
2048,1585,4,1,-0.022854325507069007,-0.029892977327108383,0.2,0.9957756996154785,0.012328174896538258,0.2235107421875,48,0.0004092704424510632,-43.90468347072601,0.013675995,-0.0034688711166381836,-2.782899,1258.0
2560,1513,5,1,-0.03096866078703897,-0.041325923055410385,0.2,0.9977162480354309,0.0044908995550940745,0.295654296875,64,0.0004092704424510632,-43.86757028102875,0.023127638,0.05711007118225098,-2.775947,1258.0
3072,1474,6,2,-0.024838647252181545,-0.014428921043872833,0.2,0.9985218644142151,0.019880174775607884,0.2894287109375,80,0.0004092704424510632,-43.930041670799255,0.019088913,0.00488126277923584,-2.775947,1258.0
3584,1452,7,2,-0.02433014733833261,-0.03284330293536186,0.2,0.999962568283081,0.0044435218660510145,0.2811279296875,96,0.0004092704424510632,-43.9536098241806,0.01883797,0.01786625385284424,-2.775947,1258.0
4096,1433,8,2,-0.024983433133456856,-0.04166115075349808,0.2,0.998510479927063,0.0029285495402291417,0.253662109375,112,0.0004092704424510632,-43.96912670135498,0.019882537,0.05406367778778076,-2.7625996666666666,1258.0
4608,1417,9,3,-0.02878837509342702,-0.031091531738638878,0.2,0.9980172514915466,0.033725730783771724,0.3040771484375,128,0.0004092704424510632,-43.92370319366455,0.023177054,0.0037050247192382812,-2.7625996666666666,1258.0
5120,1405,10,3,-0.02723461776622571,-0.038492824882268906,0.2,0.9973526000976562,0.00513239685096778,0.278076171875,144,0.0004092704424510632,-43.912964940071106,0.01616507,0.17840737104415894,-2.7864744999999997,1258.0
5632,1398,11,4,-0.02566829969873652,-0.019976355135440826,0.2,0.9953964352607727,0.04384957766160369,0.2237548828125,160,0.0004092704424510632,-43.87428820133209,0.015309083,0.008466780185699463,-2.7864744999999997,1258.0
6144,1391,12,4,-0.0315552335960092,-0.040229782462120056,0.2,0.9940475225448608,0.0030811324031674303,0.2913818359375,176,0.0004092704424510632,-43.813881516456604,0.021327931,0.6399757862091064,-2.7864744999999997,1258.0
6656,1386,13,4,-0.02808961422124412,-0.045362964272499084,0.2,0.9919676184654236,0.002730807475018082,0.252197265625,192,0.0004092704424510632,-43.76472282409668,0.016553693,0.24783211946487427,-2.7493255999999997,1258.0
7168,1380,14,5,-0.02543091582629131,-0.016133656725287437,0.2,0.9905513525009155,0.0502832765923813,0.2828369140625,208,0.0004092704424510632,-43.70576632022858,0.019624459,0.03167223930358887,-2.7493255999999997,1258.0
7680,1376,15,5,-0.03133207088103518,-0.0454285629093647,0.2,0.9911074638366699,0.004212527055642568,0.273681640625,224,0.0004092704424510632,-43.68355929851532,0.018855806,0.24644654989242554,-2.7676175,1258.0
8192,1372,16,5,-0.02436318065156229,-0.006453275680541992,0.2,0.9910507202148438,0.05490706046111882,0.288818359375,240,0.0004092704424510632,-43.70503902435303,0.020075094,0.14173603057861328,-2.7676175,1258.0
8704,1369,17,6,-0.02985406236257404,-0.039514731615781784,0.2,0.9918494820594788,0.005974797917588148,0.2490234375,256,0.0004092704424510632,-43.70535111427307,0.019265164,0.12566858530044556,-2.7676175,1258.0
9216,1366,18,6,-0.02410471043549478,-0.033192187547683716,0.2,0.9921885132789612,0.004071047202160116,0.2264404296875,272,0.0004092704424510632,-43.72615444660187,0.016385946,0.27885568141937256,-2.7806155714285716,1258.0
9728,1365,19,7,-0.02341891484684311,-0.008828980848193169,0.2,0.9907545447349548,0.06721632240805775,0.2921142578125,288,0.0004092704424510632,-43.71238303184509,0.025615964,0.055954813957214355,-2.7806155714285716,1258.0
10240,1363,20,7,-0.022874942718772218,-0.039243441075086594,0.2,0.9911304712295532,0.00479068310232833,0.2347412109375,304,0.0004092704424510632,-43.68489325046539,0.015155347,-0.3904827833175659,-2.7692309999999996,1258.0
10752,1362,21,7,-0.024112584549584426,0.001092221587896347,0.2,0.990021288394928,0.08609539538156241,0.24072265625,320,0.0004092704424510632,-43.681145548820496,0.018392608,0.17981910705566406,-2.7692309999999996,1258.0
11264,1360,22,8,-0.024723508271563333,-0.007953353226184845,0.2,0.989996612071991,0.00641969709249679,0.2523193359375,336,0.0004092704424510632,-43.65112364292145,0.023212105,-0.4807537794113159,-2.7692309999999996,1258.0
11776,1358,23,8,-0.021568562980974093,-0.03526076674461365,0.2,0.9885518550872803,0.0032814561200211756,0.2056884765625,352,0.0004092704424510632,-43.64211308956146,0.014650586,0.3285380005836487,-2.794807666666666,1258.0
