train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,time/total_timesteps,time/episodes,time/fps,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates,rollout/ep_rew_mean
-156.597900390625,1223.0,441,0.0008459126528049375,4892,4,11,-123.06979370117188,1.1927056312561035,0.019204135984182358,4791,-4.44058475
-47.867767333984375,1223.0,898,0.0008459126528049375,9784,8,10,-128.78482055664062,2.5496444702148438,0.0011405685218051076,9683,-3.515028
-29.657262802124023,1223.0,1354,0.0008459126528049375,14676,12,10,-130.72633361816406,93.21346282958984,0.0011996491812169552,14575,-2.7600855
72.70023345947266,1223.0,1809,0.0008459126528049375,19568,16,10,-135.394775390625,44.98833465576172,0.000961333338636905,19467,-2.476462625
52.49277114868164,1223.0,2262,0.0008459126528049375,24460,20,10,-139.89117431640625,49.61792755126953,0.0011554739903658628,24359,-2.2632536
1.515547513961792,1223.0,404,0.0008459126528049375,29352,24,10,-141.9454345703125,4.182684421539307,0.0013318228302523494,29251,-2.1161709583333335
5.465579509735107,1223.0,854,0.0008459126528049375,34244,28,10,-141.7989959716797,4.838132858276367,0.0011053967755287886,34143,-2.012447892857143
57.41032028198242,1223.0,1311,0.0008459126528049375,39136,32,10,-137.79502868652344,43.36274719238281,0.0006276878993958235,39035,-1.95438915625
78.51203918457031,1223.0,1773,0.0008459126528049375,44028,36,10,-138.1336212158203,4.9625043869018555,0.0006436706753447652,43927,-1.900515888888889
-4.607320785522461,1223.0,2228,0.0008459126528049375,48920,40,10,-137.07025146484375,22.715648651123047,0.0015195163432508707,48819,-1.830206175
-69.41551971435547,1223.0,339,0.0008459126528049375,53812,44,11,-127.68059539794922,15.07540512084961,0.0006512089748866856,53711,-1.7980062727272725
11.321484565734863,1223.0,779,0.0008459126528049375,58704,48,11,-111.3265380859375,6.226387977600098,0.0013357418356463313,58603,-1.7498994166666666
0.8393455147743225,1223.0,1234,0.0008459126528049375,63596,52,11,-90.30979919433594,11.975086212158203,0.0009185318485833704,63495,-1.7255587307692306
-13.283111572265625,1223.0,1684,0.0008459126528049375,68488,56,10,-83.5246810913086,11.265871047973633,0.0009106987272389233,68387,-1.6995711785714285
-11.69452953338623,1223.0,2137,0.0008459126528049375,73380,60,10,-70.43116760253906,15.167760848999023,0.0021867912728339434,73279,-1.6748367333333334
-74.82870483398438,1223.0,314,0.0008459126528049375,78272,64,10,-59.9892578125,17.379745483398438,0.002060111379250884,78171,-1.64850990625
28.029918670654297,1223.0,789,0.0008459126528049375,83164,68,10,-59.27779769897461,7.0648040771484375,0.0005862292600795627,83063,-1.633336132352941
30.433225631713867,1223.0,1263,0.0008459126528049375,88056,72,10,-57.58156967163086,2.7864933013916016,0.0005310862907208502,87955,-1.6131740833333332
