train/learning_rate,time/episodes,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/n_updates,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,time/fps,time/time_elapsed,train/actor_loss
0.0008459126528049375,4,-4.328596,-172.16395568847656,0.017139075323939323,4927,5028,1257.0,2.3400912284851074,11,444,-123.63629150390625
0.0008459126528049375,8,-3.264273625,10.202394485473633,0.001294479239732027,9955,10056,1257.0,4.004039764404297,11,900,-130.2406768798828
0.0008459126528049375,12,-2.6481136666666667,-38.416053771972656,0.0011477116495370865,14983,15084,1257.0,3.532526969909668,11,1361,-122.7812271118164
0.0008459126528049375,16,-2.3213100625000003,-30.679668426513672,0.0013239718973636627,20011,20112,1257.0,3.526933193206787,11,1821,-98.42195892333984
0.0008459126528049375,20,-2.1073182000000004,2.411602020263672,0.0006252014427445829,25039,25140,1257.0,12.220075607299805,11,12,-98.17628479003906
0.0008459126528049375,24,-1.9643747916666667,31.991342544555664,0.0008711738046258688,30067,30168,1257.0,1.4598281383514404,10,472,-99.2047119140625
0.0008459126528049375,28,-1.8500228928571427,69.71728515625,0.00031171314185485244,35095,35196,1257.0,2.4741530418395996,10,932,-95.15860748291016
0.0008459126528049375,32,-1.7558120625000002,243.18341064453125,0.0008319253684021533,40123,40224,1257.0,19.16827964782715,10,1391,-86.27867126464844
0.0008459126528049375,36,-1.7037978333333337,-9.237849235534668,0.0008718744502402842,45151,45252,1257.0,2.0989651679992676,10,1847,-76.76424407958984
0.0008459126528049375,40,-1.664504575,-59.11809158325195,0.0008453854243271053,50179,50280,1257.0,4.0517683029174805,11,25,-66.47869110107422
0.0008459126528049375,44,-1.6271982272727272,0.5436127185821533,0.0015268309507519007,55207,55308,1257.0,12.821276664733887,10,483,-50.48451232910156
0.0008459126528049375,48,-1.596665375,209.29566955566406,0.0007685270393267274,60235,60336,1257.0,49.98345184326172,10,940,-37.35941696166992
0.0008459126528049375,52,-1.5423255384615386,-19.044435501098633,0.0009231502190232277,65263,65364,1257.0,2.731903076171875,10,1398,-30.860918045043945
0.0008459126528049375,56,-1.5150030892857143,-25.39160919189453,0.0008400946971960366,70291,70392,1257.0,9.483484268188477,10,1858,-24.881120681762695
0.0008459126528049375,60,-1.4868739666666664,-26.335498809814453,0.0009466246701776981,75319,75420,1257.0,4.134360313415527,10,39,-18.19891929626465
0.0008459126528049375,64,-1.4619785625000001,68.3118896484375,0.0009673170279711485,80347,80448,1257.0,4.076906681060791,10,515,-15.331928253173828
0.0008459126528049375,68,-1.437600955882353,-5.337305545806885,0.001069357036612928,85375,85476,1257.0,2.1053366661071777,10,994,-11.708775520324707
