time/fps,train/n_updates,train/ent_coef,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,time/episodes
27,4927,0.017456499859690666,-178.1045684814453,183,1257.0,1.9124717712402344,-5.27490625,5028,0.0008459126528049375,-120.3835220336914,4
26,9955,0.0012959535233676434,-17.426166534423828,380,1257.0,2.7121710777282715,-4.123879625,10056,0.0008459126528049375,-123.25386047363281,8
27,14983,0.0010567826684564352,-62.16469955444336,554,1257.0,6.383719444274902,-3.416616,15084,0.0008459126528049375,-109.1663589477539,12
27,20011,0.0011695504654198885,-26.452381134033203,726,1257.0,3.3061790466308594,-3.1076408125,20112,0.0008459126528049375,-98.74639892578125,16
24,25039,0.000825874914880842,-90.72613525390625,5,1257.0,3.956061840057373,-2.93975125,25140,0.0008459126528049375,-77.15878295898438,20
27,30067,0.0006086499197408557,-41.65476608276367,186,1257.0,1.9222813844680786,-2.7973089583333333,30168,0.0008459126528049375,-75.81884765625,24
28,35095,0.00041967895231209695,48.74037551879883,360,1257.0,1.3588073253631592,-2.6885289999999995,35196,0.0008459126528049375,-73.5433349609375,28
27,40123,0.0003758425882551819,28.98727035522461,546,1257.0,1.2396986484527588,-2.59059859375,40224,0.0008459126528049375,-71.58319091796875,32
28,45151,0.00033392285695299506,70.99856567382812,709,1257.0,0.4803594946861267,-2.526472138888889,45252,0.0008459126528049375,-67.8392333984375,36
32,50179,0.00015633032307960093,-57.170623779296875,8,1257.0,0.7121853828430176,-2.4765206749999997,50280,0.0008459126528049375,-64.11012268066406,40
29,55207,0.00031338323606178164,6.469452381134033,182,1257.0,0.34855180978775024,-2.415503931818182,55308,0.0008459126528049375,-59.29710006713867,44
29,60235,0.0008228866499848664,-39.957359313964844,352,1257.0,2.914135694503784,-2.3777693749999997,60336,0.0008459126528049375,-49.93018341064453,48
29,65263,0.0005839813384227455,-4.151088714599609,521,1257.0,2.625119686126709,-2.3592934807692303,65364,0.0008459126528049375,-47.68932342529297,52
29,70291,0.001277758739888668,-34.579044342041016,694,1257.0,7.989346981048584,-2.3280051071428574,70392,0.0008459126528049375,-20.192846298217773,56
34,75319,0.0005651403334923089,-10.782744407653809,12,1257.0,5.794299125671387,-2.3119520666666675,75420,0.0008459126528049375,-11.28515625,60
33,80347,0.0005298120086081326,-10.202798843383789,164,1257.0,5.529501438140869,-2.297730078125,80448,0.0008459126528049375,-7.366518974304199,64
32,85375,0.0005036413786001503,129.83804321289062,317,1257.0,8.248246192932129,-2.276161661764706,85476,0.0008459126528049375,-3.4863123893737793,68
32,90403,0.0007655301014892757,7.564371109008789,472,1257.0,4.076087951660156,-2.252067361111111,90504,0.0008459126528049375,3.5805349349975586,72
