train/learning_rate,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,train/critic_loss,train/actor_loss,time/fps,train/ent_coef,time/episodes,time/total_timesteps,train/ent_coef_loss,time/time_elapsed
0.0008459126528049375,-4.18015375,4931,1258.0,4.331857204437256,-123.66008758544922,27,0.017200978472828865,4,5032,-171.01174926757812,181
0.0008459126528049375,-3.217418125,9963,1258.0,6.591739177703857,-130.31304931640625,29,0.0011178809218108654,8,10064,-33.01868438720703,346
0.0008459126528049375,-2.5698815,14995,1258.0,7.1842570304870605,-134.4117889404297,28,0.0007564580882899463,12,15096,19.128490447998047,532
0.0008459126528049375,-2.268790375,20027,1258.0,7.327645301818848,-136.04115295410156,27,0.001027230522595346,16,20128,59.216163635253906,720
0.0008459126528049375,-2.0362029,25059,1258.0,8.846511840820312,-127.68699645996094,26,0.0005875593633390963,20,25160,32.394691467285156,6
0.0008459126528049375,-1.8674103333333332,30091,1258.0,27.611732482910156,-119.51048278808594,26,0.0014027118450030684,24,30192,9.26094913482666,194
0.0008459126528049375,-1.7664806428571427,35123,1258.0,3.6486003398895264,-120.60472106933594,26,0.0012824985897168517,28,35224,-42.9876708984375,381
0.0008459126528049375,-1.7041260625,40155,1258.0,4.423132419586182,-112.22925567626953,26,0.0006261833477765322,32,40256,-18.21864128112793,570
0.0008459126528049375,-1.6576058055555556,45187,1258.0,3.894524574279785,-88.97019958496094,27,0.0005321205244399607,36,45288,9.876591682434082,733
0.0008459126528049375,-1.6601163999999997,50219,1258.0,8.258312225341797,-77.2277603149414,33,0.00036943372106179595,40,50320,90.1553955078125,9
0.0008459126528049375,-1.6063668863636364,55251,1258.0,14.48565673828125,-67.62589263916016,33,0.0016905507072806358,44,55352,3.6381850242614746,161
0.0008459126528049375,-1.5588250416666665,60283,1258.0,70.319580078125,-62.45106887817383,32,0.0018523947801440954,48,60384,-1.1051019430160522,324
0.0008459126528049375,-1.5234982692307695,65315,1258.0,50.82417297363281,-47.57091522216797,29,0.002558405976742506,52,65416,-2.9213547706604004,515
0.0008459126528049375,-1.502849732142857,70347,1258.0,11.635396957397461,-50.130226135253906,30,0.001451569376513362,56,70448,-23.215438842773438,676
0.0008459126528049375,-1.4893735499999998,75379,1258.0,18.66345977783203,-32.1276969909668,31,0.0035559688694775105,60,75480,-37.956878662109375,15
0.0008459126528049375,-1.4678693125000002,80411,1258.0,68.9933853149414,-22.569002151489258,30,0.005352517124265432,64,80512,-9.113605499267578,178
0.0008459126528049375,-1.4270773823529415,85443,1258.0,155.97682189941406,-9.640909194946289,28,0.003148511052131653,68,85544,-2.411107301712036,375
0.0008459126528049375,-1.399520111111111,90475,1258.0,145.74551391601562,5.92924690246582,26,0.0019121040822938085,72,90576,-12.493637084960938,577
0.0008459126528049375,-1.3861694605263155,95507,1258.0,57.035362243652344,8.394965171813965,26,0.003081244882196188,76,95608,-11.797097206115723,780
