train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
4927,2.2661750316619873,5028,4,385,-4.654784500000001,1257.0,13,-123.3383560180664,0.017687108367681503,0.0008459126528049375,-166.47242736816406
9955,10.882198333740234,10056,8,778,-3.598811125,1257.0,12,-129.75099182128906,0.001430405187420547,0.0008459126528049375,49.738365173339844
14983,5.018514633178711,15084,12,1172,-2.9580016666666666,1257.0,12,-118.08493041992188,0.0009460691944696009,0.0008459126528049375,46.767051696777344
20011,5.3989667892456055,20112,16,1555,-2.6044930625,1257.0,12,-82.56201171875,0.001363634946756065,0.0008459126528049375,5.043692588806152
25039,4.911436080932617,25140,20,10,-2.4601387,1257.0,12,-77.38539123535156,0.000721214571967721,0.0008459126528049375,74.7137222290039
30067,3.1636972427368164,30168,24,396,-2.3722379166666667,1257.0,13,-77.4238052368164,0.0009877601405605674,0.0008459126528049375,-24.86946678161621
35095,12.579841613769531,35196,28,769,-2.3068577142857145,1257.0,13,-55.74431228637695,0.0009339011157862842,0.0008459126528049375,185.73968505859375
40123,105.4019775390625,40224,32,1143,-2.1995553125,1257.0,13,-49.920799255371094,0.0005541612044908106,0.0008459126528049375,-9.922622680664062
45151,0.6684386134147644,45252,36,1524,-2.1082349444444444,1257.0,13,-35.52467346191406,0.00028352721710689366,0.0008459126528049375,-3.5651938915252686
50179,1.271921157836914,50280,40,21,-2.03551395,1257.0,13,-31.800289154052734,0.0002416910429019481,0.0008459126528049375,-14.925938606262207
55207,0.27251264452934265,55308,44,407,-1.987052454545455,1257.0,13,-28.93697738647461,0.0003121623594779521,0.0008459126528049375,-26.189998626708984
60235,0.5100436210632324,60336,48,805,-1.9512475416666666,1257.0,12,-28.638853073120117,0.0002091328497044742,0.0008459126528049375,38.51372146606445
65263,1.2395544052124023,65364,52,1186,-1.8874473846153843,1257.0,12,-24.794532775878906,0.00041581832920201123,0.0008459126528049375,56.79425811767578
70291,0.5675711631774902,70392,56,1574,-1.8515586964285713,1257.0,12,-24.954668045043945,0.000330499024130404,0.0008459126528049375,27.8648624420166
75319,7.9116129875183105,75420,60,33,-1.811394333333333,1257.0,12,-15.312238693237305,0.0015532514080405235,0.0008459126528049375,77.86339569091797
80347,4.233449935913086,80448,64,468,-1.801833125,1257.0,11,-6.752552032470703,0.0010239046532660723,0.0008459126528049375,50.19435501098633
85375,3.2317752838134766,85476,68,896,-1.7868348529411764,1257.0,11,-1.2420849800109863,0.0005242751212790608,0.0008459126528049375,-16.539363861083984
90403,1.8871042728424072,90504,72,1325,-1.7637135833333333,1257.0,11,2.5533483028411865,0.0005446962895803154,0.0008459126528049375,-1.292090654373169
