train/n_updates,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate
4927,2.6712698936462402,-4.70731475,0.017043892294168472,1257.0,4,492,10,-120.6493911743164,-171.2792205810547,5028,0.0008459126528049375
9955,21.40215492248535,-3.6531811249999997,0.0010406002402305603,1257.0,8,988,10,-125.70088195800781,58.33541488647461,10056,0.0008459126528049375
14983,7.814323902130127,-2.948479333333333,0.0015371200861409307,1257.0,12,1482,10,-120.17318725585938,-29.237552642822266,15084,0.0008459126528049375
20011,3.234015941619873,-2.5343288125,0.0011219929438084364,1257.0,16,1973,10,-108.18402099609375,46.39926528930664,20112,0.0008459126528049375
25039,2.5240015983581543,-2.2695334000000003,0.0007556379423476756,1257.0,20,13,10,-102.78667449951172,-56.48065948486328,25140,0.0008459126528049375
30067,1.2500234842300415,-2.1330988333333334,0.00034489305107854307,1257.0,24,523,9,-104.20378875732422,-21.030223846435547,30168,0.0008459126528049375
35095,1.646566390991211,-1.997566392857143,0.00043127237586304545,1257.0,28,1009,10,-99.94074249267578,-27.466272354125977,35196,0.0008459126528049375
40123,1.5883103609085083,-1.8985098750000002,0.0005034248461015522,1257.0,32,1502,10,-84.40032958984375,30.177078247070312,40224,0.0008459126528049375
45151,3.718867540359497,-1.8467605277777777,0.00040600349893793464,1257.0,36,2003,10,-66.66236877441406,20.807960510253906,45252,0.0008459126528049375
50179,6.957345962524414,-1.794583575,0.003052235348150134,1257.0,40,26,10,-40.0088996887207,-48.44709777832031,50280,0.0008459126528049375
55207,4.066760540008545,-1.7638581818181824,0.0007483816589228809,1257.0,44,513,10,-30.285011291503906,10.620710372924805,55308,0.0008459126528049375
60235,5.960355758666992,-1.7517494375000002,0.0008734744624234736,1257.0,48,998,10,0.47306719422340393,-79.94613647460938,60336,0.0008459126528049375
