time/fps,train/ent_coef_loss,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,train/learning_rate,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss
12,-177.44281005859375,4,1258.0,-4.4358059999999995,0.01747252233326435,399,0.0008459126528049375,5032,4931,-122.25067901611328,1.2310845851898193
12,-49.66439437866211,8,1258.0,-3.379990875,0.0012364942813292146,787,0.0008459126528049375,10064,9963,-131.73724365234375,3.3501505851745605
12,10.323762893676758,12,1258.0,-2.8304030833333336,0.0007425218936987221,1183,0.0008459126528049375,15096,14995,-134.0625457763672,2.514590263366699
12,16.317367553710938,16,1258.0,-2.5589206874999997,0.0017904790583997965,1577,0.0008459126528049375,20128,20027,-136.18455505371094,2.7722911834716797
13,56.460044860839844,20,1258.0,-2.39797,0.0007300988654606044,12,0.0008459126528049375,25160,25059,-142.7031707763672,2.7560949325561523
12,123.09249877929688,24,1258.0,-2.281828125,0.0005882593686692417,412,0.0008459126528049375,30192,30091,-140.7588348388672,4.551104545593262
12,-12.544940948486328,28,1258.0,-2.1708755357142855,0.0005655876011587679,809,0.0008459126528049375,35224,35123,-139.59857177734375,3.8671071529388428
12,76.69180297851562,32,1258.0,-2.09138625,0.0007193856290541589,1199,0.0008459126528049375,40256,40155,-141.13687133789062,3.2537949085235596
12,46.208534240722656,36,1258.0,-2.06567875,0.0012743932893499732,1589,0.0008459126528049375,45288,45187,-137.64080810546875,3.311518907546997
13,6.443076133728027,40,1258.0,-2.0323440749999997,0.001028026221320033,24,0.0008459126528049375,50320,50219,-137.74476623535156,42.749420166015625
12,-27.450700759887695,44,1258.0,-1.9908950681818178,0.0013922273647040129,432,0.0008459126528049375,55352,55251,-132.6748504638672,42.40480041503906
12,64.23416137695312,48,1258.0,-1.9502101041666666,0.001029016450047493,831,0.0008459126528049375,60384,60283,-130.1324920654297,23.19536590576172
12,12.713496208190918,52,1258.0,-1.9394939423076922,0.0010859986068680882,1247,0.0008459126528049375,65416,65315,-126.09269714355469,11.283413887023926
12,-20.90373992919922,56,1258.0,-1.91972125,0.0011833852622658014,1642,0.0008459126528049375,70448,70347,-105.92584991455078,3.437716007232666
11,42.809303283691406,60,1258.0,-1.8790496333333333,0.0014015091583132744,40,0.0008459126528049375,75480,75379,-96.61001586914062,5.436598777770996
11,-8.67194938659668,64,1258.0,-1.864084421875,0.0013964346144348383,460,0.0008459126528049375,80512,80411,-71.17731475830078,18.461692810058594
11,-71.86318969726562,68,1258.0,-1.8467307499999999,0.0014002525713294744,894,0.0008459126528049375,85544,85443,-61.67874526977539,6.443879127502441
11,24.238842010498047,72,1258.0,-1.8367255694444442,0.0005196698475629091,1330,0.0008459126528049375,90576,90475,-45.777584075927734,1.3299493789672852
