train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/critic_loss
-123.62545776367188,30,164,-4.5866342499999995,0.017532428726553917,-163.03555297851562,4,0.0008459126528049375,1258.0,4931,5032,2.5610060691833496
-129.856689453125,30,335,-3.582044625,0.0011970018967986107,-31.2840518951416,8,0.0008459126528049375,1258.0,9963,10064,3.7792701721191406
-135.16656494140625,29,516,-2.9193817500000008,0.0008495942456647754,-25.556499481201172,12,0.0008459126528049375,1258.0,14995,15096,4.959988594055176
-139.43142700195312,29,691,-2.587780875,0.0010426341323181987,-53.99531555175781,16,0.0008459126528049375,1258.0,20027,20128,5.834968566894531
-141.65200805664062,30,5,-2.3527412500000002,0.0007867483654990792,3.6125307083129883,20,0.0008459126528049375,1258.0,25059,25160,6.411507606506348
-136.01580810546875,29,175,-2.1899667916666665,0.0010451603448018432,9.183484077453613,24,0.0008459126528049375,1258.0,30091,30192,3.952232837677002
-125.83539581298828,29,342,-2.101567785714286,0.0007928829872980714,-6.543999671936035,28,0.0008459126528049375,1258.0,35123,35224,4.781595706939697
-126.11624145507812,29,523,-2.044476125,0.0012017091503366828,-5.161569595336914,32,0.0008459126528049375,1258.0,40155,40256,6.1588664054870605
-121.43170166015625,28,716,-1.9897166666666668,0.0011787655530497432,59.87502670288086,36,0.0008459126528049375,1258.0,45187,45288,18.50255584716797
-105.43801879882812,24,12,-1.9305726999999997,0.0011312221176922321,274.25592041015625,40,0.0008459126528049375,1258.0,50219,50320,38.940162658691406
-99.79681396484375,26,198,-1.8863719090909086,0.0006342788692563772,-22.078927993774414,44,0.0008459126528049375,1258.0,55251,55352,4.087710380554199
-93.02790069580078,28,364,-1.850322875,0.00041913200402632356,-14.235169410705566,48,0.0008459126528049375,1258.0,60283,60384,12.478601455688477
-92.48371887207031,28,537,-1.805480903846154,0.0011114432709291577,-58.92784118652344,52,0.0008459126528049375,1258.0,65315,65416,4.770650386810303
-88.35556030273438,28,722,-1.7643488392857145,0.00039523481973446906,6.45162296295166,56,0.0008459126528049375,1258.0,70347,70448,16.19888687133789
-63.060157775878906,26,17,-1.7154664166666669,0.002027958631515503,12.37596321105957,60,0.0008459126528049375,1258.0,75379,75480,17.30295753479004
-60.10552978515625,26,208,-1.6843725156250002,0.0006862655282020569,7.735615253448486,64,0.0008459126528049375,1258.0,80411,80512,5.548679351806641
-55.94633483886719,26,403,-1.6839289705882354,0.0005576823023147881,-22.941743850708008,68,0.0008459126528049375,1258.0,85443,85544,9.203388214111328
-48.41416549682617,26,586,-1.659675013888889,0.0012548617087304592,3.1621813774108887,72,0.0008459126528049375,1258.0,90475,90576,4.943673133850098
-40.023223876953125,26,773,-1.6470380657894736,0.0010364538757130504,-59.34365463256836,76,0.0008459126528049375,1258.0,95507,95608,6.015133857727051
