train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/critic_loss
-121.54168701171875,27,181,-4.623386,0.016857201233506203,-185.3565216064453,4,0.0008459126528049375,1258.0,4931,5032,1.4884896278381348
-129.89321899414062,25,390,-3.460289875,0.0008702271734364331,-76.62014770507812,8,0.0008459126528049375,1258.0,9963,10064,4.899989604949951
-133.7438507080078,25,600,-2.762541416666666,0.0012227537808939815,-48.541908264160156,12,0.0008459126528049375,1258.0,14995,15096,5.3803911209106445
-137.87496948242188,25,786,-2.35370875,0.0012184205697849393,100.53461456298828,16,0.0008459126528049375,1258.0,20027,20128,10.298528671264648
-140.648681640625,32,4,-2.15028525,0.00044308355427347124,106.08057403564453,20,0.0008459126528049375,1258.0,25059,25160,5.757530212402344
-139.26841735839844,26,195,-2.0290560833333333,0.0006743883714079857,-1.604029893875122,24,0.0008459126528049375,1258.0,30091,30192,8.928138732910156
-114.73240661621094,27,367,-1.935383,0.0011447033612057567,-33.51347732543945,28,0.0008459126528049375,1258.0,35123,35224,12.895759582519531
-115.69659423828125,27,559,-1.872024375,0.0006678995559923351,-59.014408111572266,32,0.0008459126528049375,1258.0,40155,40256,4.968666076660156
-115.39364624023438,27,744,-1.8047755277777777,0.0005544207524508238,-2.166029214859009,36,0.0008459126528049375,1258.0,45187,45288,4.107140064239502
-111.37321472167969,27,11,-1.733904425,0.0005700640613213181,62.57448196411133,40,0.0008459126528049375,1258.0,50219,50320,3.393710136413574
-104.69715118408203,28,185,-1.712585181818182,0.0005029506864957511,-10.11188793182373,44,0.0008459126528049375,1258.0,55251,55352,2.448452949523926
-73.85294342041016,27,375,-1.6940546666666665,0.0009811142226681113,52.486087799072266,48,0.0008459126528049375,1258.0,60283,60384,16.96041488647461
-69.39533233642578,28,544,-1.682707519230769,0.000910487724468112,-45.56277847290039,52,0.0008459126528049375,1258.0,65315,65416,14.759760856628418
-64.26497650146484,28,722,-1.6636386964285717,0.0008706102380529046,-38.701927185058594,56,0.0008459126528049375,1258.0,70347,70448,6.861175060272217
-51.8410758972168,23,20,-1.6651221833333336,0.0007339493022300303,-3.9158244132995605,60,0.0008459126528049375,1258.0,75379,75480,7.507983207702637
-39.527557373046875,25,212,-1.64571346875,0.0006030135555192828,24.690710067749023,64,0.0008459126528049375,1258.0,80411,80512,6.094468116760254
-40.49850845336914,25,406,-1.6144299411764707,0.0005730606499128044,-94.90911102294922,68,0.0008459126528049375,1258.0,85443,85544,11.192623138427734
-30.92214012145996,26,590,-1.5895429027777779,0.000906586938071996,-21.011516571044922,72,0.0008459126528049375,1258.0,90475,90576,5.01461124420166
-24.07404136657715,26,770,-1.5744847499999999,0.0010087521513924003,-20.388076782226562,76,0.0008459126528049375,1258.0,95507,95608,6.811086654663086
