time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,0,512,3829,,,,,,,,,,,,,
2,0,1024,1764,16,0.1898193359375,-43.97865307331085,-0.022111827798653394,0.011879359,0.2,0.0004092704424510632,-0.03843938931822777,-1.034346342086792,0.9991680383682251,0.15432081896142336,,
3,1,1536,1498,32,0.18603515625,-43.94771873950958,-0.02077098911104258,0.01353859,0.2,0.0004092704424510632,-0.03154996037483215,-0.008101344108581543,0.9984601140022278,0.0024938507776823826,-2.118824,1258.0
4,1,2048,1391,48,0.2774658203125,-43.95190119743347,-0.030353371403180063,0.017767962,0.2,0.0004092704424510632,-0.03340281546115875,-0.0095750093460083,0.999862551689148,0.022350752085912973,-2.118824,1258.0
5,1,2560,1334,64,0.2733154296875,-43.97675800323486,-0.02450005934224464,0.01690473,0.2,0.0004092704424510632,-0.027953915297985077,0.0031126737594604492,0.9991157054901123,0.002432207726087654,-2.1369815,1258.0
6,2,3072,1303,80,0.2933349609375,-43.942097902297974,-0.02359286160208285,0.020995643,0.2,0.0004092704424510632,-0.03777594119310379,-0.00026404857635498047,0.9984533190727234,0.011794474674388766,-2.1369815,1258.0
7,2,3584,1284,96,0.26123046875,-43.92907774448395,-0.026597521355142817,0.019317769,0.2,0.0004092704424510632,-0.033958837389945984,0.0006379485130310059,0.9980653524398804,0.0011401830379327293,-2.1369815,1258.0
8,3,4096,1268,112,0.2523193359375,-43.93682515621185,-0.02264462591847405,0.016055513,0.2,0.0004092704424510632,-0.02505241334438324,0.0018009543418884277,0.9994708299636841,0.004326427457272075,-2.1203413333333336,1258.0
9,3,4608,1256,128,0.2572021484375,-43.94395434856415,-0.026030276334495284,0.01650298,0.2,0.0004092704424510632,-0.04016958549618721,-0.0003675222396850586,0.997439444065094,0.003456949896644801,-2.1203413333333336,1258.0
10,4,5120,1245,144,0.199462890625,-43.89287889003754,-0.02211655754945241,0.013208464,0.2,0.0004092704424510632,-0.03948422893881798,-9.500980377197266e-05,0.9973980784416199,0.0018945880601677345,-2.1201327500000002,1258.0
11,4,5632,1238,160,0.3199462890625,-43.90540671348572,-0.03203548205783591,0.025779296,0.2,0.0004092704424510632,-0.046923208981752396,0.0014324188232421875,0.997903048992157,0.004654007738281507,-2.1201327500000002,1258.0
12,4,6144,1231,176,0.2064208984375,-43.88725554943085,-0.022028927895007655,0.01568254,0.2,0.0004092704424510632,-0.037311576306819916,0.0040667057037353516,0.9958405494689941,0.0013106810711178696,-2.1201327500000002,1258.0
13,5,6656,1224,192,0.26123046875,-43.83895003795624,-0.0265941544494126,0.020055728,0.2,0.0004092704424510632,-0.043160002678632736,0.007055342197418213,0.9958041906356812,0.004894676174444612,-2.1231852000000004,1258.0
14,5,7168,1221,208,0.248046875,-43.852473974227905,-0.028661588643444702,0.018181544,0.2,0.0004092704424510632,-0.047453563660383224,0.01377260684967041,0.9959606528282166,0.0031893681225483306,-2.1231852000000004,1258.0
15,6,7680,1215,224,0.2386474609375,-43.83989417552948,-0.02067696352605708,0.017158272,0.2,0.0004092704424510632,-0.037373971194028854,0.0120810866355896,0.995384156703949,0.0024257198092527688,-2.104601666666667,1258.0
16,6,8192,1212,240,0.2467041015625,-43.803841948509216,-0.027328822572599165,0.019365385,0.2,0.0004092704424510632,-0.03578944504261017,0.002110302448272705,0.9935195446014404,0.00961106433533132,-2.104601666666667,1258.0
17,7,8704,1208,256,0.211181640625,-43.75558960437775,-0.020381144277052954,0.013193279,0.2,0.0004092704424510632,-0.030481481924653053,0.01977372169494629,0.9930517077445984,0.0015588420719723217,-2.104601666666667,1258.0
18,7,9216,1204,272,0.231201171875,-43.76218378543854,-0.02332952551660128,0.016763803,0.2,0.0004092704424510632,-0.03626558929681778,0.019811689853668213,0.993908166885376,0.004255088773788884,-2.098626142857143,1258.0
19,8,9728,1202,288,0.27880859375,-43.76622462272644,-0.027117537596495822,0.020630306,0.2,0.0004092704424510632,-0.03558345139026642,0.03585761785507202,0.9929717183113098,0.013602539023850113,-2.098626142857143,1258.0
20,8,10240,1200,304,0.2479248046875,-43.72232401371002,-0.028763721908035222,0.01773657,0.2,0.0004092704424510632,-0.03170939162373543,0.11711925268173218,0.9912202954292297,0.0029157615135773085,-2.117168,1258.0
21,8,10752,1198,320,0.2659912109375,-43.67232429981232,-0.025720560952322558,0.021090545,0.2,0.0004092704424510632,-0.027855709195137024,0.0069901347160339355,0.9903103709220886,0.021588592557236552,-2.117168,1258.0
22,9,11264,1196,336,0.196533203125,-43.652204394340515,-0.020175595840555616,0.01412948,0.2,0.0004092704424510632,-0.031030211597681046,-0.2433922290802002,0.9894513487815857,0.0011447082015365595,-2.117168,1258.0
23,9,11776,1195,352,0.2525634765625,-43.62545037269592,-0.029104956949595362,0.020161064,0.2,0.0004092704424510632,-0.03954897075891495,0.027262747287750244,0.9888030886650085,0.003981021713116206,-2.1188977777777778,1258.0
24,10,12288,1193,368,0.2144775390625,-43.59809768199921,-0.024168621108401567,0.016906068,0.2,0.0004092704424510632,-0.024686364457011223,0.018983125686645508,0.9876571297645569,0.02554251567926258,-2.1188977777777778,1258.0
25,10,12800,1192,384,0.239990234375,-43.5697021484375,-0.025754877016879618,0.02076751,0.2,0.0004092704424510632,-0.03593015670776367,0.12549269199371338,0.9875586628913879,0.0025007309814100154,-2.119323,1258.0
26,11,13312,1191,400,0.2471923828125,-43.566715478897095,-0.026202441978966817,0.02047998,0.2,0.0004092704424510632,-0.02900003455579281,0.10946416854858398,0.9869529604911804,0.026668930076994002,-2.119323,1258.0
27,11,13824,1190,416,0.2548828125,-43.52619481086731,-0.032573455886449665,0.019843455,0.2,0.0004092704424510632,-0.042674798518419266,0.22471565008163452,0.985162615776062,0.0017758691865310539,-2.119323,1258.0
28,12,14336,1188,432,0.232177734375,-43.46006989479065,-0.024888345462386496,0.015920952,0.2,0.0004092704424510632,-0.028930770233273506,0.7169373035430908,0.9827796220779419,0.0031920778346830048,-2.1241523636363637,1258.0
