time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,0,512,3733,,,,,,,,,,,,,
2,0,1024,1777,16,0.22412109375,-44.00660848617554,-0.025743230216903612,0.018960504,0.2,0.0004092704424510632,-0.02054254151880741,-1.1014845371246338,1.0013455152511597,0.11708253089454956,,
3,1,1536,1525,32,0.275390625,-44.03211307525635,-0.031263790660887025,0.017987218,0.2,0.0004092704424510632,-0.039882488548755646,-0.08419013023376465,1.0013929605484009,0.0024897260700527113,-2.310896,1258.0
4,1,2048,1425,48,0.306884765625,-44.01931715011597,-0.031484715902479365,0.019309137,0.2,0.0004092704424510632,-0.03935844451189041,0.02195608615875244,1.0006463527679443,0.0037507870656554587,-2.310896,1258.0
5,1,2560,1373,64,0.2484130859375,-43.982152819633484,-0.023987503183889203,0.015685547,0.2,0.0004092704424510632,-0.02843339554965496,0.01973581314086914,0.9990321397781372,0.002779441529128235,-2.283609,1258.0
6,2,3072,1340,80,0.2926025390625,-43.942777037620544,-0.027632619297946803,0.017520051,0.2,0.0004092704424510632,-0.0390494130551815,0.015544712543487549,0.9985226988792419,0.008520781906554475,-2.283609,1258.0
7,2,3584,1317,96,0.2645263671875,-43.91362679004669,-0.029493226145859808,0.015855981,0.2,0.0004092704424510632,-0.03495389223098755,0.020003676414489746,0.9965872764587402,0.0011049098557123216,-2.283609,1258.0
8,3,4096,1302,112,0.2464599609375,-43.86553466320038,-0.024827152519719675,0.01625691,0.2,0.0004092704424510632,-0.04109611734747887,0.05088937282562256,0.9962322115898132,0.0037779566991957836,-2.20963,1258.0
9,3,4608,1288,128,0.215576171875,-43.85863471031189,-0.02238678088178858,0.01129519,0.2,0.0004092704424510632,-0.03227446228265762,0.028553009033203125,0.995554506778717,0.009981830808101222,-2.20963,1258.0
10,4,5120,1276,144,0.2269287109375,-43.83541762828827,-0.025302040769020095,0.01704612,0.2,0.0004092704424510632,-0.03801710903644562,0.07193052768707275,0.9949515461921692,0.0016055831147241406,-2.1599292500000002,1258.0
11,4,5632,1269,160,0.203369140625,-43.793373346328735,-0.01943558005586965,0.015089527,0.2,0.0004092704424510632,-0.017616115510463715,0.018249154090881348,0.9931069612503052,0.01815374754369259,-2.1599292500000002,1258.0
12,4,6144,1260,176,0.271484375,-43.744890570640564,-0.028399429196724668,0.028994419,0.2,0.0004092704424510632,-0.0432683490216732,0.14861321449279785,0.9924582839012146,0.0016022961353883147,-2.1599292500000002,1258.0
13,5,6656,1254,192,0.3201904296875,-43.73423671722412,-0.03263401277945377,0.02588144,0.2,0.0004092704424510632,-0.04395710676908493,0.059343039989471436,0.9921174645423889,0.004564663075143471,-2.1536124,1258.0
14,5,7168,1248,208,0.2615966796875,-43.726208567619324,-0.024806166969938204,0.02514977,0.2,0.0004092704424510632,-0.00987719651311636,0.21668344736099243,0.9919002056121826,0.019622777035692707,-2.1536124,1258.0
15,6,7680,1242,224,0.2513427734375,-43.6930615901947,-0.025887584048177814,0.018220773,0.2,0.0004092704424510632,-0.034639813005924225,0.38129425048828125,0.9898684024810791,0.001311889804128441,-2.1166365,1258.0
16,6,8192,1236,240,0.24560546875,-43.6330680847168,-0.023600162501679733,0.016044466,0.2,0.0004092704424510632,-0.030116992071270943,0.3815227150917053,0.9884528517723083,0.016286953061353415,-2.1166365,1258.0
17,7,8704,1234,256,0.2115478515625,-43.59941875934601,-0.021238035202259198,0.017579615,0.2,0.0004092704424510632,-0.03401392325758934,-0.05970621109008789,0.9877088665962219,0.0017089662123908056,-2.1166365,1258.0
18,7,9216,1229,272,0.2359619140625,-43.60000014305115,-0.024160486544133164,0.019173652,0.2,0.0004092704424510632,-0.03730432316660881,0.6930917501449585,0.9886906147003174,0.0030275427816377487,-2.126117,1258.0
19,7,9728,1226,288,0.2021484375,-43.630205512046814,-0.02352677276940085,0.016539868,0.2,0.0004092704424510632,-0.02265113592147827,0.4062073230743408,0.9890928864479065,0.02137061781832017,-2.126117,1258.0
20,8,10240,1222,304,0.24755859375,-43.62152457237244,-0.028588981338543817,0.01919129,0.2,0.0004092704424510632,-0.04493087902665138,0.08601123094558716,0.9878185391426086,0.0036689887492684647,-2.1442035,1258.0
21,8,10752,1222,320,0.266845703125,-43.567628383636475,-0.02568051332127652,0.028411174,0.2,0.0004092704424510632,-0.03254909813404083,0.6191697120666504,0.9863131046295166,0.017297159123700112,-2.1442035,1258.0
22,9,11264,1220,336,0.21142578125,-43.52995777130127,-0.02328381728148088,0.013571177,0.2,0.0004092704424510632,-0.0287650004029274,-0.7967487573623657,0.9853748083114624,0.001942207138199592,-2.1442035,1258.0
23,9,11776,1218,352,0.1922607421875,-43.49093806743622,-0.023810587619664147,0.015641749,0.2,0.0004092704424510632,-0.03911001235246658,0.42988908290863037,0.9837475419044495,0.003237072261981666,-2.1240293333333335,1258.0
24,10,12288,1216,368,0.259765625,-43.45713150501251,-0.02815566788194701,0.024427725,0.2,0.0004092704424510632,-0.023384738713502884,0.3895910382270813,0.9835582971572876,0.019926960667362437,-2.1240293333333335,1258.0
25,10,12800,1215,384,0.2601318359375,-43.450695276260376,-0.02921650215284899,0.02493736,0.2,0.0004092704424510632,-0.045049965381622314,-0.7945830821990967,0.9831643104553223,0.0026504041779844556,-2.1354142,1258.0
