time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
21,8,10752,1253,320,0.2022705078125,-44.18092322349548,-0.018478739744750783,0.01363453,0.2,0.0004092704424510632,-0.0052292225882411,0.024650514125823975,1.0062506198883057,0.02880230318987742,-2.155142625,1258.0
22,8,11264,1252,336,0.27783203125,-44.15846920013428,-0.029354331403737888,0.018952202,0.2,0.0004092704424510632,-0.040437016636133194,-0.32629144191741943,1.0056276321411133,0.001409919590514619,-2.155142625,1258.0
23,9,11776,1251,352,0.2799072265625,-44.142019510269165,-0.02606012098840438,0.021905642,0.2,0.0004092704424510632,-0.029913824051618576,0.057369768619537354,1.005336880683899,0.004306097012886312,-2.166707444444444,1258.0
24,9,12288,1250,368,0.249267578125,-44.11748468875885,-0.020749793795403093,0.01868394,0.2,0.0004092704424510632,-0.01940697804093361,0.08177107572555542,1.0037846565246582,0.03032957634422928,-2.166707444444444,1258.0
25,10,12800,1248,384,0.21826171875,-44.083725571632385,-0.024414816063654143,0.017271385,0.2,0.0004092704424510632,-0.02737201564013958,0.1584622859954834,1.003791093826294,0.0028149084173492156,-2.1674026999999993,1258.0
26,10,13312,1246,400,0.244140625,-44.085476875305176,-0.024309069471200928,0.016429752,0.2,0.0004092704424510632,-0.02742152288556099,0.28092074394226074,1.0030711889266968,0.030189565964974463,-2.1674026999999993,1258.0
27,11,13824,1244,416,0.275390625,-44.044180035591125,-0.02909337289747782,0.023947408,0.2,0.0004092704424510632,-0.03560701012611389,0.18737584352493286,1.001786470413208,0.0031082924906513654,-2.1674026999999993,1258.0
28,11,14336,1243,432,0.248291015625,-43.9950133562088,-0.02618074312340468,0.016048873,0.2,0.0004092704424510632,-0.04184776544570923,0.7679359316825867,0.9998466968536377,0.0035290953383082524,-2.1515715454545448,1258.0
29,11,14848,1242,448,0.2818603515625,-43.942893743515015,-0.023290464960155077,0.0292272,0.2,0.0004092704424510632,-0.021952472627162933,0.4419577717781067,0.9989959597587585,0.01753454457502812,-2.1515715454545448,1258.0
30,12,15360,1241,464,0.21728515625,-43.901872754096985,-0.02483883924287511,0.0136656,0.2,0.0004092704424510632,-0.0364312008023262,-0.1214679479598999,0.9962188601493835,0.0028006276006635744,-2.1443754999999993,1258.0
31,12,15872,1241,480,0.1962890625,-43.80782389640808,-0.020473201060667634,0.018811177,0.2,0.0004092704424510632,-0.008203305304050446,0.4583290219306946,0.994030237197876,0.03142595844110474,-2.1443754999999993,1258.0
32,13,16384,1240,496,0.2587890625,-43.780824422836304,-0.02443217883410398,0.019708646,0.2,0.0004092704424510632,-0.029358448460698128,0.03194451332092285,0.9946712851524353,0.0022337444315780886,-2.160434692307692,1258.0
33,13,16896,1239,512,0.2470703125,-43.79895555973053,-0.025504597695544362,0.02253329,0.2,0.0004092704424510632,-0.013076444156467915,0.5148708820343018,0.9944363236427307,0.03539428039221093,-2.160434692307692,1258.0
34,14,17408,1238,528,0.224853515625,-43.77036499977112,-0.026043595062219538,0.015570857,0.2,0.0004092704424510632,-0.03360170125961304,-0.6232861280441284,0.9929599761962891,0.0039071131104719825,-2.160434692307692,1258.0
35,14,17920,1238,544,0.2080078125,-43.72309231758118,-0.023850926896557212,0.014629053,0.2,0.0004092704424510632,-0.03978978469967842,0.03300386667251587,0.9916571974754333,0.002454361329000676,-2.1547874285714284,1258.0
36,14,18432,1238,560,0.1912841796875,-43.679534554481506,-0.01958116434980184,0.01643596,0.2,0.0004092704424510632,-0.013460147194564342,0.1921573281288147,0.9901379346847534,0.040112672257237136,-2.1547874285714284,1258.0
37,15,18944,1237,576,0.262451171875,-43.63563537597656,-0.02790533304505516,0.023945749,0.2,0.0004092704424510632,-0.033741652965545654,-0.4379580020904541,0.9895477294921875,0.0031391351367346942,-2.1656205999999996,1258.0
38,15,19456,1237,592,0.2099609375,-43.635271430015564,-0.022698463886626996,0.022248197,0.2,0.0004092704424510632,-0.015482066199183464,0.2889043092727661,0.9896856546401978,0.049466743250377476,-2.1656205999999996,1258.0
