time/total_timesteps,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,time/time_elapsed,rollout/ep_rew_mean,time/fps
5032,1258.0,4,-168.5455322265625,0.0171677116304636,4931,1.1788148880004883,0.0008459126528049375,-123.04405212402344,484,-4.110123,10
10064,1258.0,8,-8.902585983276367,0.0009490874945186079,9963,8.099124908447266,0.0008459126528049375,-129.3638458251953,984,-3.099061375,10
15096,1258.0,12,13.668889045715332,0.0006825669552199543,14995,2.407033920288086,0.0008459126528049375,-129.28280639648438,1484,-2.4658366666666667,10
20128,1258.0,16,54.95463562011719,0.0007044848171062768,20027,7.194791793823242,0.0008459126528049375,-130.2060089111328,1966,-2.1326268749999997,10
25160,1258.0,20,-32.02696228027344,0.0007251367787830532,25059,1.9085266590118408,0.0008459126528049375,-127.70899200439453,15,-1.9216878000000002,10
30192,1258.0,24,275.635009765625,0.000548852956853807,30091,34.25897216796875,0.0008459126528049375,-107.7769775390625,504,-1.7857277083333336,10
35224,1258.0,28,-28.760398864746094,0.0009454856044612825,35123,3.9982738494873047,0.0008459126528049375,-101.68002319335938,995,-1.7003522857142859,10
40256,1258.0,32,-4.511430740356445,0.0004687481850851327,40155,32.751792907714844,0.0008459126528049375,-93.07933044433594,1479,-1.62238946875,10
45288,1258.0,36,88.74774932861328,0.0012151638511568308,45187,8.762733459472656,0.0008459126528049375,-63.04561996459961,1969,-1.5710254722222223,10
50320,1258.0,40,-53.311561584472656,0.0004938906640745699,50219,10.687370300292969,0.0008459126528049375,-60.526493072509766,31,-1.533691575,10
55352,1258.0,44,-66.23377227783203,0.0007529450231231749,55251,12.480521202087402,0.0008459126528049375,-58.659698486328125,532,-1.5106349545454543,10
60384,1258.0,48,13.87939453125,0.0006757767405360937,60283,4.680971622467041,0.0008459126528049375,-52.37964630126953,1035,-1.4832318958333335,10
