train/ent_coef_loss,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/fps,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/learning_rate
-167.55833435058594,4927,49.003299713134766,435,1257.0,0.017351742833852768,11,5028,4,-120.08052062988281,-4.8430235,0.0008459126528049375
-61.15092468261719,9955,3.2080392837524414,899,1257.0,0.0009594694711267948,11,10056,8,-125.6109619140625,-3.705869,0.0008459126528049375
-37.29735565185547,14983,40.85418701171875,1362,1257.0,0.0008569390047341585,11,15084,12,-129.05442810058594,-2.9894318333333327,0.0008459126528049375
-61.585548400878906,20011,5.849294662475586,1817,1257.0,0.000887760310433805,11,20112,16,-126.7387924194336,-2.6060871875,0.0008459126528049375
-80.15869903564453,25039,3.1785688400268555,12,1257.0,0.0009250189759768546,10,25140,20,-121.32107543945312,-2.43746145,0.0008459126528049375
135.68243408203125,30067,8.204936981201172,477,1257.0,0.0011746397940441966,10,30168,24,-105.14092254638672,-2.2663678333333332,0.0008459126528049375
18.334041595458984,35095,3.4181416034698486,937,1257.0,0.0008646486094221473,10,35196,28,-92.36762237548828,-2.1484374999999996,0.0008459126528049375
73.7756118774414,40123,15.367918968200684,1402,1257.0,0.0011409547878429294,10,40224,32,-74.32699584960938,-2.05740578125,0.0008459126528049375
35.23055648803711,45151,5.68618631362915,1871,1257.0,0.0010061250068247318,10,45252,36,-73.86740112304688,-1.9918538055555557,0.0008459126528049375
-2.2209630012512207,50179,10.331865310668945,25,1257.0,0.0006642562802881002,10,50280,40,-63.79635238647461,-1.948114975,0.0008459126528049375
-26.123577117919922,55207,3.705120086669922,484,1257.0,0.0007092819432727993,10,55308,44,-50.13822555541992,-1.9025117045454545,0.0008459126528049375
-56.061702728271484,60235,1.8416355848312378,948,1257.0,0.0008943473221734166,10,60336,48,-44.06285858154297,-1.8625319791666666,0.0008459126528049375
-17.27507781982422,65263,0.8672266006469727,1416,1257.0,0.0005337889306247234,10,65364,52,-42.1765022277832,-1.8299968461538458,0.0008459126528049375
-5.351084232330322,70291,5.859333038330078,1882,1257.0,0.0006996680749580264,10,70392,56,-36.57440185546875,-1.7957070892857143,0.0008459126528049375
-21.26637840270996,75319,3.5212864875793457,40,1257.0,0.0008538208203390241,10,75420,60,-25.58531951904297,-1.7746387166666666,0.0008459126528049375
-1.2887054681777954,80347,7.530133247375488,527,1257.0,0.0010395428398624063,10,80448,64,-21.055721282958984,-1.7418469374999999,0.0008459126528049375
-30.866043090820312,85375,3.2195940017700195,1009,1257.0,0.0007918477640487254,10,85476,68,-17.118194580078125,-1.7251144264705882,0.0008459126528049375
-46.86283874511719,90403,4.868055820465088,1484,1257.0,0.000451444648206234,10,90504,72,-12.614184379577637,-1.7063178749999999,0.0008459126528049375
