train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/critic_loss,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,time/episodes,time/fps,time/total_timesteps
4931,-122.81293487548828,-4.13320325,434,0.01757260225713253,0.7534428834915161,1258.0,-177.50357055664062,0.0008459126528049375,4,11,5032
9963,-129.41551208496094,-3.189430375,894,0.001138945110142231,2.251508951187134,1258.0,-68.29510498046875,0.0008459126528049375,8,11,10064
14995,-133.0592041015625,-2.5892353333333333,1349,0.0009742601541802287,1.3132290840148926,1258.0,25.001211166381836,0.0008459126528049375,12,11,15096
20027,-137.0229034423828,-2.2803063750000003,1804,0.000948855362366885,1.8057270050048828,1258.0,-25.79984474182129,0.0008459126528049375,16,11,20128
25059,-139.17709350585938,-2.1585639000000003,14,0.0010990719310939312,1.5176520347595215,1258.0,-40.135013580322266,0.0008459126528049375,20,11,25160
30091,-140.6200408935547,-2.033177041666667,464,0.0010489412816241384,1.665147066116333,1258.0,-27.540624618530273,0.0008459126528049375,24,11,30192
35123,-143.67523193359375,-1.9466899642857143,911,0.0007602485129609704,2.3958091735839844,1258.0,31.11661148071289,0.0008459126528049375,28,11,35224
40155,-144.84376525878906,-1.8844468125000002,1354,0.000660977850202471,4.631831169128418,1258.0,2.138889789581299,0.0008459126528049375,32,11,40256
45187,-146.32513427734375,-1.8259811944444446,1793,0.0008051471668295562,2.867417573928833,1258.0,-65.03041076660156,0.0008459126528049375,36,11,45288
50219,-146.09353637695312,-1.8141979249999998,27,0.001061449060216546,3.0683987140655518,1258.0,7.7396416664123535,0.0008459126528049375,40,11,50320
55251,-147.28173828125,-1.7795613636363634,469,0.0013779153814539313,3.8207287788391113,1258.0,53.106075286865234,0.0008459126528049375,44,11,55352
60283,-144.3748779296875,-1.7654358333333333,917,0.0013450997648760676,8.57009220123291,1258.0,-34.72195053100586,0.0008459126528049375,48,11,60384
65315,-143.70590209960938,-1.7351756923076922,1366,0.0017046851571649313,2.9031906127929688,1258.0,-37.89158630371094,0.0008459126528049375,52,11,65416
