train/ent_coef_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,train/ent_coef,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate
-168.7576446533203,1257.0,454,-4.573906,11,4927,5028,0.0172559954226017,-120.2575454711914,49.150787353515625,4,0.0008459126528049375
-33.56450653076172,1257.0,918,-3.442097,10,9955,10056,0.0008864874835126102,-125.53997802734375,3.2826085090637207,8,0.0008459126528049375
-32.47785949707031,1257.0,1385,-2.7177469166666666,10,14983,15084,0.0007980818627402186,-128.76956176757812,41.52259826660156,12,0.0008459126528049375
-1.6129446029663086,1257.0,1862,-2.3597151875,10,20011,20112,0.0009222285007126629,-128.48387145996094,4.795809745788574,16,0.0008459126528049375
16.91327667236328,1257.0,13,-2.1924949000000002,10,25039,25140,0.0009225530666299164,-119.0964584350586,4.8292694091796875,20,0.0008459126528049375
-6.090962886810303,1257.0,482,-2.061575625,10,30067,30168,0.0009105567587539554,-115.96846008300781,3.6383118629455566,24,0.0008459126528049375
64.73609161376953,1257.0,953,-1.932295392857143,10,35095,35196,0.0006427925545722246,-113.76139068603516,3.8672213554382324,28,0.0008459126528049375
-33.487831115722656,1257.0,1427,-1.8801936874999998,10,40123,40224,0.0007819722522981465,-98.80842590332031,5.140052795410156,32,0.0008459126528049375
-38.70044708251953,1257.0,1889,-1.8436730277777775,10,45151,45252,0.0015581712359562516,-72.55156707763672,4.5403265953063965,36,0.0008459126528049375
83.45894622802734,1257.0,26,-1.802327425,10,50179,50280,0.0007525394321419299,-55.70392608642578,6.538006782531738,40,0.0008459126528049375
94.35244750976562,1257.0,492,-1.7591346363636362,10,55207,55308,0.0007090276922099292,-47.133853912353516,1.5752952098846436,44,0.0008459126528049375
-62.86908721923828,1257.0,946,-1.7342809583333334,10,60235,60336,0.0009766542352735996,-38.357025146484375,6.861577033996582,48,0.0008459126528049375
-12.152016639709473,1257.0,1404,-1.6922639807692308,10,65263,65364,0.0010034313891083002,-36.45376205444336,1.5603947639465332,52,0.0008459126528049375
16.687219619750977,1257.0,1873,-1.6600323750000001,10,70291,70392,0.00045241654152050614,-33.42195129394531,1.0581183433532715,56,0.0008459126528049375
75.23217010498047,1257.0,40,-1.630566966666667,10,75319,75420,0.0004250795755069703,-29.22402572631836,20.66141128540039,60,0.0008459126528049375
-20.328514099121094,1257.0,537,-1.6083426093750002,10,80347,80448,0.0005073868087492883,-14.853841781616211,2.1709940433502197,64,0.0008459126528049375
-13.023935317993164,1257.0,1038,-1.5871206323529414,10,85375,85476,0.00047876100870780647,-11.57762622833252,0.8441413044929504,68,0.0008459126528049375
-1.8319110870361328,1257.0,1533,-1.562704111111111,10,90403,90504,0.00032573865610174835,-6.9807000160217285,1.2293932437896729,72,0.0008459126528049375
-7.434095859527588,1257.0,2030,-1.5323877236842103,10,95431,95532,0.0005323037621565163,-3.7671775817871094,1.6017951965332031,76,0.0008459126528049375
