time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
4077,512,1,0,,,,,,,,,,,,,
1918,1024,2,0,0.2,-0.040910060226451606,0.10178484473908611,-43.985729575157166,1.0000381469726562,0.0004092704424510632,-0.050249844789505005,-0.5123138427734375,16,0.2998046875,0.022525698,,
1629,1536,3,0,0.2,-0.030170594836818054,0.0035192414579796605,-43.97858726978302,0.9994200468063354,0.0004092704424510632,-0.045441884547472,0.09814697504043579,32,0.275634765625,0.017875865,-2.138421,1258.0
1510,2048,4,1,0.2,-0.02675254369387403,0.006813179541495629,-43.92275404930115,0.9960795640945435,0.0004092704424510632,-0.029350101947784424,0.0036138296127319336,48,0.276123046875,0.015964612,-2.138421,1258.0
1446,2560,5,1,0.2,-0.028788097930373624,0.002095807962177787,-43.84061026573181,0.995139479637146,0.0004092704424510632,-0.034204453229904175,0.06996214389801025,64,0.2969970703125,0.020384856,-2.1591105,1258.0
1398,3072,6,2,0.2,-0.025800728821195662,0.011148546618642285,-43.82535898685455,0.9947115778923035,0.0004092704424510632,-0.027554409578442574,-0.00027167797088623047,80,0.291748046875,0.019150874,-2.1591105,1258.0
1373,3584,7,2,0.2,-0.02840267022838816,0.0022030918626114726,-43.77827525138855,0.9918071627616882,0.0004092704424510632,-0.029724232852458954,0.04029810428619385,96,0.3026123046875,0.020765774,-2.1591105,1258.0
1357,4096,8,3,0.2,-0.02931241164333187,0.004772107989992946,-43.731542468070984,0.9927883148193359,0.0004092704424510632,-0.04036348685622215,0.028342366218566895,112,0.30810546875,0.020196322,-2.197362,1258.0
1344,4608,9,3,0.2,-0.028088684135582298,0.020400080626131967,-43.77453947067261,0.9937206506729126,0.0004092704424510632,-0.03913666680455208,0.012081921100616455,128,0.26708984375,0.020129569,-2.197362,1258.0
1333,5120,10,3,0.2,-0.024300783712533303,0.003884261295752367,-43.782992243766785,0.9935855865478516,0.0004092704424510632,-0.02683117613196373,0.38373029232025146,144,0.276123046875,0.019146275,-2.1991295,1258.0
1323,5632,11,4,0.2,-0.022423584712669253,0.02656586788361892,-43.75834012031555,0.9919639229774475,0.0004092704424510632,-0.026461079716682434,0.04646492004394531,160,0.209228515625,0.015305845,-2.1991295,1258.0
1316,6144,12,4,0.2,-0.02719654788961634,0.004668704772484489,-43.72689425945282,0.9924313426017761,0.0004092704424510632,-0.038844455033540726,-0.013259410858154297,176,0.2509765625,0.023256596,-2.1991295,1258.0
1310,6656,13,5,0.2,-0.028791918652132154,0.003270520996011328,-43.749616503715515,0.9925422668457031,0.0004092704424510632,-0.03255453333258629,0.18506991863250732,192,0.273193359375,0.016772084,-2.1869266000000005,1258.0
1305,7168,14,5,0.2,-0.024203857959946617,0.03887840604875237,-43.72771155834198,0.9915006160736084,0.0004092704424510632,-0.02326858788728714,0.05432736873626709,208,0.2197265625,0.019391147,-2.1869266000000005,1258.0
