train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,time/episodes,train/learning_rate,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/critic_loss
-122.06436157226562,30,163,-4.178872,0.017182158306241035,-166.78195190429688,4,0.0008459126528049375,1258.0,4931,5032,1.5381956100463867
-128.33399963378906,30,325,-3.176761125,0.0011380792129784822,10.180134773254395,8,0.0008459126528049375,1258.0,9963,10064,4.172215461730957
-123.407470703125,30,498,-2.76677325,0.0006759639945812523,90.63407897949219,12,0.0008459126528049375,1258.0,14995,15096,12.543240547180176
-109.45679473876953,30,665,-2.5013678125,0.0008957592071965337,69.8359146118164,16,0.0008459126528049375,1258.0,20027,20128,11.071036338806152
-97.69544982910156,26,6,-2.3210196499999998,0.0016902718925848603,-50.650596618652344,20,0.0008459126528049375,1258.0,25059,25160,7.56195068359375
-90.47337341308594,30,169,-2.1640463333333333,0.000728500250261277,-16.028472900390625,24,0.0008459126528049375,1258.0,30091,30192,5.040436267852783
-82.8949966430664,29,343,-2.053553,0.0005454632919281721,13.257444381713867,28,0.0008459126528049375,1258.0,35123,35224,2.2202022075653076
-73.67214965820312,29,509,-1.9652715625,0.0006035166443325579,-57.717952728271484,32,0.0008459126528049375,1258.0,40155,40256,2.2131333351135254
-73.08697509765625,29,686,-1.9105955555555552,0.0008151217480190098,54.702049255371094,36,0.0008459126528049375,1258.0,45187,45288,4.158451080322266
-49.59278106689453,31,10,-1.864774925,0.002312560798600316,-47.61747360229492,40,0.0008459126528049375,1258.0,50219,50320,19.223831176757812
-39.936424255371094,30,177,-1.8192912727272725,0.0008611594093963504,26.64137840270996,44,0.0008459126528049375,1258.0,55251,55352,10.700403213500977
-29.685623168945312,29,355,-1.7859158333333334,0.0010541449300944805,54.02825927734375,48,0.0008459126528049375,1258.0,60283,60384,12.740829467773438
-6.577549934387207,29,525,-1.7664237884615388,0.0005372256855480373,91.98036193847656,52,0.0008459126528049375,1258.0,65315,65416,14.581413269042969
-4.845461845397949,28,717,-1.7214492142857143,0.0005488066817633808,10.311476707458496,56,0.0008459126528049375,1258.0,70347,70448,6.0711493492126465
5.191964149475098,30,15,-1.6870477,0.0005882869008928537,-32.641048431396484,60,0.0008459126528049375,1258.0,75379,75480,4.8159661293029785
9.459850311279297,29,184,-1.654070984375,0.0008017397485673428,-71.27470397949219,64,0.0008459126528049375,1258.0,80411,80512,4.921510696411133
16.967350006103516,28,370,-1.634918411764706,0.0005114087252877653,12.795364379882812,68,0.0008459126528049375,1258.0,85443,85544,3.3786511421203613
23.435394287109375,28,555,-1.610824,0.0006970942486077547,-23.110187530517578,72,0.0008459126528049375,1258.0,90475,90576,4.727350234985352
30.280197143554688,28,731,-1.5836788947368423,0.0006632994627580047,33.59334182739258,76,0.0008459126528049375,1258.0,95507,95608,3.7184841632843018
