rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/learning_rate,time/time_elapsed,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,train/critic_loss
1257.0,10,4,-121.5584945678711,0.0008459126528049375,466,5028,0.016920799389481544,-5.279443,-166.3632354736328,4927,2.7163500785827637
1257.0,10,8,-123.7521743774414,0.0008459126528049375,948,10056,0.0012264891993254423,-4.1301077500000005,18.188854217529297,9955,9.891117095947266
1257.0,10,12,-124.2706527709961,0.0008459126528049375,1434,15084,0.0009169442346319556,-3.43341375,-22.006515502929688,14983,10.463922500610352
1257.0,10,16,-102.06997680664062,0.0008459126528049375,1918,20112,0.0012850530911237001,-3.06081075,-64.10066986083984,20011,2.576127529144287
1257.0,10,20,-96.05950927734375,0.0008459126528049375,13,25140,0.0004832122358493507,-2.9113034,-8.073675155639648,25039,3.1497910022735596
1257.0,10,24,-79.39299774169922,0.0008459126528049375,501,30168,0.0006447326159104705,-2.76750575,258.64739990234375,30067,3.7878966331481934
1257.0,10,28,-64.94900512695312,0.0008459126528049375,994,35196,0.0014259922318160534,-2.726336071428572,-16.584043502807617,35095,4.436586380004883
1257.0,10,32,-47.99320602416992,0.0008459126528049375,1492,40224,0.0008073642966337502,-2.6837510937499998,-14.389554977416992,40123,2.85898494720459
1257.0,10,36,-44.642940521240234,0.0008459126528049375,1984,45252,0.0005583866150118411,-2.606359111111111,-11.197647094726562,45151,1.276188850402832
1257.0,10,40,-30.40749168395996,0.0008459126528049375,26,50280,0.000499527610372752,-2.554668775,-70.796630859375,50179,3.9735207557678223
1257.0,10,44,-21.851165771484375,0.0008459126528049375,499,55308,0.0003715404309332371,-2.4977274545454544,58.126338958740234,55207,3.9258041381835938
1257.0,10,48,-10.113603591918945,0.0008459126528049375,972,60336,0.0005378641653805971,-2.454894833333333,-84.61155700683594,60235,3.5135209560394287
