time/episodes,train/n_updates,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
4,4927,-168.49510192871094,24,0.0008459126528049375,-4.46343525,-120.93017578125,0.017410030588507652,1.7467095851898193,5028,202,1257.0
8,9955,51.706809997558594,25,0.0008459126528049375,-3.400358125,-124.13509368896484,0.0012319767847657204,3.0542104244232178,10056,401,1257.0
12,14983,117.05352020263672,25,0.0008459126528049375,-2.7155891666666663,-113.6141586303711,0.0009901704033836722,5.933506965637207,15084,588,1257.0
16,20011,201.56613159179688,26,0.0008459126528049375,-2.381898125,-109.54295349121094,0.0005115338135510683,1.7616311311721802,20112,770,1257.0
20,25039,-5.952071189880371,30,0.0008459126528049375,-2.2109501500000004,-97.68053436279297,0.000988487619906664,9.338521957397461,25140,4,1257.0
24,30067,78.55267333984375,29,0.0008459126528049375,-2.0625605416666666,-89.3376235961914,0.0010653906501829624,4.093504428863525,30168,173,1257.0
28,35095,-8.943273544311523,29,0.0008459126528049375,-1.9650569285714286,-61.742401123046875,0.0018920192960649729,7.6206254959106445,35196,349,1257.0
32,40123,-97.6736068725586,29,0.0008459126528049375,-1.9022026250000001,-36.263397216796875,0.0009573959978297353,15.440187454223633,40224,522,1257.0
36,45151,30.424152374267578,29,0.0008459126528049375,-1.8343356111111113,-30.47078514099121,0.0009298286749981344,5.053957939147949,45252,696,1257.0
40,50179,-32.94459533691406,31,0.0008459126528049375,-1.7798862,-13.010077476501465,0.0017613203963264823,3.029440402984619,50280,8,1257.0
44,55207,45.80150604248047,31,0.0008459126528049375,-1.744297409090909,-8.164026260375977,0.000558192259632051,1.3439326286315918,55308,167,1257.0
48,60235,7.129593372344971,31,0.0008459126528049375,-1.6926371041666666,19.17455291748047,0.0023037041537463665,18.574655532836914,60336,327,1257.0
52,65263,0.7921608686447144,31,0.0008459126528049375,-1.6900392884615383,25.482393264770508,0.0006776405498385429,6.592225074768066,65364,486,1257.0
56,70291,-71.43863677978516,30,0.0008459126528049375,-1.6972161071428573,31.17914581298828,0.0005447001894935966,4.4330596923828125,70392,677,1257.0
60,75319,-36.65755081176758,29,0.0008459126528049375,-1.6815931166666667,32.976253509521484,0.0005023680278100073,3.4026994705200195,75420,14,1257.0
64,80347,3.2801947593688965,25,0.0008459126528049375,-1.6708999218749998,39.141929626464844,0.0008494739304296672,6.842613220214844,80448,211,1257.0
68,85375,2.4442873001098633,25,0.0008459126528049375,-1.6537177058823527,50.545230865478516,0.0008986777975223958,13.11691665649414,85476,403,1257.0
72,90403,-0.3195611834526062,26,0.0008459126528049375,-1.6483482083333334,60.12432098388672,0.001285403035581112,4.645890235900879,90504,587,1257.0
76,95431,45.82732391357422,26,0.0008459126528049375,-1.6459081578947368,70.87968444824219,0.0007819983875378966,6.598674297332764,95532,766,1257.0
