train/critic_loss,time/episodes,train/ent_coef,time/fps,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,train/learning_rate
0.9829926490783691,4,0.019387025386095047,66,-4.55870775,-122.54579162597656,4791,1223.0,-158.87545776367188,73,4892,0.0008459126528049375
20.005525588989258,8,0.0012364854337647557,65,-3.61222725,-128.9285888671875,9683,1223.0,28.191661834716797,149,9784,0.0008459126528049375
79.69929504394531,12,0.0006979120662435889,65,-2.9922916666666666,-118.92442321777344,14575,1223.0,323.2259826660156,225,14676,0.0008459126528049375
7.227420330047607,16,0.001165470341220498,64,-2.6849605624999997,-107.67893981933594,19467,1223.0,36.35647964477539,301,19568,0.0008459126528049375
2.606419563293457,20,0.000886655761860311,64,-2.4487481,-97.0693130493164,24359,1223.0,10.842893600463867,377,24460,0.0008459126528049375
2.3554437160491943,24,0.0005937870009802282,64,-2.2868596666666665,-87.72722625732422,29251,1223.0,61.74164962768555,67,29352,0.0008459126528049375
6.350560665130615,28,0.0004159593372605741,64,-2.143535821428571,-83.76741027832031,34143,1223.0,17.05402946472168,143,34244,0.0008459126528049375
1.341627597808838,32,0.0004776580317411572,64,-2.04531340625,-82.62200164794922,39035,1223.0,7.090305805206299,219,39136,0.0008459126528049375
2.23807954788208,36,0.0005619683070108294,64,-1.964994,-67.77780151367188,43927,1223.0,33.62469482421875,294,44028,0.0008459126528049375
3.358855962753296,40,0.0005160741275176406,64,-1.8896122749999997,-65.29277038574219,48819,1223.0,-34.30902862548828,370,48920,0.0008459126528049375
0.7833224534988403,44,0.00032230772194452584,66,-1.8578914090909087,-61.80076599121094,53711,1223.0,54.81724548339844,57,53812,0.0008459126528049375
7.2570953369140625,48,0.0007706249598413706,66,-1.8213914791666668,-42.460105895996094,58603,1223.0,29.27166748046875,130,58704,0.0008459126528049375
2.4397902488708496,52,0.00023188270279206336,66,-1.7891119615384619,-36.07099151611328,63495,1223.0,-116.81570434570312,204,63596,0.0008459126528049375
2.4342360496520996,56,0.00035928073339164257,66,-1.7606925714285713,-27.869258880615234,68387,1223.0,-6.416977882385254,278,68488,0.0008459126528049375
2.3701953887939453,60,0.00034868059447035193,66,-1.7373574166666665,-24.94672393798828,73279,1223.0,-61.32712173461914,353,73380,0.0008459126528049375
4.266772270202637,64,0.0009483862668275833,62,-1.7025326875,-16.671907424926758,78171,1223.0,-1.4337295293807983,52,78272,0.0008459126528049375
2.643770217895508,68,0.0006955542485229671,62,-1.6665727794117644,-9.9692964553833,83063,1223.0,-2.370645523071289,130,83164,0.0008459126528049375
1.1003222465515137,72,0.0005590313230641186,62,-1.6491100416666666,-7.503657341003418,87955,1223.0,-4.149681568145752,210,88056,0.0008459126528049375
1.4426171779632568,76,0.0005617534625343978,62,-1.630016960526316,-4.400572299957275,92847,1223.0,-20.6599178314209,289,92948,0.0008459126528049375
5.771451473236084,80,0.0004262883448973298,61,-1.6078314125,4.554942607879639,97739,1223.0,31.586090087890625,368,97840,0.0008459126528049375
