time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates,train/value_loss,train/std,train/clip_range,train/loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
13824,27,1641,8,0.201904296875,-43.93972957134247,-0.02416453111800365,0.0004092704424510632,0.014325315,416,0.002736746379014221,0.9989774227142334,0.2,-0.046325214207172394,-3.421323299407959,-2.6939636,1258.0
14336,28,1641,8,0.2823486328125,-43.90781581401825,-0.031795603019418195,0.0004092704424510632,0.03020699,432,0.009731127109262161,0.996802568435669,0.2,-0.04589902609586716,0.21260684728622437,-2.706508909090909,1258.0
14848,29,1641,9,0.2760009765625,-43.85193359851837,-0.02271493802254554,0.0004092704424510632,0.033970512,448,0.029991380317369476,0.9961434006690979,0.2,-0.017896682024002075,0.2600265145301819,-2.706508909090909,1258.0
15360,30,1641,9,0.208984375,-43.86953866481781,-0.02177691977703944,0.0004092704424510632,0.015471858,464,0.013713178603211418,0.9982404112815857,0.2,-0.03107628971338272,-0.1630086898803711,-2.7007348333333336,1258.0
15872,31,1641,9,0.1923828125,-43.9285386800766,-0.02189368828840088,0.0004092704424510632,0.022957448,480,0.05571454029995948,0.9991191029548645,0.2,-4.5808032155036926e-05,0.5009061694145203,-2.7007348333333336,1258.0
16384,32,1641,9,0.2147216796875,-43.931066274642944,-0.02298591633734759,0.0004092704424510632,0.01821956,496,0.002834427639754722,0.9986966848373413,0.2,-0.0328301303088665,-2.580568313598633,-2.6998149230769233,1258.0
16896,33,1641,10,0.22900390625,-43.92217993736267,-0.025127653891104273,0.0004092704424510632,0.020127734,512,0.08589959575328976,0.9987322092056274,0.2,-0.0016959458589553833,0.2156495451927185,-2.6998149230769233,1258.0
17408,34,1641,10,0.254150390625,-43.934789299964905,-0.022473708464531228,0.0004092704424510632,0.019634252,528,0.00313603561517084,0.9996013045310974,0.2,-0.03228796273469925,-2.6389122009277344,-2.6998149230769233,1258.0
17920,35,1641,10,0.2659912109375,-43.95195496082306,-0.029217544273706153,0.0004092704424510632,0.027466226,544,0.010289782716426998,0.9998363256454468,0.2,-0.036148954182863235,0.01988929510116577,-2.6969637142857144,1258.0
18432,36,1641,11,0.17578125,-43.978129744529724,-0.018294657529622782,0.0004092704424510632,0.017081052,560,0.1018500787904486,1.0012279748916626,0.2,0.0031641460955142975,0.09056150913238525,-2.6969637142857144,1258.0
18944,37,1641,11,0.256103515625,-44.00950002670288,-0.027598216984188184,0.0004092704424510632,0.020496145,576,0.008223473370890133,1.0015829801559448,0.2,-0.02079910971224308,-0.6739026308059692,-2.6917283333333333,1258.0
