train/n_updates,train/actor_loss,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,train/ent_coef,time/time_elapsed
4931,-122.81575775146484,4,0.0008459126528049375,1.704432487487793,-176.8104248046875,-4.590591,5032,22,1258.0,0.01714230328798294,226
9963,-128.7080841064453,8,0.0008459126528049375,6.175724506378174,-29.259334564208984,-3.6207249999999997,10064,21,1258.0,0.0010332695674151182,468
