time/episodes,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/actor_loss,train/n_updates
4,0.017387092113494873,1258.0,159,5032,-4.90941375,-167.9249267578125,0.0008459126528049375,31,1.6662471294403076,-121.9095458984375,4931
8,0.0012899565044790506,1258.0,344,10064,-3.8521153750000003,48.315345764160156,0.0008459126528049375,29,6.0330095291137695,-124.65465545654297,9963
12,0.0015292689204216003,1258.0,534,15096,-3.13433575,89.79374694824219,0.0008459126528049375,28,32.86085891723633,-121.26224517822266,14995
16,0.0019521594513207674,1258.0,722,20128,-2.9274673125,24.4193172454834,0.0008459126528049375,27,20.02509117126465,-93.53953552246094,20027
20,0.0011122019495815039,1258.0,5,25160,-2.6993483,1.9909778833389282,0.0008459126528049375,27,8.21859073638916,-93.51586151123047,25059
24,0.0008605732000432909,1258.0,194,30192,-2.5051494999999995,6.500042915344238,0.0008459126528049375,26,3.16066312789917,-78.96041107177734,30091
28,0.0011690441751852632,1258.0,384,35224,-2.406264607142856,-59.37432861328125,0.0008459126528049375,26,5.242568016052246,-57.51729965209961,35123
32,0.0006707515567541122,1258.0,544,40256,-2.3315734687500003,-3.813645362854004,0.0008459126528049375,28,2.7400569915771484,-56.9044303894043,40155
36,0.0005682321498170495,1258.0,708,45288,-2.2758376666666664,-2.2202951908111572,0.0008459126528049375,28,2.9265317916870117,-38.901512145996094,45187
40,0.0008944603614509106,1258.0,12,50320,-2.2421464999999996,-18.406280517578125,0.0008459126528049375,26,3.0995101928710938,-29.085206985473633,50219
44,0.0006186540704220533,1258.0,180,55352,-2.2033122499999998,-25.45758056640625,0.0008459126528049375,29,3.971728801727295,-20.901142120361328,55251
48,0.0008827880374155939,1258.0,338,60384,-2.1790817083333334,30.667415618896484,0.0008459126528049375,30,3.3963146209716797,-10.20447063446045,60283
52,0.00043885025661438704,1258.0,495,65416,-2.1497737884615384,19.66562271118164,0.0008459126528049375,31,1.3701826333999634,-6.298745155334473,65315
56,0.0007324634352698922,1258.0,652,70448,-2.1113184464285712,40.58209991455078,0.0008459126528049375,31,11.756741523742676,-5.671518802642822,70347
60,0.0005877485382370651,1258.0,15,75480,-2.079291066666667,8.028094291687012,0.0008459126528049375,30,1.2961857318878174,-2.4347500801086426,75379
64,0.0004472389118745923,1258.0,182,80512,-2.051152734375,14.093595504760742,0.0008459126528049375,30,2.013129472732544,3.2987115383148193,80411
68,0.00041016555042006075,1258.0,350,85544,-2.031923191176471,39.63985824584961,0.0008459126528049375,30,1.46515953540802,5.493043899536133,85443
72,0.000909449765458703,1258.0,518,90576,-2.0109755277777777,-28.3851261138916,0.0008459126528049375,30,6.700439453125,15.359689712524414,90475
76,0.0005727612297050655,1258.0,685,95608,-1.990038986842105,-2.3840739727020264,0.0008459126528049375,30,7.4469146728515625,22.01343536376953,95507
