time/episodes,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/actor_loss,train/n_updates
4,0.01736862026154995,1258.0,176,5032,-5.02203,-170.6136932373047,0.0008459126528049375,28,1.9321691989898682,-121.68668365478516,4931
8,0.0011796229518949986,1258.0,377,10064,-3.868712875,-28.02291488647461,0.0008459126528049375,26,19.28577995300293,-124.56753540039062,9963
12,0.0010719213169068098,1258.0,557,15096,-3.1971729166666663,-9.635884284973145,0.0008459126528049375,27,2.991664171218872,-121.92631530761719,14995
16,0.0016347139608114958,1258.0,777,20128,-2.8765720625,-108.85448455810547,0.0008459126528049375,25,4.30706262588501,-106.74861145019531,20027
20,0.0006323606357909739,1258.0,5,25160,-2.6541156,-26.805561065673828,0.0008459126528049375,29,2.2744016647338867,-85.34822082519531,25059
24,0.0005131966318003833,1258.0,203,30192,-2.516299833333333,-88.67549133300781,0.0008459126528049375,25,2.7350668907165527,-74.14605712890625,30091
28,0.00039885376463644207,1258.0,381,35224,-2.4398624285714283,-8.764123916625977,0.0008459126528049375,26,1.4053817987442017,-71.00471496582031,35123
32,0.0007003052742220461,1258.0,563,40256,-2.35800209375,38.96452331542969,0.0008459126528049375,27,8.86852741241455,-68.596923828125,40155
36,0.0003908377548214048,1258.0,745,45288,-2.3154515833333336,-35.02507781982422,0.0008459126528049375,27,3.9524688720703125,-61.13180160522461,45187
40,0.0006177063914947212,1258.0,12,50320,-2.2755184,212.62640380859375,0.0008459126528049375,25,11.677308082580566,-53.09623718261719,50219
44,0.0004967153654433787,1258.0,173,55352,-2.2602328409090906,-7.294072151184082,0.0008459126528049375,30,3.421489715576172,-50.05352020263672,55251
48,0.00046223917161114514,1258.0,331,60384,-2.229920791666667,-6.830647945404053,0.0008459126528049375,31,2.609184741973877,-49.43559646606445,60283
52,0.0005409390432760119,1258.0,490,65416,-2.202826326923077,-53.34370422363281,0.0008459126528049375,31,1.5267925262451172,-37.171958923339844,65315
56,0.0005462574190460145,1258.0,655,70448,-2.1913310357142857,-10.990320205688477,0.0008459126528049375,31,0.9840790033340454,-18.388858795166016,70347
60,0.00025867545627988875,1258.0,19,75480,-2.1961335833333333,-51.52634811401367,0.0008459126528049375,24,1.2640036344528198,-15.989559173583984,75379
64,0.00028769730124622583,1258.0,210,80512,-2.18810228125,-4.001922607421875,0.0008459126528049375,26,0.6650547981262207,-13.205039978027344,80411
68,0.0004960426595062017,1258.0,387,85544,-2.183692205882353,93.085205078125,0.0008459126528049375,27,19.87579917907715,-9.878697395324707,85443
72,0.0006555639556609094,1258.0,567,90576,-2.178231986111111,-8.533280372619629,0.0008459126528049375,27,0.5607196092605591,-2.6152255535125732,90475
76,0.0005882195546291769,1258.0,773,95608,-2.1746055131578945,49.068538665771484,0.0008459126528049375,26,3.1058664321899414,0.16896843910217285,95507
