time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,train/critic_loss
5032,0.017327921465039253,-5.09276575,-122.54251098632812,-173.47500610351562,4,13,4931,0.0008459126528049375,1258.0,366,1.629734992980957
10064,0.0008461952675133944,-4.0660251249999995,-129.89178466796875,-1.3034350872039795,8,13,9963,0.0008459126528049375,1258.0,741,6.388798713684082
15096,0.0010997303761541843,-3.278769749999999,-130.2560577392578,54.11505126953125,12,13,14995,0.0008459126528049375,1258.0,1112,12.188783645629883
20128,0.000679236080031842,-2.965032625,-123.8411636352539,63.06340026855469,16,13,20027,0.0008459126528049375,1258.0,1481,6.251681804656982
25160,0.0012018323177471757,-2.7382897500000003,-99.37909698486328,-41.86307144165039,20,14,25059,0.0008459126528049375,1258.0,11,10.165290832519531
30192,0.0007433257414959371,-2.6103566666666667,-90.53190612792969,-50.976539611816406,24,14,30091,0.0008459126528049375,1258.0,370,3.9816854000091553
35224,0.0005545264575630426,-2.525515857142857,-81.6982650756836,-39.01165771484375,28,13,35123,0.0008459126528049375,1258.0,732,8.840696334838867
40256,0.0005176297854632139,-2.4543705312500004,-68.70369720458984,102.84187316894531,32,14,40155,0.0008459126528049375,1258.0,1088,4.20576810836792
45288,0.0006576444720849395,-2.356715555555556,-65.31568908691406,14.76901626586914,36,13,45187,0.0008459126528049375,1258.0,1451,1.3914380073547363
50320,0.00017920334357768297,-2.300040175,-62.448238372802734,-11.012951850891113,40,13,50219,0.0008459126528049375,1258.0,23,0.7006945610046387
55352,0.0004048341070301831,-2.236611431818182,-58.4176025390625,7.755191802978516,44,13,55251,0.0008459126528049375,1258.0,390,1.2799413204193115
60384,0.00026585557498037815,-2.176853458333333,-55.94614028930664,31.18929672241211,48,13,60283,0.0008459126528049375,1258.0,755,0.9230630993843079
65416,0.0006269544828683138,-2.13231375,-47.4873161315918,-51.81564712524414,52,13,65315,0.0008459126528049375,1258.0,1116,9.977256774902344
70448,0.0007272209622897208,-2.116613625,-45.56330871582031,19.753223419189453,56,13,70347,0.0008459126528049375,1258.0,1480,10.029417037963867
75480,0.0005823345854878426,-2.085567466666667,-43.13102340698242,-4.624656677246094,60,13,75379,0.0008459126528049375,1258.0,34,4.447703838348389
80512,0.0007920422358438373,-2.0617436875,-36.871498107910156,-15.936300277709961,64,13,80411,0.0008459126528049375,1258.0,419,4.790321350097656
85544,0.0006729062297381461,-2.0452221323529414,-34.005821228027344,-10.446266174316406,68,13,85443,0.0008459126528049375,1258.0,806,3.983206272125244
90576,0.0011808633571490645,-2.024272875,-31.185043334960938,-28.70874786376953,72,13,90475,0.0008459126528049375,1258.0,1183,6.2953386306762695
95608,0.000784274423494935,-2.017453671052632,-23.309268951416016,-2.1963460445404053,76,13,95507,0.0008459126528049375,1258.0,1581,5.11204195022583
