train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/fps,train/learning_rate,train/ent_coef,time/total_timesteps
4927,4,-5.21410825,399,-168.0263214111328,1257.0,-121.47894287109375,3.7764954566955566,12,0.0008459126528049375,0.017163913697004318,5028
9955,8,-4.032947999999999,812,-52.83910369873047,1257.0,-128.60671997070312,3.1553115844726562,12,0.0008459126528049375,0.0014875293709337711,10056
14983,12,-3.437233333333333,1236,3.173677921295166,1257.0,-130.22178649902344,2.880427360534668,12,0.0008459126528049375,0.0008752159192226827,15084
20011,16,-3.0606049375,1661,72.06913757324219,1257.0,-109.64385986328125,13.621992111206055,12,0.0008459126528049375,0.0017708559753373265,20112
25039,20,-2.84963855,10,39.783851623535156,1257.0,-109.30567169189453,1.6191473007202148,12,0.0008459126528049375,0.0007124108960852027,25140
30067,24,-2.699632291666667,434,-44.028602600097656,1257.0,-67.13101959228516,3.440671920776367,11,0.0008459126528049375,0.001504870830103755,30168
35095,28,-2.576990535714286,852,-40.846046447753906,1257.0,-58.987571716308594,1.8318814039230347,11,0.0008459126528049375,0.001161838648840785,35196
40123,32,-2.50118334375,1273,16.980688095092773,1257.0,-54.87379455566406,2.936809539794922,11,0.0008459126528049375,0.000307957612676546,40224
45151,36,-2.4414943888888887,1707,-56.91969680786133,1257.0,-48.34642028808594,0.9346840381622314,11,0.0008459126528049375,0.0003543345374055207,45252
50179,40,-2.3802586750000003,21,111.82463073730469,1257.0,-40.565269470214844,1.2167119979858398,12,0.0008459126528049375,0.0002744229568634182,50280
55207,44,-2.325409,452,231.52822875976562,1257.0,-27.319772720336914,7.153200149536133,11,0.0008459126528049375,0.000735385634470731,55308
60235,48,-2.2816004166666666,871,-33.93647766113281,1257.0,-12.124814987182617,3.5405325889587402,11,0.0008459126528049375,0.0009329539607279003,60336
65263,52,-2.2431289807692307,1280,-50.01538848876953,1257.0,-4.712216377258301,1.738628625869751,11,0.0008459126528049375,0.0005119317793287337,65364
70291,56,-2.216196107142857,1691,1.5668480396270752,1257.0,-2.2648472785949707,2.35772705078125,12,0.0008459126528049375,0.0003553663264028728,70392
75319,60,-2.1777461333333332,35,-50.602630615234375,1257.0,0.5027015805244446,5.138555526733398,11,0.0008459126528049375,0.0004701539874076843,75420
80347,64,-2.15797940625,459,152.1150360107422,1257.0,7.293829441070557,12.85109806060791,11,0.0008459126528049375,0.0007932066801004112,80448
85375,68,-2.1344890588235295,891,-33.68362045288086,1257.0,15.242025375366211,2.795931339263916,11,0.0008459126528049375,0.0011063829297199845,85476
