rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef,time/fps,train/n_updates,train/critic_loss,time/total_timesteps,train/actor_loss,time/time_elapsed,train/ent_coef_loss,train/learning_rate
-4.547515,4,1258.0,0.017100706696510315,31,4931,1.2556469440460205,5032,-121.40914154052734,159,-181.54180908203125,0.0008459126528049375
-3.5386337500000002,8,1258.0,0.0007395893917419016,28,9963,4.584877014160156,10064,-126.24331665039062,353,-49.28157424926758,0.0008459126528049375
-2.72277,12,1258.0,0.0014742405619472265,27,14995,4.940581321716309,15096,-116.70880126953125,556,-10.551989555358887,0.0008459126528049375
-2.3394276250000003,16,1258.0,0.00046518619637936354,26,20027,13.889739990234375,20128,-112.7575454711914,759,-63.70798110961914,0.0008459126528049375
-2.0689526000000003,20,1258.0,0.0007075369358062744,24,25059,5.842650890350342,25160,-102.3138656616211,6,45.0722541809082,0.0008459126528049375
-1.8763090833333333,24,1258.0,0.00047263866872526705,24,30091,0.9551008939743042,30192,-98.25225830078125,212,-64.73431396484375,0.0008459126528049375
-1.7459635000000002,28,1258.0,0.000567095004953444,24,35123,1.2827212810516357,35224,-97.62858581542969,416,14.807695388793945,0.0008459126528049375
-1.66928371875,32,1258.0,0.0002349077840335667,25,40155,3.5956099033355713,40256,-94.55758666992188,592,62.300025939941406,0.0008459126528049375
-1.58215125,36,1258.0,0.0005258519668132067,25,45187,2.646536350250244,45288,-90.90081787109375,781,-98.32276916503906,0.0008459126528049375
-1.529987225,40,1258.0,0.00044320401502773166,24,50219,2.5159530639648438,50320,-87.110107421875,13,50.668521881103516,0.0008459126528049375
-1.5033835909090911,44,1258.0,0.00041379311005584896,26,55251,1.8632169961929321,55352,-79.977294921875,205,-6.65086555480957,0.0008459126528049375
-1.4701602291666667,48,1258.0,0.0003079990274272859,27,60283,2.774871826171875,60384,-74.33788299560547,377,-7.851226806640625,0.0008459126528049375
-1.4337736923076922,52,1258.0,0.0003226660192012787,27,65315,3.9907379150390625,65416,-67.54594421386719,556,-89.46121215820312,0.0008459126528049375
-1.4039743571428571,56,1258.0,0.00035244436003267765,26,70347,2.2293593883514404,70448,-62.79993438720703,765,-62.59712600708008,0.0008459126528049375
-1.3752281833333333,60,1258.0,0.00031480725738219917,28,75379,3.6651837825775146,75480,-59.506446838378906,16,-55.097713470458984,0.0008459126528049375
-1.3500325000000002,64,1258.0,0.00037840259028598666,26,80411,4.8206787109375,80512,-51.63788604736328,207,4.058779716491699,0.0008459126528049375
-1.324321955882353,68,1258.0,0.0004180461692158133,26,85443,6.990225315093994,85544,-49.10829544067383,392,-27.074766159057617,0.0008459126528049375
-1.30200325,72,1258.0,0.0005365145043469965,25,90475,6.183959007263184,90576,-39.025489807128906,608,-1.301300287246704,0.0008459126528049375
-1.2931326578947369,76,1258.0,0.00037066114600747824,25,95507,5.575199127197266,95608,-27.844173431396484,813,-2.2374072074890137,0.0008459126528049375
