train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/fps
-120.80353546142578,0.0008459126528049375,4927,0.01722947135567665,1.798224925994873,1257.0,-5.138034,4,-183.17160034179688,194,5028,25
-127.72039031982422,0.0008459126528049375,9955,0.001553292153403163,4.145935535430908,1257.0,-4.226101125,8,18.260066986083984,396,10056,25
-115.47930145263672,0.0008459126528049375,14983,0.001181943342089653,32.60188293457031,1257.0,-3.5520919166666656,12,13.271162033081055,603,15084,25
-113.59245300292969,0.0008459126528049375,20011,0.0006256437045522034,1.843079686164856,1257.0,-3.197273,16,-22.202003479003906,812,20112,24
-110.448486328125,0.0008459126528049375,25039,0.000376757699996233,3.11090087890625,1257.0,-2.9838018999999996,20,85.09637451171875,5,25140,24
-110.10377502441406,0.0008459126528049375,30067,0.0003035135450772941,2.0917487144470215,1257.0,-2.8372245,24,103.71685791015625,215,30168,23
-106.89093780517578,0.0008459126528049375,35095,0.0006066436762921512,1.393345832824707,1257.0,-2.736634857142857,28,44.16984176635742,424,35196,24
-100.783447265625,0.0008459126528049375,40123,0.000917503610253334,7.843175888061523,1257.0,-2.66158571875,32,49.96407699584961,634,40224,24
-98.2928695678711,0.0008459126528049375,45151,0.0008963842992670834,3.471843957901001,1257.0,-2.5993753333333336,36,-49.92356872558594,848,45252,23
-91.82374572753906,0.0008459126528049375,50179,0.001005725935101509,2.658597469329834,1257.0,-2.550767325,40,-13.306378364562988,11,50280,23
-86.20762634277344,0.0008459126528049375,55207,0.0009976932778954506,3.0296053886413574,1257.0,-2.5680617727272725,44,-36.68086624145508,227,55308,23
-81.9383316040039,0.0008459126528049375,60235,0.0007019863114692271,3.575505256652832,1257.0,-2.5528841666666664,48,50.19949722290039,442,60336,23
-79.35071563720703,0.0008459126528049375,65263,0.0010857153683900833,12.200106620788574,1257.0,-2.5153494807692307,52,-4.875866413116455,659,65364,23
-58.79636764526367,0.0008459126528049375,70291,0.0015541701577603817,18.675960540771484,1257.0,-2.497754214285714,56,-70.70243835449219,875,70392,23
-44.66769790649414,0.0008459126528049375,75319,0.0017542537534609437,23.37630271911621,1257.0,-2.4792849,60,5.560999870300293,22,75420,18
-35.43682098388672,0.0008459126528049375,80347,0.0018854618538171053,20.254972457885742,1257.0,-2.4554588593749997,64,29.27286720275879,325,80448,16
-32.1809196472168,0.0008459126528049375,85375,0.0014454842312261462,8.072427749633789,1257.0,-2.4349979852941175,68,8.266034126281738,630,85476,16
-21.05815887451172,0.0008459126528049375,90403,0.002138943411409855,19.308624267578125,1257.0,-2.4167303472222224,72,-12.874814987182617,911,90504,17
-14.9677095413208,0.0008459126528049375,95431,0.001033373991958797,46.838233947753906,1257.0,-2.402838447368421,76,-2.0858311653137207,1179,95532,17
