train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/fps
-122.14314270019531,0.0008459126528049375,4927,0.01767457090318203,47.66305923461914,1257.0,-5.48095725,4,-159.81829833984375,203,5028,24
-125.7299575805664,0.0008459126528049375,9955,0.0009935074485838413,3.794968366622925,1257.0,-4.3993611249999995,8,-16.407386779785156,426,10056,23
-123.52719116210938,0.0008459126528049375,14983,0.00048213693662546575,3.229053020477295,1257.0,-3.70591725,12,-50.69629669189453,650,15084,23
-105.8005599975586,0.0008459126528049375,20011,0.0011393851600587368,11.545487403869629,1257.0,-3.34247125,16,56.07931900024414,875,20112,22
-85.92234802246094,0.0008459126528049375,25039,0.0017590165371075273,13.28256607055664,1257.0,-3.10657225,20,-30.434951782226562,6,25140,22
-84.2955551147461,0.0008459126528049375,30067,0.0012938091531395912,3.666529655456543,1257.0,-2.9941078749999996,24,-17.672990798950195,231,30168,22
-72.23039245605469,0.0008459126528049375,35095,0.0007145157433114946,15.090730667114258,1257.0,-2.87207775,28,-4.80129337310791,456,35196,22
-63.565879821777344,0.0008459126528049375,40123,0.0006426990730687976,3.6844301223754883,1257.0,-2.76551453125,32,35.29117965698242,680,40224,22
-37.559181213378906,0.0008459126528049375,45151,0.001338938600383699,17.68924331665039,1257.0,-2.6915825833333336,36,185.05184936523438,906,45252,22
-30.131607055664062,0.0008459126528049375,50179,0.0009515249403193593,5.175292015075684,1257.0,-2.630493875,40,29.088720321655273,12,50280,22
-23.817127227783203,0.0008459126528049375,55207,0.00038198649417608976,1.587444543838501,1257.0,-2.5923084318181817,44,-26.794153213500977,227,55308,23
-21.99108123779297,0.0008459126528049375,60235,0.0004890968557447195,10.429335594177246,1257.0,-2.547801208333333,48,5.274438858032227,440,60336,23
-7.614657878875732,0.0008459126528049375,65263,0.0006808466860093176,1.6669285297393799,1257.0,-2.5154061346153846,52,4.839572429656982,655,65364,23
-3.2336838245391846,0.0008459126528049375,70291,0.0005557822878472507,1.6800116300582886,1257.0,-2.4863569107142856,56,2.64486026763916,873,70392,23
-0.41399282217025757,0.0008459126528049375,75319,0.000372737500583753,1.1795930862426758,1257.0,-2.4548030999999995,60,68.12481689453125,19,75420,21
0.421064168214798,0.0008459126528049375,80347,0.00029232181259430945,0.7237683534622192,1257.0,-2.43119203125,64,27.143901824951172,272,80448,20
6.897157192230225,0.0008459126528049375,85375,0.0005681476322934031,3.2218236923217773,1257.0,-2.396111367647059,68,92.40199279785156,529,85476,19
10.591413497924805,0.0008459126528049375,90403,0.00034463460906408727,0.86417555809021,1257.0,-2.370792,72,42.4454460144043,783,90504,19
15.884803771972656,0.0008459126528049375,95431,0.0002708784304559231,2.0200083255767822,1257.0,-2.354739657894737,76,-77.72563934326172,1036,95532,19
