train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/fps
-122.70690155029297,0.0008459126528049375,4927,0.017768098041415215,1.8667283058166504,1257.0,-5.247362000000001,4,-177.93992614746094,225,5028,22
-127.37014770507812,0.0008459126528049375,9955,0.0013803296023979783,17.783946990966797,1257.0,-4.137863875000001,8,91.60304260253906,455,10056,22
-122.18144226074219,0.0008459126528049375,14983,0.000950825575273484,1.7438609600067139,1257.0,-3.476021833333334,12,-14.541677474975586,673,15084,22
-99.3342056274414,0.0008459126528049375,20011,0.000822159054223448,5.450338363647461,1257.0,-3.1399801875,16,14.034224510192871,903,20112,22
-96.38932037353516,0.0008459126528049375,25039,0.000960121164098382,2.484023332595825,1257.0,-2.9264819500000003,20,-56.186279296875,6,25140,21
-98.9660873413086,0.0008459126528049375,30067,0.0005479677929542959,1.1883313655853271,1257.0,-2.7573958333333337,24,4.789605617523193,234,30168,22
-96.5695571899414,0.0008459126528049375,35095,0.00044315203558653593,2.0240955352783203,1257.0,-2.626493285714286,28,117.46041870117188,459,35196,22
-82.44316101074219,0.0008459126528049375,40123,0.0007492946460843086,3.9327189922332764,1257.0,-2.55134875,32,-78.73831176757812,683,40224,22
-80.34061431884766,0.0008459126528049375,45151,0.0005692950217053294,5.96738862991333,1257.0,-2.477496888888889,36,8.252622604370117,924,45252,21
-75.4634017944336,0.0008459126528049375,50179,0.00037620801595039666,2.525552749633789,1257.0,-2.4283646,40,-43.70336151123047,13,50280,21
-74.27287292480469,0.0008459126528049375,55207,0.00041154318023473024,1.376589298248291,1257.0,-2.385379818181818,44,-33.766502380371094,242,55308,21
-69.29843139648438,0.0008459126528049375,60235,0.0009792110649868846,6.848912239074707,1257.0,-2.3546870625,48,32.489540100097656,470,60336,21
-54.188507080078125,0.0008459126528049375,65263,0.0006062402972020209,14.894498825073242,1257.0,-2.3374106730769233,52,1.2060455083847046,707,65364,21
-36.97950744628906,0.0008459126528049375,70291,0.0014090973418205976,14.197752952575684,1257.0,-2.298996517857143,56,-4.200435638427734,942,70392,21
-19.77386474609375,0.0008459126528049375,75319,0.0009648810373619199,46.22255325317383,1257.0,-2.266103683333334,60,-8.79846477508545,20,75420,20
6.494324207305908,0.0008459126528049375,80347,0.0016231940826401114,42.04205322265625,1257.0,-2.242174703125,64,-15.534934043884277,280,80448,19
28.608911514282227,0.0008459126528049375,85375,0.0014700371539220214,21.8603458404541,1257.0,-2.2294918088235294,68,-13.580623626708984,547,85476,19
51.35442352294922,0.0008459126528049375,90403,0.004819381516426802,104.84491729736328,1257.0,-2.210567097222222,72,-32.48215103149414,794,90504,19
73.52649688720703,0.0008459126528049375,95431,0.002163776895031333,34.02594757080078,1257.0,-2.1859403421052632,76,5.051562786102295,1031,95532,19
