train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/fps
-123.19879150390625,0.0008459126528049375,4927,0.017030594870448112,1.7798856496810913,1257.0,-5.191222,4,-173.15286254882812,208,5028,24
-129.15945434570312,0.0008459126528049375,9955,0.001245529274456203,3.430790662765503,1257.0,-4.0493255,8,19.013967514038086,432,10056,23
-125.9403076171875,0.0008459126528049375,14983,0.0011261727195233107,4.915109634399414,1257.0,-3.4125841666666665,12,-29.27472686767578,658,15084,22
-108.86727905273438,0.0008459126528049375,20011,0.0005044371937401593,114.78809356689453,1257.0,-3.0428853125,16,55.9525260925293,949,20112,21
-101.3004150390625,0.0008459126528049375,25039,0.0007632775232195854,13.786657333374023,1257.0,-2.8160068,20,58.61836242675781,8,25140,16
-87.02397918701172,0.0008459126528049375,30067,0.0010084165260195732,2.1879420280456543,1257.0,-2.6828274166666666,24,-13.796170234680176,323,30168,15
-76.76447296142578,0.0008459126528049375,35095,0.0005180401494726539,3.270148277282715,1257.0,-2.5902865357142857,28,-9.646211624145508,635,35196,16
-70.25550842285156,0.0008459126528049375,40123,0.00037441481254063547,2.8362514972686768,1257.0,-2.5155551875,32,-80.33502960205078,943,40224,16
-46.45646667480469,0.0008459126528049375,45151,0.0009008865454234183,2.057204008102417,1257.0,-2.4739301944444443,36,-59.62289810180664,1254,45252,16
-41.977760314941406,0.0008459126528049375,50179,0.000343134073773399,3.5407185554504395,1257.0,-2.453150325,40,71.52218627929688,17,50280,16
-37.40130615234375,0.0008459126528049375,55207,0.0004890091367997229,2.326751708984375,1257.0,-2.417002795454545,44,16.702510833740234,324,55308,16
-34.38520050048828,0.0008459126528049375,60235,0.000388403597753495,1.0701541900634766,1257.0,-2.402260729166666,48,41.54862976074219,606,60336,17
-31.320438385009766,0.0008459126528049375,65263,0.000363851897418499,1.531401515007019,1257.0,-2.3791458653846154,52,29.634870529174805,844,65364,18
-30.54638671875,0.0008459126528049375,70291,0.00022235130018088967,0.8717332482337952,1257.0,-2.3643455535714284,56,-10.446383476257324,1094,70392,18
-24.00895881652832,0.0008459126528049375,75319,0.0007342773023992777,5.428832054138184,1257.0,-2.338563749999999,60,-31.414119720458984,21,75420,19
-22.247756958007812,0.0008459126528049375,80347,0.0005375498440116644,2.3658013343811035,1257.0,-2.3186947187499998,64,-39.7657356262207,277,80448,19
-19.308988571166992,0.0008459126528049375,85375,0.0002502586867194623,0.9857741594314575,1257.0,-2.2894745882352945,68,60.637786865234375,553,85476,18
-17.77229118347168,0.0008459126528049375,90403,0.0002819414949044585,0.5222069621086121,1257.0,-2.2651154027777776,72,-3.3044486045837402,810,90504,19
-17.885719299316406,0.0008459126528049375,95431,0.00022615866328123957,0.20087984204292297,1257.0,-2.2540450263157887,76,52.68450164794922,1077,95532,19
