time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
512,4231,0,1,,,,,,,,,,,,,
1024,2628,0,2,0.320556640625,1.0000238418579102,-0.048962775617837906,-43.988622307777405,-0.03811017135740258,0.10071786184926168,-0.48267364501953125,0.02481392,0.2,16,0.0004092704424510632,,
1536,2337,0,3,0.265625,0.9995688796043396,-0.03232323005795479,-43.97956609725952,-0.024914044450270012,0.015345384337706491,0.007380485534667969,0.018478494,0.2,32,0.0004092704424510632,-2.952042,1258.0
2048,2218,0,4,0.301513671875,0.9997521042823792,-0.03834032267332077,-43.973252058029175,-0.029029083001660183,0.014057325111934915,0.01278996467590332,0.022759993,0.2,48,0.0004092704424510632,-2.952042,1258.0
2560,2149,1,5,0.30810546875,0.9982834458351135,-0.033270206302404404,-43.95992159843445,-0.026343955425545573,0.0024814667158352677,0.0037252306938171387,0.019978896,0.2,64,0.0004092704424510632,-2.8210585000000004,1258.0
3072,2106,1,6,0.3255615234375,0.9970529675483704,-0.021226370707154274,-43.90919578075409,-0.02800991448748391,0.023982695885933936,-0.011724710464477539,0.023335412,0.2,80,0.0004092704424510632,-2.8210585000000004,1258.0
3584,2072,1,7,0.238037109375,0.9966093897819519,-0.03582920879125595,-43.88337528705597,-0.026454612641828135,0.0033012625062838197,-0.02739894390106201,0.016726052,0.2,96,0.0004092704424510632,-2.8210585000000004,1258.0
4096,2045,2,8,0.2677001953125,0.9981858134269714,-0.01691083051264286,-43.89828872680664,-0.02159159877919592,0.008734441958949901,0.017539560794830322,0.02392871,0.2,112,0.0004092704424510632,-2.824730666666667,1258.0
4608,2027,2,9,0.2359619140625,0.9977743625640869,-0.01273743249475956,-43.927515268325806,-0.022436742845457047,0.03186664480017498,0.008533179759979248,0.016208671,0.2,128,0.0004092704424510632,-2.824730666666667,1258.0
5120,2014,2,10,0.2213134765625,0.9970582127571106,-0.024871738627552986,-43.902712225914,-0.023492221793276258,0.008862197893904522,0.10770535469055176,0.018258598,0.2,144,0.0004092704424510632,-2.82000025,1258.0
5632,2002,2,11,0.3084716796875,0.9974275231361389,-0.020450670272111893,-43.891384959220886,-0.03642945512547158,0.042329715681262314,0.0012262463569641113,0.029357743,0.2,160,0.0004092704424510632,-2.82000025,1258.0
6144,1991,3,12,0.2711181640625,0.9969276189804077,-0.04300762712955475,-43.89425277709961,-0.03260190300352406,0.0028632185858441517,0.006798803806304932,0.018848404,0.2,176,0.0004092704424510632,-2.82000025,1258.0
6656,1983,3,13,0.2191162109375,0.9975148439407349,-0.020820584148168564,-43.89240860939026,-0.02186248975340277,0.019349080102983862,0.003718435764312744,0.01960801,0.2,192,0.0004092704424510632,-2.8314323999999997,1258.0
7168,1977,3,14,0.316162109375,0.9940112233161926,-0.014698538929224014,-43.85919666290283,-0.036636022763559595,0.05896164511796087,0.0028325915336608887,0.03283417,0.2,208,0.0004092704424510632,-2.8314323999999997,1258.0
7680,1970,3,15,0.236083984375,0.9932259917259216,-0.04453437402844429,-43.76869583129883,-0.021962683560559526,0.0101777999807382,0.0941777229309082,0.023822509,0.2,224,0.0004092704424510632,-2.8123816666666666,1258.0
8192,1963,4,16,0.224853515625,0.9934774041175842,-0.0030894242227077484,-43.770150780677795,-0.02374397704988951,0.06548306555487216,0.008643567562103271,0.019625917,0.2,240,0.0004092704424510632,-2.8123816666666666,1258.0
8704,1958,4,17,0.1888427734375,0.9973092675209045,-0.02579857036471367,-43.82233166694641,-0.019999989861389622,0.003246567357564345,0.0051912665367126465,0.015837803,0.2,256,0.0004092704424510632,-2.8123816666666666,1258.0
9216,1955,4,18,0.19921875,0.9994420409202576,-0.027362177148461342,-43.92701280117035,-0.019265192793682218,0.00921904479037039,0.004308342933654785,0.016336393,0.2,272,0.0004092704424510632,-2.7953517142857143,1258.0
