time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
512,4541,0,1,,,,,,,,,,,,,
1024,2858,0,2,0.30078125,0.9999395608901978,-0.035364262759685516,-43.98612308502197,-0.0340386881143786,0.1471751578101248,-0.5430082082748413,0.021669053,0.2,16,0.0004092704424510632,,
1536,2471,0,3,0.265380859375,0.999407172203064,-0.019334904849529266,-43.97745597362518,-0.02452093778993003,0.018773157615214586,-0.02413010597229004,0.017887864,0.2,32,0.0004092704424510632,-2.855968,1258.0
2048,2334,0,4,0.346923828125,0.9985764622688293,-0.034097228199243546,-43.95383024215698,-0.03794529309379868,0.0028584071405930445,-0.04570186138153076,0.023681091,0.2,48,0.0004092704424510632,-2.855968,1258.0
2560,2258,1,5,0.3037109375,0.9975647330284119,-0.025973238050937653,-43.92733383178711,-0.02901065701735206,0.003776174155063927,-0.02350640296936035,0.025977569,0.2,64,0.0004092704424510632,-2.8618164999999998,1258.0
3072,2234,1,6,0.298583984375,0.9963908791542053,-0.03213949501514435,-43.89115655422211,-0.025355063640745357,0.009398082998814061,0.0067179203033447266,0.01917793,0.2,80,0.0004092704424510632,-2.8618164999999998,1258.0
3584,2211,1,7,0.234375,0.9951565861701965,-0.030320607125759125,-43.85309541225433,-0.02228824922349304,0.0031206799758365378,-0.0026459693908691406,0.016008725,0.2,96,0.0004092704424510632,-2.8618164999999998,1258.0
4096,2152,1,8,0.276611328125,0.9965465664863586,-0.03441678732633591,-43.84367096424103,-0.02745183302249643,0.010318217769963667,-0.002953648567199707,0.019256126,0.2,112,0.0004092704424510632,-2.7771139999999996,1258.0
4608,2114,2,9,0.23779296875,0.9974408149719238,-0.029270468279719353,-43.89178109169006,-0.025185990118188784,0.019472536543617025,6.99758529663086e-05,0.016396876,0.2,128,0.0004092704424510632,-2.7771139999999996,1258.0
5120,2081,2,10,0.2362060546875,0.9981623291969299,-0.028549380600452423,-43.91201996803284,-0.025348816736368462,0.010533024586038664,0.0030781030654907227,0.015521171,0.2,144,0.0004092704424510632,-2.78269725,1258.0
5632,2063,2,11,0.247802734375,0.996621310710907,-0.012140686623752117,-43.903887033462524,-0.024889069492928684,0.02848276257282123,-0.0008974075317382812,0.016960274,0.2,160,0.0004092704424510632,-2.78269725,1258.0
6144,2048,2,12,0.244140625,0.995593249797821,-0.03724949061870575,-43.854962944984436,-0.023763641016557813,0.003742613160284236,0.0027092695236206055,0.017046187,0.2,176,0.0004092704424510632,-2.78269725,1258.0
