time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
512,4248,0,1,,,,,,,,,,,,,
1024,2793,0,2,0.2720947265625,1.0013235807418823,-0.035085536539554596,-44.008928060531616,-0.02840721982647665,0.21311627667819266,-0.6856441497802734,0.019281317,0.2,16,0.0004092704424510632,,
1536,2424,0,3,0.3094482421875,1.0015876293182373,-0.03439560905098915,-44.031946420669556,-0.030505480448482558,0.013749384292168543,-0.023834824562072754,0.023813952,0.2,32,0.0004092704424510632,-2.697847,1258.0
2048,2258,0,4,0.340576171875,1.0031222105026245,-0.03156033903360367,-44.052820920944214,-0.02877007203642279,0.024659206450451165,0.002713918685913086,0.028874084,0.2,48,0.0004092704424510632,-2.697847,1258.0
2560,2155,1,5,0.21044921875,1.0044751167297363,-0.0280903372913599,-44.10584485530853,-0.01962896771146916,0.003639927934273146,-0.004769444465637207,0.014568869,0.2,64,0.0004092704424510632,-2.7687195,1258.0
3072,2123,1,6,0.2816162109375,1.0055373907089233,-0.020976459607481956,-44.13651168346405,-0.027761404344346374,0.014738463563844562,-0.002400040626525879,0.021334805,0.2,80,0.0004092704424510632,-2.7687195,1258.0
3584,2119,1,7,0.2744140625,1.0070823431015015,-0.04117920622229576,-44.172502398490906,-0.026965165132423863,0.003575821036065463,-0.0024878978729248047,0.018212747,0.2,96,0.0004092704424510632,-2.7687195,1258.0
4096,2120,1,8,0.293212890625,1.0073310136795044,-0.022374790161848068,-44.207639932632446,-0.02609554911032319,0.013170586316846311,0.00037854909896850586,0.025616879,0.2,112,0.0004092704424510632,-2.7771236666666668,1258.0
4608,2099,2,9,0.2764892578125,1.008530855178833,-0.040689561516046524,-44.218942046165466,-0.02908629219746217,0.0027965766821580473,-0.008406400680541992,0.021151692,0.2,128,0.0004092704424510632,-2.7771236666666668,1258.0
5120,2073,2,10,0.27978515625,1.0092476606369019,-0.030878953635692596,-44.260671734809875,-0.027512706583365798,0.010956547892419621,0.0006473660469055176,0.023660198,0.2,144,0.0004092704424510632,-2.7884345,1258.0
5632,2049,2,11,0.2816162109375,1.0076611042022705,-0.03956083580851555,-44.243467688560486,-0.02832690201466903,0.001886942476630793,-0.006464600563049316,0.016151734,0.2,160,0.0004092704424510632,-2.7884345,1258.0
6144,2044,3,12,0.204345703125,1.0082367658615112,-0.031048128381371498,-44.214585304260254,-0.022536523792950902,0.003209021178918192,-0.001200556755065918,0.013427718,0.2,176,0.0004092704424510632,-2.7884345,1258.0
6656,2053,3,13,0.285400390625,1.0073902606964111,-0.03601601719856262,-44.227399945259094,-0.0274347853846848,0.014895331638399512,0.0005579590797424316,0.025403704,0.2,192,0.0004092704424510632,-2.797065,1258.0
7168,2053,3,14,0.3211669921875,1.0075746774673462,-0.043929632753133774,-44.20240879058838,-0.031989221984986216,0.007600668861414306,0.0027074217796325684,0.019693265,0.2,208,0.0004092704424510632,-2.797065,1258.0
7680,2042,3,15,0.2535400390625,1.0076205730438232,-0.0351080521941185,-44.21524751186371,-0.02459586701297667,0.012821442389395088,0.017794251441955566,0.01923279,0.2,224,0.0004092704424510632,-2.8077953333333334,1258.0
