time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/clip_fraction,train/std,train/loss,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
14848,1975,7,29,0.298583984375,1.0054354667663574,-0.011104732751846313,-44.1214941740036,-0.02528311930655036,0.0500525965471752,0.003126084804534912,0.04012579,0.2,448,0.0004092704424510632,-2.6752328181818186,1258.0
15360,1973,7,30,0.173828125,1.0049304962158203,-0.022039897739887238,-44.1072940826416,-0.020905103825498372,0.013156783592421561,0.09990459680557251,0.013696954,0.2,464,0.0004092704424510632,-2.6832042500000006,1258.0
15872,1970,8,31,0.262451171875,1.0040359497070312,-0.002923041582107544,-44.09071111679077,-0.03189153992570937,0.10254365974105895,0.015503108501434326,0.016251707,0.2,480,0.0004092704424510632,-2.6832042500000006,1258.0
16384,1967,8,32,0.19580078125,1.0009386539459229,-0.03171598166227341,-44.029520869255066,-0.02191382070304826,0.0032724074480938725,-0.07940828800201416,0.012464466,0.2,496,0.0004092704424510632,-2.6928051538461544,1258.0
16896,1965,8,33,0.2730712890625,1.0006804466247559,0.009076669812202454,-43.96442127227783,-0.028919731586938724,0.12250308506190777,-0.009576797485351562,0.01904533,0.2,512,0.0004092704424510632,-2.6928051538461544,1258.0
17408,1962,8,34,0.2127685546875,1.0006368160247803,-0.04362571984529495,-43.964656352996826,-0.024802093917969614,0.0034968700565514155,0.001507401466369629,0.014933711,0.2,528,0.0004092704424510632,-2.6928051538461544,1258.0
17920,1960,9,35,0.2484130859375,0.9988627433776855,-0.03978394716978073,-43.938812136650085,-0.02561894895916339,0.011627349857008085,0.00304257869720459,0.023173135,0.2,544,0.0004092704424510632,-2.683201928571429,1258.0
18432,1959,9,36,0.305419921875,0.9987663626670837,0.021756961941719055,-43.89953625202179,-0.034086381492670625,0.13303324487060308,0.0007740259170532227,0.027239824,0.2,560,0.0004092704424510632,-2.683201928571429,1258.0
18944,1955,9,37,0.2332763671875,0.9992933869361877,-0.032849013805389404,-43.911680579185486,-0.02523570045013912,0.007210068288259208,0.009454727172851562,0.021486297,0.2,576,0.0004092704424510632,-2.6724870000000007,1258.0
19456,1953,9,38,0.2181396484375,0.9985119104385376,0.03552139550447464,-43.90984332561493,-0.022638092807028443,0.12920037936419249,-0.0003190040588378906,0.016590549,0.2,592,0.0004092704424510632,-2.6724870000000007,1258.0
19968,1952,10,39,0.196044921875,0.998557984828949,-0.03722323849797249,-43.88207304477692,-0.024645671481266618,0.0028045497856510337,2.4259090423583984e-05,0.0147112515,0.2,608,0.0004092704424510632,-2.6724870000000007,1258.0
20480,1952,10,40,0.232421875,0.9998645186424255,-0.02555352821946144,-43.901315212249756,-0.02384917641757056,0.012763812788762152,0.006470739841461182,0.022683833,0.2,624,0.0004092704424510632,-2.6766540625,1258.0
20992,1951,10,41,0.2237548828125,1.0007559061050415,0.04161473736166954,-43.94462478160858,-0.023627828748431057,0.15085865301080048,0.0029871463775634766,0.017244779,0.2,640,0.0004092704424510632,-2.6766540625,1258.0
21504,1950,11,42,0.2490234375,0.9999212622642517,-0.02724103257060051,-43.949904799461365,-0.025065847468795255,0.007829856374883093,0.2827773094177246,0.022237852,0.2,656,0.0004092704424510632,-2.6808233529411765,1258.0
22016,1950,11,43,0.2662353515625,0.9991530179977417,0.03561413660645485,-43.916303873062134,-0.030200015899026766,0.15136319724842906,0.006606638431549072,0.023559522,0.2,672,0.0004092704424510632,-2.6808233529411765,1258.0
22528,1950,11,44,0.165283203125,0.9997249841690063,-0.02644621580839157,-43.91365838050842,-0.017543574678711593,0.0030337918797158636,0.004934549331665039,0.013549974,0.2,688,0.0004092704424510632,-2.6808233529411765,1258.0
23040,1947,11,45,0.2486572265625,0.9983202815055847,-0.030471906065940857,-43.9109867811203,-0.02675604631076567,0.010567902674665675,0.016791164875030518,0.022427596,0.2,704,0.0004092704424510632,-2.681938277777778,1258.0
23552,1946,12,46,0.2506103515625,0.9979477524757385,0.039729468524456024,-43.86731576919556,-0.02839252637932077,0.18017806438729167,0.0032952427864074707,0.023620069,0.2,720,0.0004092704424510632,-2.681938277777778,1258.0
24064,1946,12,47,0.2147216796875,1.0002681016921997,-0.040795594453811646,-43.88827896118164,-0.022313231267617084,0.008485100421239622,0.48137664794921875,0.018792216,0.2,736,0.0004092704424510632,-2.6838144736842104,1258.0
24576,1945,12,48,0.208984375,1.0010911226272583,0.06653063744306564,-43.95334601402283,-0.0221633643086534,0.17591159767471254,0.015214383602142334,0.021433333,0.2,752,0.0004092704424510632,-2.6838144736842104,1258.0
25088,1944,12,49,0.2305908203125,0.9996169209480286,-0.025488605722784996,-43.93570864200592,-0.02614701699349098,0.0034027272267849185,0.06995058059692383,0.023488168,0.2,768,0.0004092704424510632,-2.6838144736842104,1258.0
25600,1944,13,50,0.2415771484375,0.9998281598091125,-0.03193800151348114,-43.902037143707275,-0.02447868959279731,0.011606640837271698,0.007156252861022949,0.019260187,0.2,784,0.0004092704424510632,-2.6881339,1258.0
26112,1943,13,51,0.2313232421875,1.000604271888733,0.0752868801355362,-43.92225241661072,-0.023065391957061365,0.19884875742718577,0.0011382699012756348,0.020284519,0.2,800,0.0004092704424510632,-2.6881339,1258.0
26624,1943,13,52,0.2667236328125,1.0012173652648926,-0.037416961044073105,-43.937904596328735,-0.030618238131864928,0.008090280200121924,0.17435306310653687,0.028975228,0.2,816,0.0004092704424510632,-2.675934285714286,1258.0
27136,1942,13,53,0.2237548828125,0.9986590147018433,0.0647718608379364,-43.92022478580475,-0.024437158830551198,0.20096090761944652,0.022162139415740967,0.018273067,0.2,832,0.0004092704424510632,-2.675934285714286,1258.0
27648,1942,14,54,0.2623291015625,0.9976051449775696,-0.04437079653143883,-43.84826612472534,-0.029989133239723742,0.0038522064714925364,0.0032399892807006836,0.024929773,0.2,848,0.0004092704424510632,-2.675934285714286,1258.0
28160,1941,14,55,0.2613525390625,0.9987581968307495,-0.04362570121884346,-43.853965163230896,-0.026465832663234323,0.010350896482123062,0.0036048293113708496,0.02054168,0.2,864,0.0004092704424510632,-2.6818494545454543,1258.0
28672,1941,14,56,0.32763671875,0.9979150295257568,0.03459852561354637,-43.86116075515747,-0.03168060089228675,0.17694010655395687,0.001228034496307373,0.03781309,0.2,880,0.0004092704424510632,-2.6818494545454543,1258.0
29184,1939,15,57,0.2620849609375,0.9990014433860779,-0.04336774721741676,-43.85841763019562,-0.0287333837186452,0.00866678667080123,0.27130281925201416,0.023305036,0.2,896,0.0004092704424510632,-2.6820940434782607,1258.0
29696,1939,15,58,0.18896484375,0.998786449432373,0.10711020231246948,-43.88579189777374,-0.021017528022639453,0.24114537751302123,0.02370518445968628,0.019861382,0.2,912,0.0004092704424510632,-2.6820940434782607,1258.0
