train/learning_rate,time/time_elapsed,time/fps,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/actor_loss
0.0008459126528049375,138,36,0.017471471801400185,0.6919271945953369,4931,-177.4209442138672,5032,1258.0,-4.189267,4,-123.6715087890625
0.0008459126528049375,271,37,0.0012189628323540092,1.9098701477050781,9963,-32.50129318237305,10064,1258.0,-3.1237890000000004,8,-132.2204132080078
0.0008459126528049375,424,35,0.0009261391242034733,1.0338902473449707,14995,-84.4234390258789,15096,1258.0,-2.6421037500000004,12,-135.40907287597656
0.0008459126528049375,576,34,0.0005788681446574628,1.542475938796997,20027,-15.928068161010742,20128,1258.0,-2.425686125,16,-136.9238739013672
0.0008459126528049375,4,32,0.0008700458565726876,2.5579023361206055,25059,-30.464397430419922,25160,1258.0,-2.2357381999999997,20,-142.71751403808594
0.0008459126528049375,152,33,0.0005841147503815591,1.6983977556228638,30091,145.2374725341797,30192,1258.0,-2.132026666666667,24,-144.91444396972656
0.0008459126528049375,279,36,0.0007908406550996006,1.664013147354126,35123,-51.784698486328125,35224,1258.0,-2.089102642857143,28,-147.02005004882812
0.0008459126528049375,433,35,0.0008781291544437408,3.1703224182128906,40155,1.6209806203842163,40256,1258.0,-2.0252506875,32,-147.14688110351562
0.0008459126528049375,576,35,0.0004582590190693736,5.636499404907227,45187,45.21602249145508,45288,1258.0,-1.9938833611111109,36,-149.98745727539062
0.0008459126528049375,9,32,0.000641910417471081,63.914398193359375,50219,-51.61814498901367,50320,1258.0,-1.9510815000000001,40,-148.7171630859375
0.0008459126528049375,164,32,0.0009253414464183152,64.19642639160156,55251,12.358711242675781,55352,1258.0,-1.943129840909091,44,-152.2125244140625
0.0008459126528049375,302,34,0.0025090533308684826,5.904348850250244,60283,-31.20711898803711,60384,1258.0,-1.9256660416666669,48,-153.0360565185547
0.0008459126528049375,433,35,0.0011981782736256719,4.211751461029053,65315,45.744014739990234,65416,1258.0,-1.9207071346153848,52,-152.26878356933594
0.0008459126528049375,582,35,0.0014253932749852538,11.162101745605469,70347,-18.3494930267334,70448,1258.0,-1.9038648035714285,56,-152.27317810058594
0.0008459126528049375,16,29,0.0010078439954668283,4.862698554992676,75379,52.8245735168457,75480,1258.0,-1.8846743166666664,60,-151.69869995117188
0.0008459126528049375,186,29,0.0014515104703605175,12.560855865478516,80411,-42.8124885559082,80512,1258.0,-1.8689181874999998,64,-156.60086059570312
0.0008459126528049375,354,29,0.0016975040780380368,3.5830976963043213,85443,19.905471801757812,85544,1258.0,-1.863592926470588,68,-154.39544677734375
0.0008459126528049375,511,30,0.001301971497014165,10.485685348510742,90475,-5.886874198913574,90576,1258.0,-1.850435361111111,72,-153.2100067138672
0.0008459126528049375,658,31,0.0009885678300634027,5.504657745361328,95507,51.037750244140625,95608,1258.0,-1.844953710526316,76,-154.45623779296875
