time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/actor_loss
147,1258.0,0.017427731305360794,5032,-4.04811975,34,2.2274580001831055,0.0008459126528049375,-170.26882934570312,4931,4,-123.41497802734375
305,1258.0,0.0014350623823702335,10064,-3.060768875,32,8.875232696533203,0.0008459126528049375,-33.60495376586914,9963,8,-125.14974975585938
459,1258.0,0.0007689551566727459,15096,-2.438850333333333,32,84.6705322265625,0.0008459126528049375,52.349143981933594,14995,12,-113.4685287475586
616,1258.0,0.0007520049693994224,20128,-2.09549175,32,73.36505889892578,0.0008459126528049375,47.49032211303711,20027,16,-96.60701751708984
5,1258.0,0.0018004977609962225,25160,-1.8798650499999998,30,5.986429214477539,0.0008459126528049375,14.73478889465332,25059,20,-80.35430908203125
163,1258.0,0.0003399103006813675,30192,-1.8704158750000002,31,2.4904255867004395,0.0008459126528049375,23.697284698486328,30091,24,-77.13163757324219
323,1258.0,0.0011122549185529351,35224,-1.738720392857143,31,8.90423583984375,0.0008459126528049375,83.97779846191406,35123,28,-43.47932815551758
485,1258.0,0.0005459087551571429,40256,-1.70918928125,31,1.4008327722549438,0.0008459126528049375,-56.09758377075195,40155,32,-38.76533508300781
641,1258.0,0.0003159230691380799,45288,-1.6205906388888889,31,2.9452927112579346,0.0008459126528049375,-3.747823476791382,45187,36,-36.42856979370117
9,1258.0,0.00034907986992038786,50320,-1.5575311500000002,32,1.9594491720199585,0.0008459126528049375,-80.64120483398438,50219,40,-29.999786376953125
166,1258.0,0.0003094375424552709,55352,-1.4993209545454547,32,0.68031907081604,0.0008459126528049375,-3.9820480346679688,55251,44,-25.069456100463867
325,1258.0,0.000350242480635643,60384,-1.4502459791666666,31,0.8242402672767639,0.0008459126528049375,60.79698944091797,60283,48,-21.789379119873047
488,1258.0,0.0006284498376771808,65416,-1.4187723461538464,31,0.664759635925293,0.0008459126528049375,50.820884704589844,65315,52,-21.091306686401367
647,1258.0,0.00027165943174622953,70448,-1.3888092142857142,31,0.3962557315826416,0.0008459126528049375,-16.70342254638672,70347,56,-17.099973678588867
16,1258.0,0.0007653227658011019,75480,-1.3609227,28,1.876051902770996,0.0008459126528049375,-68.66281127929688,75379,60,-0.8721365928649902
187,1258.0,0.0006289054872468114,80512,-1.347758625,29,1.9457627534866333,0.0008459126528049375,-7.985255241394043,80411,64,10.38483715057373
356,1258.0,0.0004501001676544547,85544,-1.32363925,29,2.768078565597534,0.0008459126528049375,73.39247131347656,85443,68,11.79308795928955
529,1258.0,0.00034671195317059755,90576,-1.3068243472222223,29,0.5096409320831299,0.0008459126528049375,51.51994323730469,90475,72,15.622214317321777
676,1258.0,0.0003915712295565754,95608,-1.283677960526316,30,1.4753913879394531,0.0008459126528049375,-43.80678176879883,95507,76,20.07093620300293
