time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/actor_loss
157,1258.0,0.017501864582300186,5032,-4.03255925,31,1.6749883890151978,0.0008459126528049375,-174.26036071777344,4931,4,-123.97178649902344
316,1258.0,0.0011075858492404222,10064,-3.041238125,31,9.851068496704102,0.0008459126528049375,11.19118881225586,9963,8,-130.40162658691406
477,1258.0,0.0007942418451420963,15096,-2.452347916666667,31,17.178241729736328,0.0008459126528049375,25.67318344116211,14995,12,-126.63282775878906
641,1258.0,0.0010530030122026801,20128,-2.0684714375,31,3.3624348640441895,0.0008459126528049375,179.14358520507812,20027,16,-115.20501708984375
5,1258.0,0.001621153554879129,25160,-1.86106805,30,5.22944450378418,0.0008459126528049375,-48.963809967041016,25059,20,-94.97240447998047
159,1258.0,0.0006967961089685559,30192,-1.7664271666666664,32,2.2785935401916504,0.0008459126528049375,-64.93180847167969,30091,24,-89.94361114501953
319,1258.0,0.00038145174039527774,35224,-1.680215321428571,31,1.655794620513916,0.0008459126528049375,40.14625930786133,35123,28,-87.94234466552734
474,1258.0,0.0012247179402038455,40256,-1.58919778125,32,4.743923187255859,0.0008459126528049375,146.47610473632812,40155,32,-83.67293548583984
635,1258.0,0.001254082890227437,45288,-1.550215138888889,31,11.762989044189453,0.0008459126528049375,-32.78227996826172,45187,36,-59.410484313964844
10,1258.0,0.0005387392011471093,50320,-1.5047878749999999,31,30.796977996826172,0.0008459126528049375,60.197425842285156,50219,40,-55.108638763427734
167,1258.0,0.0007346422644332051,55352,-1.4888471818181819,31,13.382728576660156,0.0008459126528049375,1.5770912170410156,55251,44,-32.29490661621094
330,1258.0,0.0006541347247548401,60384,-1.4566433124999998,31,5.958896636962891,0.0008459126528049375,-16.412588119506836,60283,48,-27.031389236450195
496,1258.0,0.00047017729957588017,65416,-1.4484591153846151,31,7.182625770568848,0.0008459126528049375,20.042625427246094,65315,52,-19.365970611572266
658,1258.0,0.0017493320629000664,70448,-1.4284133571428572,31,5.429391860961914,0.0008459126528049375,-4.37693977355957,70347,56,-15.398759841918945
16,1258.0,0.0018340108217671514,75480,-1.4133518333333333,28,29.05816650390625,0.0008459126528049375,59.98500061035156,75379,60,2.381486177444458
187,1258.0,0.001989701995626092,80512,-1.4020862968749999,29,27.14851188659668,0.0008459126528049375,27.557584762573242,80411,64,30.89506721496582
363,1258.0,0.0011049810564145446,85544,-1.3963354705882352,28,41.16323471069336,0.0008459126528049375,-50.759239196777344,85443,68,44.77922439575195
536,1258.0,0.0013252882054075599,90576,-1.3752054166666667,29,16.302143096923828,0.0008459126528049375,17.881669998168945,90475,72,62.66345977783203
703,1258.0,0.0017315448494628072,95608,-1.3499847500000002,29,22.076717376708984,0.0008459126528049375,59.44761276245117,95507,76,75.21217346191406
