time/time_elapsed,rollout/ep_len_mean,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,time/episodes,train/actor_loss
148,1258.0,0.017297375947237015,5032,-4.27804075,33,1.532456398010254,0.0008459126528049375,-174.43409729003906,4931,4,-121.09712982177734
278,1258.0,0.0009182086796499789,10064,-3.2759606250000006,36,7.280240535736084,0.0008459126528049375,-28.815942764282227,9963,8,-124.0239486694336
424,1258.0,0.0007671971688978374,15096,-2.544168416666667,35,10.71419620513916,0.0008459126528049375,-44.47199630737305,14995,12,-119.17638397216797
576,1258.0,0.0008605137118138373,20128,-2.17341,34,3.713904857635498,0.0008459126528049375,-62.48323059082031,20027,16,-115.0943603515625
4,1258.0,0.0004986081039533019,25160,-1.9657621000000003,33,3.5949783325195312,0.0008459126528049375,80.51471710205078,25059,20,-105.323486328125
129,1258.0,0.0008321896311827004,30192,-1.8143507916666666,40,9.541295051574707,0.0008459126528049375,157.53378295898438,30091,24,-94.7620620727539
264,1258.0,0.0005551325739361346,35224,-1.760289107142857,38,1.4510509967803955,0.0008459126528049375,-6.160587310791016,35123,28,-93.62934112548828
416,1258.0,0.0005280961049720645,40256,-1.68338428125,36,2.650235652923584,0.0008459126528049375,-4.788029670715332,40155,32,-92.63212585449219
559,1258.0,0.00028661038959398866,45288,-1.627960361111111,36,1.3721336126327515,0.0008459126528049375,105.12006378173828,45187,36,-91.12406921386719
10,1258.0,0.0007813602569513023,50320,-1.56314215,31,3.3548569679260254,0.0008459126528049375,-51.965087890625,50219,40,-62.85523223876953
160,1258.0,0.0011123185977339745,55352,-1.5018281136363638,33,3.847426414489746,0.0008459126528049375,-39.951934814453125,55251,44,-45.99949645996094
311,1258.0,0.0003950119426008314,60384,-1.4740925416666666,33,2.4798178672790527,0.0008459126528049375,-12.483059883117676,60283,48,-40.871849060058594
451,1258.0,0.0004076483310200274,65416,-1.4341497115384614,34,1.8164699077606201,0.0008459126528049375,6.460348129272461,65315,52,-35.96284103393555
580,1258.0,0.0015752880135551095,70448,-1.3896883928571426,35,19.88530731201172,0.0008459126528049375,-12.177459716796875,70347,56,-25.812015533447266
12,1258.0,0.0008527133031748235,75480,-1.3755358666666666,39,3.169039726257324,0.0008459126528049375,-35.4185676574707,75379,60,-17.767831802368164
173,1258.0,0.00022792679374106228,80512,-1.36767059375,31,2.635697841644287,0.0008459126528049375,-1.9256842136383057,80411,64,-9.828530311584473
332,1258.0,0.0007536382763646543,85544,-1.3317845,31,2.2460782527923584,0.0008459126528049375,-38.902008056640625,85443,68,-6.394481658935547
502,1258.0,0.000794944295194,90576,-1.3151943055555555,31,3.8305554389953613,0.0008459126528049375,-49.402610778808594,90475,72,-4.108653545379639
674,1258.0,0.00124172808136791,95608,-1.3016001710526317,30,11.038326263427734,0.0008459126528049375,-33.71092987060547,95507,76,3.1508283615112305
