time/episodes,train/ent_coef,train/n_updates,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss
4,0.017456091940402985,4931,1.8767377138137817,-170.396728515625,-4.30305725,5032,1258.0,11,445,0.0008459126528049375,-122.73853302001953
8,0.0014891254249960184,9963,14.352949142456055,-6.830260276794434,-3.113701125,10064,1258.0,11,913,0.0008459126528049375,-124.81666564941406
12,0.0014903002884238958,14995,11.869588851928711,33.494422912597656,-2.462172583333333,15096,1258.0,10,1381,0.0008459126528049375,-116.63533782958984
16,0.0017209560610353947,20027,11.116534233093262,-9.64494514465332,-2.1287010625000002,20128,1258.0,10,1849,0.0008459126528049375,-108.32125854492188
20,0.0007329295040108263,25059,5.98365592956543,17.992643356323242,-1.9765762000000002,25160,1258.0,10,14,0.0008459126528049375,-105.38346099853516
24,0.0007470556884072721,30091,3.1785426139831543,32.930213928222656,-1.8774187500000001,30192,1258.0,10,483,0.0008459126528049375,-100.68892669677734
28,0.0004164872516412288,35123,2.270388126373291,-14.745858192443848,-1.7841792142857142,35224,1258.0,10,953,0.0008459126528049375,-97.46473693847656
32,0.0007642582640983164,40155,4.154602527618408,-2.8338277339935303,-1.6923205000000001,40256,1258.0,10,1421,0.0008459126528049375,-78.75203704833984
36,0.0008652569376863539,45187,9.926091194152832,6.318868637084961,-1.6435100277777779,45288,1258.0,10,1888,0.0008459126528049375,-69.30606842041016
40,0.00210530124604702,50219,12.177132606506348,-60.92708969116211,-1.5931672,50320,1258.0,10,29,0.0008459126528049375,-34.271026611328125
44,0.0013496889732778072,55251,15.88075065612793,42.06586456298828,-1.5667590681818182,55352,1258.0,11,486,0.0008459126528049375,-22.39482879638672
48,0.001140053034760058,60283,9.701953887939453,-54.7427864074707,-1.540968375,60384,1258.0,11,943,0.0008459126528049375,-17.8183650970459
52,0.004293571226298809,65315,72.09187316894531,-15.062644004821777,-1.4996730961538458,65416,1258.0,10,1402,0.0008459126528049375,12.706952095031738
56,0.0013482918730005622,70347,23.43239974975586,53.782657623291016,-1.5035169107142856,70448,1258.0,10,1860,0.0008459126528049375,39.0406494140625
60,0.0007718285778537393,75379,14.407161712646484,57.19435501098633,-1.5034354166666666,75480,1258.0,10,45,0.0008459126528049375,57.42097473144531
64,0.0012079344596713781,80411,26.581600189208984,30.48759651184082,-1.50874746875,80512,1258.0,10,538,0.0008459126528049375,73.74020385742188
68,0.0017361524514853954,85443,36.34404754638672,0.7142093181610107,-1.488841955882353,85544,1258.0,10,1016,0.0008459126528049375,97.2863540649414
72,0.0013993148459121585,90475,26.465316772460938,2.0990664958953857,-1.4768551666666667,90576,1258.0,10,1489,0.0008459126528049375,121.83702087402344
76,0.002082458231598139,95507,18.892127990722656,-35.81575012207031,-1.4704132631578948,95608,1258.0,10,1968,0.0008459126528049375,146.05628967285156
