time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/critic_loss,train/n_updates,time/time_elapsed,time/fps
4,0.01922323927283287,-124.626220703125,-172.73651123046875,0.0008459126528049375,4892,-4.5464987500000005,1223.0,1.6097831726074219,4791,370,13
8,0.0012110037496313453,-131.46006774902344,-20.43282699584961,0.0008459126528049375,9784,-3.742964875,1223.0,45.49262237548828,9683,758,12
12,0.0007292780792340636,-136.875732421875,57.31888198852539,0.0008459126528049375,14676,-3.0994102499999996,1223.0,40.78907775878906,14575,1148,12
16,0.0011336238821968436,-128.3109588623047,214.9789276123047,0.0008459126528049375,19568,-2.8038904374999998,1223.0,36.14936065673828,19467,1531,12
20,0.0007128665456548333,-122.22420501708984,123.48381042480469,0.0008459126528049375,24460,-2.62353505,1223.0,11.858745574951172,24359,1915,12
24,0.0007707333425059915,-102.72381591796875,189.69985961914062,0.0008459126528049375,29352,-2.4821851666666666,1223.0,14.559379577636719,29251,347,12
28,0.0011299842735752463,-92.32050323486328,-56.063392639160156,0.0008459126528049375,34244,-2.3417788214285715,1223.0,2.491722583770752,34143,728,12
32,0.00047766714124009013,-91.87596130371094,57.2981071472168,0.0008459126528049375,39136,-2.25874771875,1223.0,3.904588222503662,39035,1108,12
36,0.0007106455741450191,-76.5073013305664,3.860111713409424,0.0008459126528049375,44028,-2.198137388888888,1223.0,6.4678497314453125,43927,1491,12
40,0.00046392332296818495,-63.354026794433594,49.73036193847656,0.0008459126528049375,48920,-2.16658565,1223.0,1.0243535041809082,48819,1881,12
44,0.0002846176503226161,-60.49186325073242,-58.802490234375,0.0008459126528049375,53812,-2.145686681818182,1223.0,1.4503430128097534,53711,303,12
48,0.0005509394104592502,-58.755836486816406,79.19049072265625,0.0008459126528049375,58704,-2.096060979166667,1223.0,3.006937026977539,58603,693,12
52,0.0004823362978640944,-57.061065673828125,-21.85103416442871,0.0008459126528049375,63596,-2.0634424615384614,1223.0,2.405653953552246,63495,1084,12
56,0.0012270327424630523,-38.36697769165039,101.44496154785156,0.0008459126528049375,68488,-2.028430625,1223.0,14.273544311523438,68387,1478,12
60,0.000777138804551214,-31.844999313354492,-19.834030151367188,0.0008459126528049375,73380,-2.014523,1223.0,4.128619194030762,73279,1879,12
64,0.001310038031078875,-23.21843147277832,-35.086185455322266,0.0008459126528049375,78272,-2.010375875,1223.0,5.253389358520508,78171,275,11
