time/total_timesteps,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/fps,time/time_elapsed,train/actor_loss,time/episodes
5032,-169.2508544921875,1258.0,2.2401814460754395,4931,-4.271627,0.017337599769234657,0.0008459126528049375,20,250,-122.73961639404297,4
10064,-15.43651008605957,1258.0,4.879225730895996,9963,-3.1231877500000005,0.0013420411851257086,0.0008459126528049375,20,497,-128.0003662109375,8
15096,21.53650665283203,1258.0,5.458956718444824,14995,-2.475305916666667,0.0015726116253063083,0.0008459126528049375,19,755,-125.017333984375,12
20128,-10.702205657958984,1258.0,3.386986017227173,20027,-2.0989163125,0.0014925788855180144,0.0008459126528049375,20,995,-106.73108673095703,16
25160,-39.685081481933594,1258.0,7.882407188415527,25059,-1.8240657000000002,0.0018456983380019665,0.0008459126528049375,20,7,-88.74642181396484,20
30192,41.348472595214844,1258.0,8.69390869140625,30091,-1.7203163750000001,0.0005261005135253072,0.0008459126528049375,21,240,-80.33049774169922,24
35224,-105.57052612304688,1258.0,3.966984272003174,35123,-1.6459222500000001,0.0009422752191312611,0.0008459126528049375,21,471,-65.22007751464844,28
40256,42.20536422729492,1258.0,2.661579132080078,40155,-1.60584934375,0.0005164296017028391,0.0008459126528049375,21,711,-60.07419204711914,32
45288,-27.143741607666016,1258.0,3.7649824619293213,45187,-1.5761507777777777,0.00043774026562459767,0.0008459126528049375,21,946,-53.41100311279297,36
50320,4.840382099151611,1258.0,1.535048246383667,50219,-1.550613875,0.0006444458267651498,0.0008459126528049375,21,15,-50.68522644042969,40
55352,-89.77176666259766,1258.0,2.0088627338409424,55251,-1.5130453181818182,0.0008113475050777197,0.0008459126528049375,20,267,-43.132911682128906,44
60384,-11.683923721313477,1258.0,27.99277114868164,60283,-1.4859820416666667,0.000920991413295269,0.0008459126528049375,20,519,-37.99055099487305,48
65416,-31.472454071044922,1258.0,11.494376182556152,65315,-1.4772645,0.0009988766396418214,0.0008459126528049375,20,764,-36.45168685913086,52
70448,-23.93250274658203,1258.0,3.7781028747558594,70347,-1.4520931428571429,0.0012357503874227405,0.0008459126528049375,20,1008,-32.31673049926758,56
75480,5.874358654022217,1258.0,13.380016326904297,75379,-1.4161255000000001,0.0013873869320377707,0.0008459126528049375,20,23,-23.455930709838867,60
80512,24.740360260009766,1258.0,5.331137657165527,80411,-1.403283203125,0.001491274917498231,0.0008459126528049375,20,274,-15.52578353881836,64
85544,2.7558555603027344,1258.0,9.446806907653809,85443,-1.3843303235294118,0.0012718751095235348,0.0008459126528049375,20,520,-15.179178237915039,68
