time/episodes,train/critic_loss,time/total_timesteps,train/n_updates,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean
4,58.4197883605957,5028,4927,412,-123.00544738769531,-165.94644165039062,0.017457474023103714,1257.0,12,0.0008459126528049375,-4.768394750000001
8,1.654207706451416,10056,9955,856,-131.19671630859375,-40.784236907958984,0.000942049256991595,1257.0,11,0.0008459126528049375,-3.8271917500000003
12,58.08203887939453,15084,14983,1301,-134.24102783203125,-10.635529518127441,0.000713312707375735,1257.0,11,0.0008459126528049375,-3.0937044166666663
16,3.2085657119750977,20112,20011,1748,-140.7489776611328,18.00115203857422,0.0009682917152531445,1257.0,11,0.0008459126528049375,-2.7486583749999998
20,2.5799038410186768,25140,25039,12,-140.8384552001953,-33.95630645751953,0.0003108543169219047,1257.0,11,0.0008459126528049375,-2.5740556999999997
24,4.6730804443359375,30168,30067,456,-142.81787109375,73.1912841796875,0.0006716320058330894,1257.0,11,0.0008459126528049375,-2.4371587083333335
28,7.1530961990356445,35196,35095,903,-146.84771728515625,-4.102482318878174,0.0011104292934760451,1257.0,11,0.0008459126528049375,-2.3621904285714286
32,11.003751754760742,40224,40123,1352,-146.28515625,42.588741302490234,0.0008742111385799944,1257.0,11,0.0008459126528049375,-2.2778311875000004
36,3.747161388397217,45252,45151,1797,-141.0567626953125,-26.839752197265625,0.0008744621300138533,1257.0,11,0.0008459126528049375,-2.2391441666666667
40,51.621055603027344,50280,50179,24,-136.8021240234375,81.32318878173828,0.00076992780668661,1257.0,11,0.0008459126528049375,-2.2040619250000004
44,12.473712921142578,55308,55207,465,-133.56454467773438,33.880393981933594,0.0014983414439484477,1257.0,11,0.0008459126528049375,-2.1568491818181816
48,3.744286060333252,60336,60235,909,-130.33384704589844,0.06807941198348999,0.0011265137000009418,1257.0,11,0.0008459126528049375,-2.1251215
52,7.204873085021973,65364,65263,1348,-126.31836700439453,-42.13401794433594,0.001091963378712535,1257.0,11,0.0008459126528049375,-2.1048959807692307
56,145.39260864257812,70392,70291,1787,-116.22636413574219,-7.651280403137207,0.0014843528624624014,1257.0,11,0.0008459126528049375,-2.0646658035714287
60,16.707836151123047,75420,75319,37,-102.84091186523438,5.943619728088379,0.0016780676087364554,1257.0,11,0.0008459126528049375,-2.0459866000000004
64,39.425384521484375,80448,80347,497,-92.24140930175781,96.70492553710938,0.000851000368129462,1257.0,10,0.0008459126528049375,-2.0288753437500002
68,5.015425682067871,85476,85375,961,-84.17720794677734,-11.388830184936523,0.0010963056702166796,1257.0,10,0.0008459126528049375,-2.0041165147058826
