time/episodes,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,time/fps,train/critic_loss,train/actor_loss,train/n_updates
4,0.017311882227659225,1258.0,154,5032,-4.96612725,-169.10934448242188,0.0008459126528049375,32,4.3533430099487305,-123.36381530761719,4931
8,0.0012273386819288135,1258.0,325,10064,-4.022726499999999,-15.947728157043457,0.0008459126528049375,30,6.538784027099609,-130.6204833984375,9963
12,0.0011243901681154966,1258.0,477,15096,-3.3374839166666663,-6.501907825469971,0.0008459126528049375,31,7.230257987976074,-135.3212890625,14995
16,0.000961942772846669,1258.0,630,20128,-3.0154625624999998,80.7724838256836,0.0008459126528049375,31,7.514379024505615,-137.3143768310547,20027
20,0.0009367121383547783,1258.0,6,25160,-2.7463147,76.5184326171875,0.0008459126528049375,26,36.85955047607422,-142.90792846679688,25059
24,0.0009295232011936605,1258.0,187,30192,-2.627031208333333,-6.140975475311279,0.0008459126528049375,27,8.869333267211914,-131.90744018554688,30091
28,0.0013715829700231552,1258.0,364,35224,-2.507199357142857,43.05205535888672,0.0008459126528049375,28,2.981335163116455,-114.1068344116211,35123
32,0.0008251533727161586,1258.0,554,40256,-2.3959112812499996,12.868097305297852,0.0008459126528049375,27,5.786491394042969,-107.03767395019531,40155
36,0.0006391145871020854,1258.0,713,45288,-2.3629569444444445,-29.724773406982422,0.0008459126528049375,28,2.2732067108154297,-106.81813049316406,45187
40,0.00031828368082642555,1258.0,12,50320,-2.3097032499999997,16.174518585205078,0.0008459126528049375,26,3.9256491661071777,-100.15255737304688,50219
44,0.0005579248536378145,1258.0,188,55352,-2.2564328863636365,5.547980308532715,0.0008459126528049375,28,6.760085105895996,-83.9640884399414,55251
48,0.0017312889685854316,1258.0,369,60384,-2.2085416875,15.438780784606934,0.0008459126528049375,28,6.383148193359375,-74.92291259765625,60283
52,0.001905742334201932,1258.0,560,65416,-2.1609491538461536,110.25225067138672,0.0008459126528049375,27,28.02857208251953,-54.52112579345703,65315
56,0.001339885056950152,1258.0,750,70448,-2.1313456607142856,28.11632537841797,0.0008459126528049375,27,2.819643259048462,-51.032981872558594,70347
60,0.0007883597863838077,1258.0,18,75480,-2.13214615,24.870765686035156,0.0008459126528049375,25,7.284958839416504,-40.16001892089844,75379
64,0.0010630898177623749,1258.0,217,80512,-2.099864453125,-13.18150520324707,0.0008459126528049375,25,7.6015625,-34.008480072021484,80411
68,0.0014865663833916187,1258.0,416,85544,-2.079147,2.853132486343384,0.0008459126528049375,25,80.42549896240234,-30.254657745361328,85443
