time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/learning_rate,train/approx_kl,train/n_updates,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,4009,512,,,,,,,,,,,,,
0,2,2648,1024,0.2,0.0004092704424510632,0.014814055,16,1.0009350776672363,-0.03034297563135624,-0.022434505401179194,-0.2533191442489624,-44.00867283344269,0.14700117865140783,0.224609375,,
0,3,2355,1536,0.2,0.0004092704424510632,0.01763058,32,1.0014268159866333,-0.03198639675974846,-0.030453636281890795,0.021369576454162598,-44.02362585067749,0.0025768212653929368,0.2764892578125,1258.0,-2.129031
0,4,2237,2048,0.2,0.0004092704424510632,0.016564207,48,1.0000051259994507,-0.02141438238322735,-0.024953239248134196,0.006266117095947266,-44.01181900501251,0.02055908995680511,0.2669677734375,1258.0,-2.129031
1,5,2175,2560,0.2,0.0004092704424510632,0.01788726,64,0.9991330504417419,-0.03256887197494507,-0.021925062348600477,0.03836870193481445,-43.96931040287018,0.0026903898287855554,0.2498779296875,1258.0,-2.1536435000000003
1,6,2128,3072,0.2,0.0004092704424510632,0.01809729,80,0.9995032548904419,-0.02480897307395935,-0.026236728648655117,0.005072653293609619,-43.964616894721985,0.024805336084682494,0.28076171875,1258.0,-2.1536435000000003
1,7,2098,3584,0.2,0.0004092704424510632,0.0210037,96,0.9986245036125183,-0.03697068616747856,-0.03021265134884743,0.043278396129608154,-43.95920491218567,0.0012749028701364296,0.278564453125,1258.0,-2.1536435000000003
1,8,2071,4096,0.2,0.0004092704424510632,0.019409766,112,0.9980390667915344,-0.039865121245384216,-0.02782453302643262,0.015108823776245117,-43.93138289451599,0.004066266126756091,0.3006591796875,1258.0,-2.1531473333333335
2,9,2055,4608,0.2,0.0004092704424510632,0.021147296,128,0.9977662563323975,-0.016614504158496857,-0.026329818065278232,0.005447506904602051,-43.92010807991028,0.03302537085255608,0.2811279296875,1258.0,-2.1531473333333335
2,10,2046,5120,0.2,0.0004092704424510632,0.013965674,144,0.9981237649917603,-0.027151057496666908,-0.021061940715298988,0.041698992252349854,-43.91347849369049,0.0027358992520021275,0.21044921875,1258.0,-2.1858702500000002
2,11,2033,5632,0.2,0.0004092704424510632,0.017039627,160,0.9977309703826904,-0.015991343185305595,-0.028514056481071748,0.010173499584197998,-43.9235018491745,0.03971803141757846,0.2584228515625,1258.0,-2.1858702500000002
3,12,2024,6144,0.2,0.0004092704424510632,0.014848746,176,0.9973247051239014,-0.04786801338195801,-0.028827649919549003,-0.09013998508453369,-43.90514266490936,0.0031679237490607193,0.197265625,1258.0,-2.1858702500000002
3,13,2012,6656,0.2,0.0004092704424510632,0.01490538,192,0.9971048831939697,-0.030243681743741035,-0.023543535266071558,0.03473055362701416,-43.894479751586914,0.005462666507810354,0.2169189453125,1258.0,-2.1935648
3,14,2004,7168,0.2,0.0004092704424510632,0.01954802,208,0.9955020546913147,-0.013187505304813385,-0.022197238635271788,0.013323605060577393,-43.86616361141205,0.04609563131816685,0.2332763671875,1258.0,-2.1935648
3,15,2002,7680,0.2,0.0004092704424510632,0.015283469,224,0.9965723156929016,-0.010941525921225548,-0.023464537305699196,-0.09211409091949463,-43.846041560173035,0.003912561685865512,0.2205810546875,1258.0,-2.174267
4,16,1998,8192,0.2,0.0004092704424510632,0.022050094,240,0.9973277449607849,-0.015751883387565613,-0.02822175555047579,0.004849612712860107,-43.88175404071808,0.06386718282010406,0.24609375,1258.0,-2.174267
4,17,1992,8704,0.2,0.0004092704424510632,0.019438408,256,0.997699499130249,-0.026531415060162544,-0.027153844363056123,0.03370434045791626,-43.89561069011688,0.0016329211812262656,0.2491455078125,1258.0,-2.174267
4,18,1987,9216,0.2,0.0004092704424510632,0.015702948,272,0.9976069331169128,-0.030912971124053,-0.02088525526050944,0.26618492603302,-43.900171637535095,0.004412634050822817,0.1881103515625,1258.0,-2.1779874285714285
4,19,1984,9728,0.2,0.0004092704424510632,0.02415225,288,0.9964272975921631,-0.021920155733823776,-0.026712209088145755,0.1577082872390747,-43.87973642349243,0.05608563288114965,0.2886962890625,1258.0,-2.1779874285714285
5,20,1982,10240,0.2,0.0004092704424510632,0.019730717,304,0.9968295693397522,-0.027114909142255783,-0.024270247129607014,0.04744774103164673,-43.86015558242798,0.006202245313033927,0.215087890625,1258.0,-2.173362625
5,21,1982,10752,0.2,0.0004092704424510632,0.019249307,320,0.9963898062705994,-0.01846553198993206,-0.025597592917620204,0.26076769828796387,-43.8696254491806,0.055279268708545715,0.2314453125,1258.0,-2.173362625
5,22,1979,11264,0.2,0.0004092704424510632,0.026049603,336,0.9980151057243347,-0.04697706177830696,-0.028299166791839525,-2.351440191268921,-43.8779079914093,0.005592371555394493,0.2313232421875,1258.0,-2.173362625
5,23,1975,11776,0.2,0.0004092704424510632,0.018282529,352,0.9982239007949829,-0.042495276778936386,-0.025818088834057562,0.2808989882469177,-43.91927683353424,0.004528360135736875,0.233154296875,1258.0,-2.1812270000000002
6,24,1972,12288,0.2,0.0004092704424510632,0.020939486,368,0.998663604259491,-0.027285385876893997,-0.027086461748695,0.2639208436012268,-43.91744685173035,0.047867150977253914,0.257080078125,1258.0,-2.1812270000000002
6,25,1971,12800,0.2,0.0004092704424510632,0.01679672,384,0.9981874227523804,-0.0226918812841177,-0.027541105169802904,-2.1408193111419678,-43.919222474098206,0.004555461702693719,0.21728515625,1258.0,-2.1670414
