time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_range,train/clip_fraction,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
4393,0,1,512,,,,,,,,,,,,,
2392,0,2,1024,0.2,0.2225341796875,0.9986208081245422,-43.963576316833496,-0.029638501117005944,-0.31284916400909424,16,0.0004092704424510632,0.015030598,-0.039325419813394547,0.19432750639680307,,
2081,0,3,1536,0.2,0.27392578125,0.998512864112854,-43.940428018569946,-0.028777353480109014,-0.011415243148803711,32,0.0004092704424510632,0.01721749,-0.03943580016493797,0.003859970522171352,1257.0,-2.418062
1936,1,4,2048,0.2,0.2955322265625,0.9980928897857666,-43.934000968933105,-0.031491165238549,0.01202470064163208,48,0.0004092704424510632,0.028425854,-0.04410652443766594,0.0048293220534105785,1257.0,-2.418062
1881,1,5,2560,0.2,0.244873046875,0.9973743557929993,-43.91404628753662,-0.02397837649914436,-0.0030531883239746094,64,0.0004092704424510632,0.01743153,-0.03249286115169525,0.003951427632273408,1257.0,-2.565691
1843,1,6,3072,0.2,0.276123046875,0.9955736398696899,-43.87718892097473,-0.029101953899953514,0.0014787912368774414,80,0.0004092704424510632,0.0211858,-0.034366488456726074,0.003027202757948544,1257.0,-2.565691
1817,1,7,3584,0.2,0.20751953125,0.9938044548034668,-43.81608295440674,-0.02259002449864056,0.007651150226593018,96,0.0004092704424510632,0.012392538,-0.026256518438458443,0.0023706602260062937,1257.0,-2.565691
1796,2,8,4096,0.2,0.212158203125,0.994783878326416,-43.79441225528717,-0.023625227564480156,-0.004157543182373047,112,0.0004092704424510632,0.013059393,-0.03219364956021309,0.003424611932132393,1257.0,-2.5968166666666668
1777,2,9,4608,0.2,0.3126220703125,0.9951343536376953,-43.8262003660202,-0.030674177425680682,-0.0027550458908081055,128,0.0004092704424510632,0.02552807,-0.026733923703432083,0.010438523750053719,1257.0,-2.5968166666666668
1763,2,10,5120,0.2,0.2364501953125,0.9944477081298828,-43.81960105895996,-0.023238639056216925,-0.0005764961242675781,144,0.0004092704424510632,0.014695899,-0.03153592720627785,0.00483291718410328,1257.0,-2.617174
1756,3,11,5632,0.2,0.281494140625,0.9926057457923889,-43.78025019168854,-0.025116245378740132,0.0005794763565063477,160,0.0004092704424510632,0.018728223,-0.02660820260643959,0.015884728985838592,1257.0,-2.617174
1750,3,12,6144,0.2,0.248046875,0.9896278381347656,-43.70532536506653,-0.025677479919977486,0.00022983551025390625,176,0.0004092704424510632,0.01500458,-0.0271493811160326,0.002978982163767796,1257.0,-2.617174
1748,3,13,6656,0.2,0.2835693359375,0.9875887036323547,-43.62312173843384,-0.029018142784480006,0.002817511558532715,192,0.0004092704424510632,0.017323595,-0.03565353527665138,0.002850239663530374,1257.0,-2.5879019999999997
