train/n_updates,train/critic_loss,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/actor_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss
4927,3.2749712467193604,5028,4,394,-4.3535585,1257.0,12,-120.23346710205078,0.017104214057326317,0.0008459126528049375,-183.24383544921875
9955,17.615192413330078,10056,8,800,-3.318402125,1257.0,12,-122.98273468017578,0.0012429887428879738,0.0008459126528049375,-10.693315505981445
14983,6.554169654846191,15084,12,1207,-2.715706416666667,1257.0,12,-117.27525329589844,0.0011578274425119162,0.0008459126528049375,-42.55388641357422
20011,2.1160361766815186,20112,16,1610,-2.3751884999999997,1257.0,12,-90.55183410644531,0.0011572445509955287,0.0008459126528049375,21.52338409423828
25039,16.126205444335938,25140,20,10,-2.2045006999999996,1257.0,12,-89.4476318359375,0.0006287552532739937,0.0008459126528049375,60.389469146728516
30067,1.5198869705200195,30168,24,411,-2.0493037083333334,1257.0,12,-86.77193450927734,0.0002591208613011986,0.0008459126528049375,11.754341125488281
35095,4.078934669494629,35196,28,813,-1.9357971785714285,1257.0,12,-66.98881530761719,0.0010213440982624888,0.0008459126528049375,25.71599578857422
40123,2.2631096839904785,40224,32,1215,-1.84915453125,1257.0,12,-58.36284637451172,0.0006651659496128559,0.0008459126528049375,-42.34345245361328
45151,2.021397590637207,45252,36,1612,-1.7935383888888892,1257.0,12,-45.96657943725586,0.0005242965999059379,0.0008459126528049375,35.17481231689453
50179,5.756741523742676,50280,40,21,-1.7290868,1257.0,12,-32.46208190917969,0.0009992567356675863,0.0008459126528049375,-58.89591979980469
55207,3.2793920040130615,55308,44,418,-1.6960697954545454,1257.0,12,-24.557512283325195,0.0007194566424004734,0.0008459126528049375,15.965770721435547
60235,2.0252223014831543,60336,48,814,-1.6635997291666669,1257.0,12,-15.287638664245605,0.0005874820635654032,0.0008459126528049375,-27.92650604248047
65263,2.127899169921875,65364,52,1212,-1.6155325192307695,1257.0,12,-13.998207092285156,0.0005832997849211097,0.0008459126528049375,-8.889702796936035
70291,2.05906081199646,70392,56,1625,-1.5930311071428573,1257.0,12,0.6706278920173645,0.0005907752783969045,0.0008459126528049375,-41.06081771850586
75319,1.982043981552124,75420,60,35,-1.5759973833333336,1257.0,11,2.097407102584839,0.0003667607088573277,0.0008459126528049375,42.251625061035156
