time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,4049,,,,,,,,,,,,,
0,1024,2,1899,0.016753336,0.9998595714569092,-43.98345911502838,16,-0.03710499033331871,0.241455078125,0.1949634363390942,-2.285635232925415,0.2,0.0004092704424510632,-0.025425712898140773,,
0,1536,3,1636,0.0130039565,0.9990033507347107,-43.970303893089294,32,-0.020486006513237953,0.21875,0.003553177299181698,0.0876571536064148,0.2,0.0004092704424510632,-0.020040665433043614,-2.89028,1258.0
1,2048,4,1516,0.015716419,0.9982936978340149,-43.94448697566986,48,-0.02995728701353073,0.2298583984375,0.011354731366736814,-0.01443779468536377,0.2,0.0004092704424510632,-0.024155145612894557,-2.89028,1258.0
1,2560,5,1450,0.017761745,0.9981819987297058,-43.93138635158539,64,-0.023928087204694748,0.27197265625,0.0026468242394912522,-0.00900733470916748,0.2,0.0004092704424510632,-0.026809871953446418,-2.8729305,1258.0
2,3072,6,1411,0.022514604,0.998132586479187,-43.92604088783264,80,-0.01991976983845234,0.31591796875,0.01569298782851547,0.0118635892868042,0.2,0.0004092704424510632,-0.0269009004405234,-2.8729305,1258.0
2,3584,7,1381,0.018388327,0.9974184632301331,-43.91519832611084,96,-0.03583889827132225,0.2469482421875,0.0015072685800987529,-0.06025803089141846,0.2,0.0004092704424510632,-0.026506293746933807,-2.8729305,1258.0
3,4096,8,1359,0.03387735,0.9997456073760986,-43.92880070209503,112,-0.027101930230855942,0.3118896484375,0.011854025418870151,0.012010812759399414,0.2,0.0004092704424510632,-0.028394608219969086,-2.914339,1258.0
3,4608,9,1343,0.01685822,1.00027596950531,-43.985777735710144,128,-0.03182253986597061,0.287841796875,0.006862239170004614,0.016135334968566895,0.2,0.0004092704424510632,-0.03184139510267414,-2.914339,1258.0
3,5120,10,1328,0.014997663,0.9985584020614624,-43.96590483188629,144,-0.029572252184152603,0.2562255859375,0.0031894179483060725,0.01660853624343872,0.2,0.0004092704424510632,-0.02667377670877613,-2.89131175,1258.0
4,5632,11,1317,0.01732926,0.9973046183586121,-43.91173589229584,160,-0.018636804074048996,0.2371826171875,0.02821443701395765,0.009719014167785645,0.2,0.0004092704424510632,-0.02374254330061376,-2.89131175,1258.0
4,6144,12,1308,0.019771492,0.9968492984771729,-43.88780081272125,176,-0.03448520600795746,0.268798828125,0.0018778605644911295,0.02198714017868042,0.2,0.0004092704424510632,-0.026699864713009447,-2.89131175,1258.0
5,6656,13,1302,0.014233945,0.9948298335075378,-43.85294151306152,192,-0.02392054721713066,0.188720703125,0.010990311100613326,0.033863067626953125,0.2,0.0004092704424510632,-0.017046849330654368,-2.8758533999999996,1258.0
5,7168,14,1296,0.018932074,0.9920904040336609,-43.77287185192108,208,-0.03499644249677658,0.28125,0.025122109276708215,0.021215438842773438,0.2,0.0004092704424510632,-0.027885024712304585,-2.8758533999999996,1258.0
5,7680,15,1292,0.018825475,0.9901590943336487,-43.69346821308136,224,-0.038064513355493546,0.2672119140625,0.0028542603067762684,0.11432713270187378,0.2,0.0004092704424510632,-0.028049053973518312,-2.855139833333333,1258.0
6,8192,16,1288,0.025908057,0.9904518127441406,-43.66492760181427,240,-0.013257261365652084,0.295654296875,0.03948209877125919,0.06885987520217896,0.2,0.0004092704424510632,-0.027239804840064608,-2.855139833333333,1258.0
6,8704,17,1283,0.023025654,0.9897990226745605,-43.66793966293335,256,-0.05039666220545769,0.3048095703125,0.0025787706836126745,-0.5732746124267578,0.2,0.0004092704424510632,-0.03453940806502942,-2.855139833333333,1258.0
7,9216,18,1279,0.018637225,0.9904302954673767,-43.65883409976959,272,-0.04379257932305336,0.2623291015625,0.009317448741057888,0.06697112321853638,0.2,0.0004092704424510632,-0.02731453563319519,-2.8256727142857136,1258.0
7,9728,19,1276,0.024036922,0.9910212755203247,-43.685625314712524,288,-0.01428988203406334,0.2774658203125,0.049029053072445095,0.10071176290512085,0.2,0.0004092704424510632,-0.02772662421921268,-2.8256727142857136,1258.0
8,10240,20,1273,0.015166227,0.9904469847679138,-43.686052441596985,304,-0.023937614634633064,0.2060546875,0.003124251357803587,-0.7204594612121582,0.2,0.0004092704424510632,-0.02221496682614088,-2.82130075,1258.0
8,10752,21,1270,0.013553847,0.9910808205604553,-43.67779529094696,320,-0.01006605289876461,0.1864013671875,0.05104094312991947,0.0699966549873352,0.2,0.0004092704424510632,-0.019561043212888762,-2.82130075,1258.0
8,11264,22,1268,0.017700069,0.9908353090286255,-43.69096088409424,336,-0.026992695406079292,0.2542724609375,0.002336294051929144,-1.9348430633544922,0.2,0.0004092704424510632,-0.02762441846425645,-2.82130075,1258.0
9,11776,23,1266,0.021853337,0.9905030727386475,-43.67718744277954,352,-0.028241006657481194,0.2320556640625,0.010935780897852965,0.09922873973846436,0.2,0.0004092704424510632,-0.02406352461548522,-2.795606222222222,1258.0
9,12288,24,1264,0.02628994,0.9898012280464172,-43.65973484516144,368,-0.02384055405855179,0.31494140625,0.03762824152363464,0.22884976863861084,0.2,0.0004092704424510632,-0.028511104348581284,-2.795606222222222,1258.0
10,12800,25,1263,0.014810378,0.9902713298797607,-43.65044343471527,384,-0.033642809838056564,0.2000732421875,0.005111855884024408,-3.623885154724121,0.2,0.0004092704424510632,-0.02127141520031728,-2.7794601,1258.0
10,13312,26,1263,0.015749015,0.9902827143669128,-43.66546285152435,400,-0.0008356571197509766,0.2093505859375,0.055860150372609496,0.14404213428497314,0.2,0.0004092704424510632,-0.021241176640614867,-2.7794601,1258.0
10,13824,27,1262,0.022498257,0.9896760582923889,-43.651227712631226,416,-0.03729960322380066,0.27099609375,0.0033206307562068105,-2.235048532485962,0.2,0.0004092704424510632,-0.027169722903636284,-2.7794601,1258.0
11,14336,28,1260,0.021681152,0.9878159165382385,-43.61576521396637,432,-0.03722609579563141,0.2584228515625,0.010336842096876353,0.09902364015579224,0.2,0.0004092704424510632,-0.02751868021005066,-2.7744177272727275,1258.0
11,14848,29,1260,0.03041527,0.9874592423439026,-43.57348096370697,448,-0.016145534813404083,0.2552490234375,0.03504255146253854,0.22578823566436768,0.2,0.0004092704424510632,-0.023462577162717935,-2.7744177272727275,1258.0
