time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/loss,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
9,11776,23,1297,0.02515968,0.9861113429069519,-43.51860010623932,352,-0.03377380222082138,0.2823486328125,0.01095061464002356,0.03478801250457764,0.2,0.0004092704424510632,-0.026455962302861735,-2.7566248888888887,1258.0
9,12288,24,1296,0.03506053,0.9865558743476868,-43.542572021484375,368,-0.011282360181212425,0.3160400390625,0.06411998625844717,0.02504134178161621,0.2,0.0004092704424510632,-0.02894110814668238,-2.7566248888888887,1258.0
9,12800,25,1296,0.016354397,0.9871614575386047,-43.556262850761414,384,-0.03492610156536102,0.1658935546875,0.01093115916592069,-0.4069359302520752,0.2,0.0004092704424510632,-0.017577301725395955,-2.7452125,1258.0
10,13312,26,1295,0.01999582,0.9867954850196838,-43.56296420097351,400,0.014261271804571152,0.2354736328125,0.12087406823411584,0.002287566661834717,0.2,0.0004092704424510632,-0.024637645125039853,-2.7452125,1258.0
10,13824,27,1293,0.018318586,0.9869658350944519,-43.55347657203674,416,-0.048988379538059235,0.2244873046875,0.002339878838029108,-0.012083053588867188,0.2,0.0004092704424510632,-0.02456145780888619,-2.7452125,1258.0
11,14336,28,1292,0.03395488,0.9872811436653137,-43.5607887506485,432,-0.027505947276949883,0.3116455078125,0.01243996573612094,0.026698827743530273,0.2,0.0004092704424510632,-0.030587938555981964,-2.752445090909091,1258.0
11,14848,29,1291,0.031538177,0.9876519441604614,-43.571460604667664,448,-0.009805727750062943,0.2724609375,0.05550961825065315,0.06595504283905029,0.2,0.0004092704424510632,-0.0249126183334738,-2.752445090909091,1258.0
11,15360,30,1291,0.015612255,0.9867925047874451,-43.56640565395355,464,-0.03911004960536957,0.2135009765625,0.0058415756466274615,-0.7324281930923462,0.2,0.0004092704424510632,-0.025859724322799593,-2.7495696666666665,1258.0
12,15872,31,1291,0.022710986,0.9848647713661194,-43.5199339389801,480,0.018212631344795227,0.2528076171875,0.14897378906607628,0.01026463508605957,0.2,0.0004092704424510632,-0.025029874785104766,-2.7495696666666665,1258.0
12,16384,32,1290,0.016797848,0.9825642704963684,-43.4519727230072,496,-0.042427241802215576,0.201904296875,0.004223327759973472,-0.16081738471984863,0.2,0.0004092704424510632,-0.02584459899662761,-2.748270153846154,1258.0
13,16896,33,1289,0.02179752,0.9831234812736511,-43.41341543197632,512,0.019610509276390076,0.2564697265625,0.12762022437527776,0.2786272168159485,0.2,0.0004092704424510632,-0.025341127649880946,-2.748270153846154,1258.0
13,17408,34,1288,0.0143437,0.9857004880905151,-43.46821463108063,528,-0.030767595395445824,0.1912841796875,0.004096258795470931,-0.8603270053863525,0.2,0.0004092704424510632,-0.020394587510963902,-2.748270153846154,1258.0
13,17920,35,1287,0.022146102,0.9872512221336365,-43.53699040412903,544,-0.04618647322058678,0.2418212890625,0.005966275952232536,-0.004822134971618652,0.2,0.0004092704424510632,-0.026846404478419572,-2.7326482857142858,1258.0
