train/actor_loss,time/time_elapsed,time/total_timesteps,train/critic_loss,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean
-120.99833679199219,64,5032,1.2675046920776367,77,0.0008459126528049375,0.017269808799028397,-176.23899841308594,4931,-4.842493,4,1258.0
-126.94967651367188,130,10064,4.0072431564331055,76,0.0008459126528049375,0.0012101499596610665,-21.1480655670166,9963,-3.867553,8,1258.0
-119.63542175292969,199,15096,17.704557418823242,75,0.0008459126528049375,0.0007897526957094669,16.872814178466797,14995,-3.213128666666666,12,1258.0
-119.54769134521484,268,20128,3.4324088096618652,75,0.0008459126528049375,0.000672113208565861,88.13446044921875,20027,-2.8603689374999997,16,1258.0
-120.3723373413086,2,25160,3.2698354721069336,72,0.0008459126528049375,0.0004559031513053924,128.26019287109375,25059,-2.62997935,20,1258.0
-117.22615051269531,71,30192,1.9858216047286987,72,0.0008459126528049375,0.0004734028480015695,93.25990295410156,30091,-2.52264175,24,1258.0
-112.526123046875,141,35224,3.148765802383423,72,0.0008459126528049375,0.0007199370884336531,-32.046749114990234,35123,-2.3626993214285714,28,1258.0
-108.41361999511719,211,40256,5.91839599609375,72,0.0008459126528049375,0.0011850555893033743,-56.234432220458984,40155,-2.2458595000000003,32,1258.0
-101.49053955078125,281,45288,7.3870391845703125,72,0.0008459126528049375,0.0007607562001794577,42.578487396240234,45187,-2.1657066944444447,36,1258.0
-91.34768676757812,4,50320,4.872947692871094,72,0.0008459126528049375,0.0008098010439425707,-13.15511417388916,50219,-2.1057477249999996,40,1258.0
-85.04154968261719,74,55352,7.252968788146973,72,0.0008459126528049375,0.0021010811906307936,17.047121047973633,55251,-2.05938825,44,1258.0
-71.07681274414062,143,60384,11.872917175292969,72,0.0008459126528049375,0.001393178361468017,7.186149597167969,60283,-2.017382479166667,48,1258.0
-61.57801818847656,213,65416,19.435094833374023,72,0.0008459126528049375,0.002311964286491275,10.90548324584961,65315,-1.9875064423076927,52,1258.0
-44.59862518310547,284,70448,17.386289596557617,71,0.0008459126528049375,0.0016509569250047207,-14.774019241333008,70347,-1.9609124821428572,56,1258.0
-25.742216110229492,6,75480,33.67510223388672,69,0.0008459126528049375,0.0018764095148071647,12.668815612792969,75379,-1.9344709666666666,60,1258.0
-23.58016586303711,80,80512,23.814292907714844,68,0.0008459126528049375,0.0012129414826631546,-19.700328826904297,80411,-1.9144546875000001,64,1258.0
-2.83022141456604,154,85544,45.44392395019531,68,0.0008459126528049375,0.0020917654037475586,-65.8288345336914,85443,-1.8975472941176472,68,1258.0
8.39462947845459,228,90576,9.717517852783203,68,0.0008459126528049375,0.0012060276931151748,1.2554748058319092,90475,-1.8868658472222226,72,1258.0
