time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
10752,21,1830,5,0.0006871819496154785,1.003413200378418,0.022290863,0.2369384765625,0.2,0.0004092704424510632,-0.026758051724755205,-0.01059052161872387,0.0634231788571924,-44.12192630767822,320,-2.296949625,1223.0
11264,22,1833,6,-0.010525107383728027,1.0031514167785645,0.020990292,0.2628173828125,0.2,0.0004092704424510632,-0.028419527647201903,-0.03964227810502052,0.0017911189952428686,-44.07206463813782,336,-2.3088773333333332,1223.0
11776,23,1834,6,0.0013405084609985352,1.0042630434036255,0.016830646,0.2265625,0.2,0.0004092704424510632,-0.02548890863545239,0.012064315378665924,0.06812832644209266,-44.087303161621094,352,-2.3088773333333332,1223.0
12288,24,1835,6,-0.04148101806640625,1.005325198173523,0.016553745,0.2017822265625,0.2,0.0004092704424510632,-0.023676020369748585,-0.03638395667076111,0.0010726226864790078,-44.120646476745605,368,-2.2967432000000003,1223.0
12800,25,1836,6,0.0013384819030761719,1.0052801370620728,0.017165357,0.226806640625,0.2,0.0004092704424510632,-0.024530436552595347,-0.0023538023233413696,0.07162233302369714,-44.13961160182953,384,-2.2967432000000003,1223.0
13312,26,1836,7,-0.010269522666931152,1.004807472229004,0.022592032,0.266845703125,0.2,0.0004092704424510632,-0.0291546170192305,-0.034682631492614746,0.002252669175504707,-44.12866997718811,400,-2.2967432000000003,1223.0
13824,27,1837,7,-0.003906726837158203,1.0050441026687622,0.020546407,0.2423095703125,0.2,0.0004092704424510632,-0.026589811037410982,-0.030977042391896248,0.0030410104955080897,-44.1222083568573,416,-2.302760363636364,1223.0
14336,28,1837,7,0.0009254813194274902,1.0045804977416992,0.017372163,0.23388671875,0.2,0.0004092704424510632,-0.022200486142537557,0.012518007308244705,0.0912546415347606,-44.125821352005005,432,-2.302760363636364,1223.0
14848,29,1836,8,0.001752018928527832,1.0051612854003906,0.019641533,0.254150390625,0.2,0.0004092704424510632,-0.026263107865815982,-0.05512549728155136,0.0016071001809905283,-44.11793291568756,448,-2.3066672500000003,1223.0
15360,30,1830,8,0.0012712478637695312,1.0053064823150635,0.015989298,0.205322265625,0.2,0.0004092704424510632,-0.01889116843813099,0.008918795734643936,0.09299324825406075,-44.13501989841461,464,-2.3066672500000003,1223.0
