time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,2868,0,,,,,,,,,,,,,
1024,2,2180,0,-0.33865952491760254,1.0010349750518799,0.016902935,0.26611328125,0.2,0.0004092704424510632,-0.03157256232225336,-0.028445156291127205,0.10251814990624553,-44.00350594520569,16,,
1536,3,2006,0,0.02239370346069336,1.000525712966919,0.020256728,0.266845703125,0.2,0.0004092704424510632,-0.027121175749925897,-0.022782381623983383,0.0025896345941873733,-44.0173134803772,32,-2.334926,1223.0
2048,4,1852,1,0.006085813045501709,1.0003578662872314,0.029715147,0.3365478515625,0.2,0.0004092704424510632,-0.034736135086859576,-0.03493174910545349,0.01584556541638449,-43.99427652359009,48,-2.334926,1223.0
2560,5,1716,1,-0.004937887191772461,0.9989673495292664,0.018581845,0.2564697265625,0.2,0.0004092704424510632,-0.027907762399991043,-0.04080694168806076,0.0016457563015137566,-43.97866892814636,64,-2.2524255,1223.0
3072,6,1680,1,0.001958310604095459,0.9983881711959839,0.0155961085,0.2501220703125,0.2,0.0004092704424510632,-0.02530373061017599,-0.010165169835090637,0.020187197253108025,-43.93825089931488,80,-2.2524255,1223.0
3584,7,1673,2,-0.011641621589660645,0.9973031282424927,0.017940886,0.2598876953125,0.2,0.0004092704424510632,-0.02604271577001782,-0.025384051725268364,0.001988506002817303,-43.917080998420715,96,-2.2524255,1223.0
4096,8,1672,2,-0.012503266334533691,0.9975482225418091,0.018804247,0.298828125,0.2,0.0004092704424510632,-0.029558367910794914,-0.035818640142679214,0.0022088104851718526,-43.893914222717285,112,-2.2882496666666667,1223.0
4608,9,1677,2,-0.001547098159790039,0.9979421496391296,0.026483271,0.3541259765625,0.2,0.0004092704424510632,-0.03481775338877924,-0.024144982919096947,0.03378561808494851,-43.90790331363678,128,-2.2882496666666667,1223.0
5120,10,1652,3,0.005150437355041504,0.9965648055076599,0.01994337,0.2530517578125,0.2,0.0004092704424510632,-0.02602451792336069,-0.031465012580156326,0.002057855564999045,-43.89701557159424,144,-2.31335025,1223.0
5632,11,1629,3,-0.00025975704193115234,0.996005117893219,0.017355239,0.2427978515625,0.2,0.0004092704424510632,-0.021843339927727357,-0.00765162892639637,0.03813076880760491,-43.85173690319061,160,-2.31335025,1223.0
6144,12,1619,3,0.002421438694000244,0.9932540059089661,0.015941352,0.2391357421875,0.2,0.0004092704424510632,-0.02735717286122963,-0.03315666317939758,0.0016576275793340756,-43.81554734706879,176,-2.3183456,1223.0
6656,13,1618,4,0.0008377432823181152,0.992465078830719,0.017223423,0.239501953125,0.2,0.0004092704424510632,-0.02683522301958874,-0.009867224842309952,0.04513299628160894,-43.74646246433258,192,-2.3183456,1223.0
7168,14,1624,4,0.019151031970977783,0.9945694208145142,0.018272573,0.2669677734375,0.2,0.0004092704424510632,-0.032530250726267695,-0.04630143195390701,0.0021981299796607345,-43.76587772369385,208,-2.3183456,1223.0
7680,15,1619,4,0.0005685687065124512,0.9970395565032959,0.017244995,0.23388671875,0.2,0.0004092704424510632,-0.02494010573718697,-0.03326316550374031,0.0027127147659484763,-43.84122562408447,224,-2.3019381666666665,1223.0
8192,16,1617,5,0.00018978118896484375,0.9976996183395386,0.01755837,0.2501220703125,0.2,0.0004092704424510632,-0.025965173466829583,-0.013333756476640701,0.0567548549734056,-43.89451324939728,240,-2.3019381666666665,1223.0
8704,17,1617,5,-0.0013827085494995117,0.9987937808036804,0.022231689,0.2880859375,0.2,0.0004092704424510632,-0.029663650930160657,-0.03702542558312416,0.001781389903044328,-43.91053485870361,256,-2.2825571428571427,1223.0
9216,18,1621,5,0.0003592967987060547,0.9986749291419983,0.02063132,0.242431640625,0.2,0.0004092704424510632,-0.025065482521313243,-0.003947051241993904,0.06250464974436909,-43.93764913082123,272,-2.2825571428571427,1223.0
9728,19,1627,5,0.0008870363235473633,0.9975201487541199,0.017011736,0.2113037109375,0.2,0.0004092704424510632,-0.023440129662049003,-0.03472423180937767,0.0020002129804197466,-43.91091847419739,288,-2.2825571428571427,1223.0
10240,20,1626,6,-0.0035445690155029297,0.9970172643661499,0.017572217,0.2418212890625,0.2,0.0004092704424510632,-0.02454233478056267,-0.032989226281642914,0.0031343162336270325,-43.882298707962036,304,-2.29384075,1223.0
10752,21,1626,6,0.000774681568145752,0.9941532015800476,0.026887577,0.2540283203125,0.2,0.0004092704424510632,-0.026169584976742044,-0.010255984961986542,0.0732312313048169,-43.844661355018616,320,-2.29384075,1223.0
11264,22,1633,6,-0.008674144744873047,0.9943722486495972,0.018535962,0.2666015625,0.2,0.0004092704424510632,-0.026911487555480562,-0.04897579550743103,0.0022332243352138903,-43.781004309654236,336,-2.3093346666666665,1223.0
11776,23,1643,7,0.0006279945373535156,0.9942352771759033,0.023859544,0.252685546875,0.2,0.0004092704424510632,-0.02675995662866626,0.001654006540775299,0.08052805601619184,-43.799280762672424,352,-2.3093346666666665,1223.0
12288,24,1639,7,-0.007741808891296387,0.990989625453949,0.018975355,0.2274169921875,0.2,0.0004092704424510632,-0.02390539659973001,-0.05398952215909958,0.0013934780454292195,-43.74254381656647,368,-2.3123344,1223.0
12800,25,1638,7,0.0007276535034179688,0.9913724064826965,0.019648127,0.2236328125,0.2,0.0004092704424510632,-0.025814822351094335,0.00795840099453926,0.08461175975389779,-43.685827016830444,384,-2.3123344,1223.0
13312,26,1646,8,0.0002263188362121582,0.9925152063369751,0.014436593,0.2088623046875,0.2,0.0004092704424510632,-0.024601075099781156,-0.039297763258218765,0.0025168742977257352,-43.716617703437805,400,-2.3123344,1223.0
13824,27,1648,8,-0.0013147592544555664,0.9910560250282288,0.022761054,0.2550048828125,0.2,0.0004092704424510632,-0.026744597009383142,-0.044322893023490906,0.003651884173450526,-43.71733999252319,416,-2.3151206363636363,1223.0
