time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,3919,0,,,,,,,,,,,,,
1024,2,2301,0,-0.8646388053894043,0.9979790449142456,0.014452841,0.208251953125,0.2,0.0004092704424510632,-0.025594232516596094,-0.028318211436271667,0.2136084697121987,-43.95789396762848,16,,
1536,3,2053,0,-0.022699832916259766,0.9954040050506592,0.019242935,0.2652587890625,0.2,0.0004092704424510632,-0.025233563443180174,-0.035883303731679916,0.002248497010441497,-43.884103178977966,32,-2.255331,1223.0
2048,4,1955,1,-0.004982113838195801,0.9957008957862854,0.019947331,0.28076171875,0.2,0.0004092704424510632,-0.026193243742454797,-0.031221525743603706,0.024096072127576917,-43.838430404663086,48,-2.255331,1223.0
2560,5,1907,1,-0.013335943222045898,0.9959970712661743,0.019602796,0.2982177734375,0.2,0.0004092704424510632,-0.027018763503292575,-0.0451185405254364,0.0013635640207212418,-43.854365825653076,64,-2.278739,1223.0
3072,6,1861,1,-0.0029642581939697266,0.9981102347373962,0.025572073,0.323486328125,0.2,0.0004092704424510632,-0.03256912884535268,-0.03385434299707413,0.014080315362662077,-43.88264012336731,80,-2.278739,1223.0
3584,7,1835,1,-0.006735324859619141,0.9996812343597412,0.018269278,0.236572265625,0.2,0.0004092704424510632,-0.02246440305316355,-0.02791924960911274,0.0019015774378203787,-43.95201241970062,96,-2.278739,1223.0
4096,8,1814,2,-0.0033227205276489258,1.0008442401885986,0.022156738,0.27490234375,0.2,0.0004092704424510632,-0.028431365615688264,-0.029589051380753517,0.0021498575624718796,-43.98553740978241,112,-2.232991333333333,1223.0
4608,9,1798,2,-0.004717588424682617,1.0003361701965332,0.018773608,0.267333984375,0.2,0.0004092704424510632,-0.025901524131768383,-0.027169741690158844,0.003961585178331006,-44.00584018230438,128,-2.232991333333333,1223.0
5120,10,1792,2,-0.0031175613403320312,1.001192331314087,0.017671246,0.219970703125,0.2,0.0004092704424510632,-0.023349092443822883,-0.04156428202986717,0.0019400990113354055,-43.99155676364899,144,-2.24312325,1223.0
5632,11,1777,3,-0.005033612251281738,1.0021083354949951,0.019986592,0.2576904296875,0.2,0.0004092704424510632,-0.027483015903271735,-0.02933240309357643,0.0023154337977757677,-44.03167176246643,160,-2.24312325,1223.0
6144,12,1771,3,-0.004179477691650391,1.001024842262268,0.017730966,0.233642578125,0.2,0.0004092704424510632,-0.026746578485472128,-0.04106171801686287,0.0016714448138372973,-44.03128623962402,176,-2.2336178,1223.0
6656,13,1763,3,-0.000270843505859375,1.0006678104400635,0.020581527,0.27099609375,0.2,0.0004092704424510632,-0.02912547579035163,-0.040015026926994324,0.0029250894294818863,-43.99721562862396,192,-2.2336178,1223.0
7168,14,1755,4,-0.0036562681198120117,1.0001899003982544,0.01671939,0.2037353515625,0.2,0.0004092704424510632,-0.027575627304031514,-0.04210371896624565,0.002513253057259135,-43.985491156578064,208,-2.2336178,1223.0
7680,15,1749,4,-0.0003247261047363281,0.999606192111969,0.013310665,0.1700439453125,0.2,0.0004092704424510632,-0.018642654933501035,-0.027078324928879738,0.0022895188558322843,-43.968477845191956,224,-2.224216,1223.0
8192,16,1743,4,-0.0003622770309448242,0.9995688796043396,0.018498458,0.2149658203125,0.2,0.0004092704424510632,-0.02230954958940856,-0.023027580231428146,0.010234543005935848,-43.959798097610474,240,-2.224216,1223.0
8704,17,1740,4,0.002062559127807617,1.0010355710983276,0.019815795,0.241943359375,0.2,0.0004092704424510632,-0.0248970467800973,-0.025347024202346802,0.0013413338656391716,-43.97252678871155,256,-2.2200797142857143,1223.0
