time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/value_loss,train/entropy_loss,train/std,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,4144,1,,,,,,,,,,,,,
1024,0,1894,2,16,0.196770236158045,-43.97800123691559,0.9992347359657288,0.016849354,-0.8285602331161499,0.2364501953125,-0.042662959545850754,0.2,-0.026843757913411537,0.0004092704424510632,,
1536,0,1610,3,32,0.0045729889898211695,-43.9594190120697,0.9991043210029602,0.018778652,-0.005275249481201172,0.2735595703125,-0.027716683223843575,0.2,-0.031762244645506144,0.0004092704424510632,1257.0,-2.408071
2048,1,1498,4,48,0.014329944446217269,-43.9721360206604,1.0004302263259888,0.013897119,0.011311829090118408,0.207275390625,-0.0311531163752079,0.2,-0.02313410391798243,0.0004092704424510632,1257.0,-2.408071
2560,1,1436,5,64,0.003633727174019441,-44.008670806884766,1.0008245706558228,0.014520431,-0.004872322082519531,0.232421875,-0.039002470672130585,0.2,-0.025763370213098824,0.0004092704424510632,1257.0,-2.4455025
3072,2,1397,6,80,0.0056255038507515565,-44.02258014678955,1.001989483833313,0.020173892,0.009576201438903809,0.25390625,-0.042991310358047485,0.2,-0.025155426847049966,0.0004092704424510632,1257.0,-2.4455025
3584,2,1372,7,96,0.002110404151608236,-44.072669982910156,1.0039615631103516,0.013841255,0.02185267210006714,0.2176513671875,-0.031534165143966675,0.2,-0.022384549054550007,0.0004092704424510632,1257.0,-2.4455025
4096,3,1353,8,112,0.003488335081783589,-44.09537494182587,1.0030325651168823,0.018153556,-0.0007832050323486328,0.2684326171875,-0.04122566804289818,0.2,-0.031019352027215064,0.0004092704424510632,1257.0,-2.381372333333333
4608,3,1339,9,128,0.003941969065635931,-44.076125144958496,1.003533959388733,0.02162551,0.014358043670654297,0.3004150390625,-0.03566795960068703,0.2,-0.027543283111299388,0.0004092704424510632,1257.0,-2.381372333333333
5120,3,1326,10,144,0.003960346810345072,-44.10254919528961,1.0043033361434937,0.015501512,0.0026367902755737305,0.233642578125,-0.017320040613412857,0.2,-0.023521423718193546,0.0004092704424510632,1257.0,-2.36613975
