time/episodes,train/n_updates,train/ent_coef_loss,time/fps,train/learning_rate,rollout/ep_rew_mean,train/actor_loss,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean
4,4927,-186.32296752929688,29,0.0008459126528049375,-4.5917065,-120.48922729492188,0.016790658235549927,1.4321504831314087,5028,171,1257.0
8,9955,-25.094852447509766,29,0.0008459126528049375,-3.8577857499999997,-127.45571899414062,0.0009726313874125481,2.6007776260375977,10056,345,1257.0
12,14983,39.07469940185547,29,0.0008459126528049375,-3.013048916666666,-130.89804077148438,0.00042833221959881485,2.894597291946411,15084,506,1257.0
16,20011,30.199764251708984,29,0.0008459126528049375,-2.6092765625,-125.24331665039062,0.0007309952052310109,10.997753143310547,20112,674,1257.0
20,25039,26.07436752319336,32,0.0008459126528049375,-2.3858443499999997,-115.66256713867188,0.0012478565331548452,8.776172637939453,25140,4,1257.0
24,30067,98.50678253173828,32,0.0008459126528049375,-2.290390958333333,-94.10179138183594,0.0014827053528279066,19.053619384765625,30168,160,1257.0
28,35095,-21.366413116455078,32,0.0008459126528049375,-2.2266465714285713,-78.83416748046875,0.0016426552319899201,11.913419723510742,35196,314,1257.0
32,40123,24.469350814819336,30,0.0008459126528049375,-2.1867423437499998,-81.83431243896484,0.0010871062986552715,4.5974931716918945,40224,491,1257.0
36,45151,424.1112976074219,31,0.0008459126528049375,-2.1539710000000003,-59.99289321899414,0.0008211936801671982,66.7083969116211,45252,650,1257.0
40,50179,30.551939010620117,32,0.0008459126528049375,-2.0902602,-39.682884216308594,0.0014145307941362262,3.877107858657837,50280,8,1257.0
44,55207,-100.46412658691406,28,0.0008459126528049375,-2.065112090909091,-27.430940628051758,0.0006359478575177491,1.6703617572784424,55308,185,1257.0
48,60235,-17.284042358398438,28,0.0008459126528049375,-2.0367576041666666,-22.82408905029297,0.000415904592955485,0.7379982471466064,60336,363,1257.0
52,65263,-82.84381103515625,28,0.0008459126528049375,-2.001035596153846,-3.936647415161133,0.0007513973978348076,5.85716438293457,65364,544,1257.0
56,70291,72.85478973388672,28,0.0008459126528049375,-1.9781981785714287,3.4673666954040527,0.0004647964087780565,1.8054168224334717,70392,716,1257.0
60,75319,33.0705680847168,30,0.0008459126528049375,-1.9901475666666668,11.89100170135498,0.0004377227451186627,4.22254753112793,75420,13,1257.0
64,80347,10.849775314331055,29,0.0008459126528049375,-2.004093625,18.27945899963379,0.0003343709104228765,1.0394582748413086,80448,185,1257.0
68,85375,50.145870208740234,28,0.0008459126528049375,-1.9964172352941176,24.684162139892578,0.0001764849730534479,0.8247591853141785,85476,367,1257.0
