time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,3987,512,,,,,,,,,,,,,
0,2,1869,1024,-0.02959290746366605,0.9994913339614868,-43.9723641872406,0.24014769168570638,0.0004092704424510632,0.2,0.242431640625,0.07047104835510254,16,-0.03546043112874031,0.016866874,,
0,3,1590,1536,-0.038733154331566766,0.9984614253044128,-43.958542227745056,0.0054892529515200295,0.0004092704424510632,0.2,0.343994140625,-0.01567208766937256,32,-0.05933244898915291,0.024927799,-3.013715,1257.0
1,4,1483,2048,-0.028780078759155003,0.9964279532432556,-43.9051331281662,0.009204630288877524,0.0004092704424510632,0.2,0.3541259765625,-0.0004361867904663086,48,-0.040165793150663376,0.030831486,-3.013715,1257.0
1,5,1375,2560,-0.025522399344481528,0.9959478974342346,-43.86350166797638,0.004323004315665457,0.0004092704424510632,0.2,0.2603759765625,0.0006502866744995117,64,-0.03790520876646042,0.017697582,-2.922511,1257.0
2,6,1346,3072,-0.028486282128142193,0.9946793913841248,-43.84422731399536,0.0028195349077577703,0.0004092704424510632,0.2,0.2969970703125,0.009476244449615479,80,-0.04309256374835968,0.019864688,-2.922511,1257.0
2,7,1330,3584,-0.03020371653838083,0.9941800832748413,-43.806764364242554,0.0023436772062268574,0.0004092704424510632,0.2,0.2813720703125,0.00844651460647583,96,-0.041105058044195175,0.018719714,-2.922511,1257.0
3,8,1314,4096,-0.02838883813819848,0.9934789538383484,-43.79438662528992,0.0038660479185637087,0.0004092704424510632,0.2,0.291259765625,-0.0003057718276977539,112,-0.034790560603141785,0.019605033,-2.9875946666666664,1257.0
3,9,1305,4608,-0.03182820847723633,0.9944679141044617,-43.78548574447632,0.01622696890262887,0.0004092704424510632,0.2,0.3604736328125,0.0016828179359436035,128,-0.028185050934553146,0.03607352,-2.9875946666666664,1257.0
3,10,1298,5120,-0.02143252402311191,0.9948154091835022,-43.81751298904419,0.0053784248666488566,0.0004092704424510632,0.2,0.2254638671875,-0.004495143890380859,144,-0.022531723603606224,0.014913108,-3.0369444999999997,1257.0
4,11,1292,5632,-0.03492981381714344,0.995956540107727,-43.83413887023926,0.033920527377631515,0.0004092704424510632,0.2,0.348876953125,0.0019878745079040527,160,-0.010078481398522854,0.028189976,-3.0369444999999997,1257.0
4,12,1287,6144,-0.02795548932044767,0.9969100952148438,-43.8691463470459,0.00236376380053116,0.0004092704424510632,0.2,0.2525634765625,-0.02554929256439209,176,-0.032134003937244415,0.022391822,-3.0369444999999997,1257.0
5,13,1283,6656,-0.02530128273065202,0.9971398115158081,-43.88798236846924,0.0034159070637542754,0.0004092704424510632,0.2,0.2410888671875,-0.0051871538162231445,192,-0.02991645038127899,0.015676357,-3.0372193999999997,1257.0
5,14,1280,7168,-0.024528850830392912,0.9959136247634888,-43.87446141242981,0.04009589436464012,0.0004092704424510632,0.2,0.25732421875,0.0026667118072509766,208,-0.013076070696115494,0.02042238,-3.0372193999999997,1257.0
6,15,1275,7680,-0.02840735971403774,0.9955567121505737,-43.840911507606506,0.004145238548517227,0.0004092704424510632,0.2,0.2528076171875,-0.04445791244506836,224,-0.04146997258067131,0.01567022,-3.0021723333333328,1257.0
6,16,1272,8192,-0.0317073043261189,0.9946791529655457,-43.83023178577423,0.06013233424164355,0.0004092704424510632,0.2,0.31494140625,0.0023031234741210938,240,-0.006150979548692703,0.03454671,-3.0021723333333328,1257.0
6,17,1268,8704,-0.030375948816072196,0.9962360262870789,-43.826446771621704,0.004103268911421765,0.0004092704424510632,0.2,0.2891845703125,-0.04737389087677002,256,-0.03958192840218544,0.019719198,-3.0021723333333328,1257.0
7,18,1266,9216,-0.027746003936044872,0.9981902241706848,-43.88837265968323,0.0033153471631521825,0.0004092704424510632,0.2,0.2625732421875,0.0006231069564819336,272,-0.04458898305892944,0.021361087,-3.0407109999999995,1257.0
7,19,1264,9728,-0.03156325966119766,0.9982466101646423,-43.925350308418274,0.07376627100165933,0.0004092704424510632,0.2,0.3228759765625,0.002821505069732666,288,-0.0037139058113098145,0.029913824,-3.0407109999999995,1257.0
8,20,1263,10240,-0.027747010099119507,0.9981128573417664,-43.9183269739151,0.00470794861757895,0.0004092704424510632,0.2,0.25634765625,-0.10060155391693115,304,-0.030422179028391838,0.015729375,-3.072013375,1257.0
8,21,1262,10752,-0.02527281508082524,0.9980282783508301,-43.91866362094879,0.08432493824511766,0.0004092704424510632,0.2,0.2686767578125,0.0029162168502807617,320,0.009756464511156082,0.018841911,-3.072013375,1257.0
8,22,1261,11264,-0.024616051639895886,0.9980553388595581,-43.91456890106201,0.003299249627161771,0.0004092704424510632,0.2,0.22314453125,-0.49085474014282227,336,-0.03961842879652977,0.018025845,-3.072013375,1257.0
9,23,1260,11776,-0.028220985201187432,0.999000072479248,-43.92481017112732,0.00209833478947985,0.0004092704424510632,0.2,0.2384033203125,0.0022370219230651855,352,-0.04268494248390198,0.02043239,-3.0679964444444447,1257.0
9,24,1259,12288,-0.024026988772675395,0.9996387958526611,-43.95207905769348,0.10134653421118855,0.0004092704424510632,0.2,0.2352294921875,0.001296401023864746,368,0.02411763370037079,0.03012591,-3.0679964444444447,1257.0
10,25,1258,12800,-0.027471764231449924,0.9995335340499878,-43.96027457714081,0.005937203481153119,0.0004092704424510632,0.2,0.2518310546875,-0.048331260681152344,384,-0.039995186030864716,0.017320842,-3.0691011,1257.0
10,26,1257,13312,-0.02898671111324802,1.0002171993255615,-43.96518540382385,0.110910355579108,0.0004092704424510632,0.2,0.2706298828125,0.003719627857208252,400,0.004492301493883133,0.023625301,-3.0691011,1257.0
11,27,1256,13824,-0.023836636333726346,0.9999591708183289,-43.97102999687195,0.004129044544242788,0.0004092704424510632,0.2,0.21923828125,-0.4234497547149658,416,-0.03552671894431114,0.013738168,-3.0691011,1257.0
11,28,1255,14336,-0.02855834514775779,0.998974084854126,-43.95425581932068,0.002059105219814228,0.0004092704424510632,0.2,0.2587890625,0.010534942150115967,432,-0.043104737997055054,0.017218716,-3.05834,1257.0
11,29,1254,14848,-0.02176896869787015,0.9993576407432556,-43.9357727766037,0.026545039014308713,0.0004092704424510632,0.2,0.283447265625,0.0016410350799560547,448,-0.018388140946626663,0.03038191,-3.05834,1257.0
12,30,1253,15360,-0.025432526774238795,0.9989914894104004,-43.94254744052887,0.005767936163465492,0.0004092704424510632,0.2,0.2305908203125,-0.0009900331497192383,464,-0.044843852519989014,0.018179178,-3.0437369166666666,1257.0
12,31,1253,15872,-0.027089127732324414,0.9982664585113525,-43.91934525966644,0.14964959188364446,0.0004092704424510632,0.2,0.250244140625,0.0040395259857177734,480,0.00402875617146492,0.023663443,-3.0437369166666666,1257.0
13,32,1252,16384,-0.024314685972058214,0.9983065724372864,-43.90594291687012,0.006299201268120669,0.0004092704424510632,0.2,0.1922607421875,-0.5239009857177734,496,-0.038819652050733566,0.01306437,-3.0525222307692306,1257.0
13,33,1251,16896,-0.02651163804694079,0.999406635761261,-43.92817211151123,0.12668535951524973,0.0004092704424510632,0.2,0.285400390625,0.005494594573974609,512,0.027056388556957245,0.022808436,-3.0525222307692306,1257.0
13,34,1250,17408,-0.027088900067610666,0.9993681311607361,-43.94345307350159,0.0066288421003264375,0.0004092704424510632,0.2,0.2188720703125,-0.46286511421203613,528,-0.03945819288492203,0.016996196,-3.0525222307692306,1257.0
14,35,1250,17920,-0.029197285854024813,0.9985724687576294,-43.93343460559845,0.0055172440625028685,0.0004092704424510632,0.2,0.242431640625,-0.09483575820922852,544,-0.04646923020482063,0.021986313,-3.074263857142857,1257.0
14,36,1250,18432,-0.022298335243249312,0.9995318651199341,-43.92168855667114,0.13260430842638016,0.0004092704424510632,0.2,0.2076416015625,0.018797099590301514,560,0.023823214694857597,0.021582037,-3.074263857142857,1257.0
