time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates,train/loss,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
0,1,3920,512,,,,,,,,,,,,,
0,2,1847,1024,-0.03056764068605844,0.9998329877853394,-43.98330295085907,0.12095024329028092,0.0004092704424510632,0.2,0.2734375,-0.14076411724090576,16,-0.03432617709040642,0.015580634,,
0,3,1589,1536,-0.03296516877890099,1.0001578330993652,-43.98371350765228,0.005014663620386273,0.0004092704424510632,0.2,0.3026123046875,-0.025565624237060547,32,-0.05060591176152229,0.020332854,-2.975168,1257.0
1,4,1484,2048,-0.035541736710001715,1.001111388206482,-44.0032320022583,0.011822465981822461,0.0004092704424510632,0.2,0.370361328125,0.016376137733459473,48,-0.03618503734469414,0.02566233,-2.975168,1257.0
1,5,1429,2560,-0.02134691680839751,1.0006182193756104,-44.01677989959717,0.004487607118790038,0.0004092704424510632,0.2,0.213134765625,-0.0006254911422729492,64,-0.032942164689302444,0.015271079,-3.044328,1257.0
2,6,1391,3072,-0.029506084159947932,1.0012587308883667,-44.00873637199402,0.008625141184893437,0.0004092704424510632,0.2,0.3052978515625,0.009271681308746338,80,-0.034832801669836044,0.020591594,-3.044328,1257.0
2,7,1369,3584,-0.025925950867531355,1.003826379776001,-44.055683970451355,0.0031130843381106388,0.0004092704424510632,0.2,0.261962890625,1.9073486328125e-05,96,-0.03728097304701805,0.015387813,-3.044328,1257.0
3,8,1353,4096,-0.022943350777495652,1.004619836807251,-44.117947459220886,0.00531307295022998,0.0004092704424510632,0.2,0.223388671875,-0.0043790340423583984,112,-0.038182079792022705,0.01547228,-3.1165566666666664,1257.0
3,9,1337,4608,-0.025856089603621513,1.00471830368042,-44.124252676963806,0.02986240916652605,0.0004092704424510632,0.2,0.299560546875,0.0027532577514648438,128,-0.02582433819770813,0.025924763,-3.1165566666666664,1257.0
3,10,1326,5120,-0.02639850933337584,1.0052106380462646,-44.13231813907623,0.00602479481312912,0.0004092704424510632,0.2,0.276611328125,-0.007720589637756348,144,-0.0454651303589344,0.01845245,-3.1282815,1257.0
4,11,1319,5632,-0.027119815786136314,1.0047214031219482,-44.13369286060333,0.03740863170241937,0.0004092704424510632,0.2,0.292236328125,0.004533827304840088,160,-0.012846939265727997,0.019654801,-3.1282815,1257.0
4,12,1312,6144,-0.02986765978857875,1.004745364189148,-44.11518967151642,0.0034668158732529264,0.0004092704424510632,0.2,0.2666015625,-0.1661447286605835,176,-0.039276424795389175,0.018152133,-3.1282815,1257.0
5,13,1306,6656,-0.0263885457534343,1.0052611827850342,-44.12526774406433,0.003564935839676764,0.0004092704424510632,0.2,0.2379150390625,-0.005255579948425293,192,-0.04540453106164932,0.01857536,-3.1173232,1257.0
5,14,1301,7168,-0.026325298982555978,1.0048928260803223,-44.136096835136414,0.053921553189866245,0.0004092704424510632,0.2,0.2520751953125,0.0023630261421203613,208,0.002131786197423935,0.022154305,-3.1173232,1257.0
5,15,1296,7680,-0.03219510326744057,1.0059539079666138,-44.134241819381714,0.005271381385682616,0.0004092704424510632,0.2,0.25732421875,-0.0107804536819458,224,-0.04587496817111969,0.016599257,-3.1201594999999998,1257.0
6,16,1292,8192,-0.026222807733574882,1.0055357217788696,-44.155747294425964,0.0676497669192031,0.0004092704424510632,0.2,0.2613525390625,0.002257406711578369,240,-0.011360988020896912,0.014457588,-3.1201594999999998,1257.0
6,17,1288,8704,-0.022795698838308454,1.0045493841171265,-44.12499678134918,0.0036079053606954403,0.0004092704424510632,0.2,0.246337890625,-0.09499573707580566,256,-0.02244475670158863,0.021406885,-3.1201594999999998,1257.0
7,18,1282,9216,-0.028303899278398603,1.0040018558502197,-44.10248351097107,0.0027710211979865562,0.0004092704424510632,0.2,0.26171875,-0.005510210990905762,272,-0.04998866468667984,0.020631496,-3.106980857142857,1257.0
7,19,1280,9728,-0.031111587159102783,1.0050729513168335,-44.10240721702576,0.08293809369206429,0.0004092704424510632,0.2,0.2742919921875,0.0021744966506958008,288,0.008747141808271408,0.024807291,-3.106980857142857,1257.0
8,20,1277,10240,-0.026845944084925577,1.0062419176101685,-44.138384222984314,0.005848956890986301,0.0004092704424510632,0.2,0.2218017578125,-0.07288169860839844,304,-0.04048261046409607,0.0204929,-3.10136,1257.0
8,21,1276,10752,-0.03210436584777199,1.0063984394073486,-44.16145992279053,0.08556539472192526,0.0004092704424510632,0.2,0.300537109375,0.0008255243301391602,320,-0.007279552519321442,0.030848008,-3.10136,1257.0
8,22,1274,11264,-0.0224786706676241,1.0042316913604736,-44.13270115852356,0.004767313628690317,0.0004092704424510632,0.2,0.198486328125,-0.5657244920730591,336,-0.04256832227110863,0.015041861,-3.10136,1257.0
9,23,1272,11776,-0.020116161889745854,1.003029465675354,-44.06628739833832,0.0025687820234452374,0.0004092704424510632,0.2,0.214599609375,-0.0016793012619018555,352,-0.0323103629052639,0.019437836,-3.1139654444444442,1257.0
9,24,1270,12288,-0.025384920969372615,1.0039161443710327,-44.06499218940735,0.11471538036130369,0.0004092704424510632,0.2,0.2442626953125,0.0006027817726135254,368,0.01178601011633873,0.029093174,-3.1139654444444442,1257.0
10,25,1269,12800,-0.023079479055013508,1.003314733505249,-44.07468342781067,0.006020150889526121,0.0004092704424510632,0.2,0.1968994140625,-0.013951778411865234,384,-0.026552598923444748,0.016711395,-3.1066656999999998,1257.0
10,26,1267,13312,-0.027856379776494578,1.0033832788467407,-44.0568927526474,0.14453968848101795,0.0004092704424510632,0.2,0.25927734375,0.002065002918243408,400,0.03762105107307434,0.024677804,-3.1066656999999998,1257.0
10,27,1266,13824,-0.025563933508237824,1.0028693675994873,-44.05357110500336,0.005213466996792704,0.0004092704424510632,0.2,0.1971435546875,-0.44182848930358887,416,-0.038315534591674805,0.014029476,-3.1066656999999998,1257.0
11,28,1264,14336,-0.024024335099966265,1.0006529092788696,-44.0089054107666,0.001816576050259755,0.0004092704424510632,0.2,0.2001953125,0.004766702651977539,432,-0.03747646138072014,0.014680188,-3.0995804545454546,1257.0
