time/episodes,rollout/ep_rew_mean,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/learning_rate,time/fps,time/total_timesteps,train/ent_coef_loss,train/ent_coef
4,-4.356272499999999,4927,43.95096206665039,1257.0,75,-120.5694351196289,0.0008459126528049375,66,5028,-171.00408935546875,0.017404062673449516
8,-3.4159224999999998,9955,11.472612380981445,1257.0,153,-123.49327087402344,0.0008459126528049375,65,10056,-82.04039001464844,0.0014218294527381659
12,-2.8623076666666663,14983,1.5386990308761597,1257.0,231,-122.45205688476562,0.0008459126528049375,65,15084,40.84551239013672,0.0004713259113486856
16,-2.46300125,20011,3.781019449234009,1257.0,308,-100.66284942626953,0.0008459126528049375,65,20112,-41.313594818115234,0.0010053543373942375
20,-2.28975105,25039,4.682956695556641,1257.0,2,-91.55448913574219,0.0008459126528049375,66,25140,101.50740814208984,0.0006612663273699582
24,-2.146972125,30067,1.3791861534118652,1257.0,79,-81.91455841064453,0.0008459126528049375,65,30168,-17.447378158569336,0.0006913874531164765
28,-2.0307174642857144,35095,7.300025939941406,1257.0,156,-70.65666198730469,0.0008459126528049375,65,35196,31.76300048828125,0.00034233162296004593
32,-1.9364262187499999,40123,2.331069231033325,1257.0,234,-67.56253051757812,0.0008459126528049375,64,40224,17.234636306762695,0.0005911703337915242
36,-1.8567988333333334,45151,1.0504262447357178,1257.0,308,-65.65096282958984,0.0008459126528049375,65,45252,-7.696665287017822,0.0002485250879544765
40,-1.799926925,50179,2.7711942195892334,1257.0,4,-63.288612365722656,0.0008459126528049375,69,50280,-18.007875442504883,0.0004401181067805737
44,-1.7493162045454544,55207,1.5489214658737183,1257.0,77,-55.29816818237305,0.0008459126528049375,68,55308,-26.04296112060547,0.0006574018043465912
48,-1.7433815833333333,60235,1.5766518115997314,1257.0,150,-53.280845642089844,0.0008459126528049375,68,60336,66.1772232055664,0.00060441461391747
52,-1.736828538461538,65263,1.363122582435608,1257.0,225,-52.76301574707031,0.0008459126528049375,68,65364,35.313232421875,0.0006973764975555241
56,-1.7099418392857142,70291,2.5223026275634766,1257.0,303,-49.607547760009766,0.0008459126528049375,67,70392,-34.28654098510742,0.0007167942821979523
60,-1.6862567833333335,75319,1.0785653591156006,1257.0,7,-43.70387268066406,0.0008459126528049375,59,75420,54.37056350708008,0.00035568539169616997
64,-1.646476453125,80347,27.856258392333984,1257.0,89,-34.95997619628906,0.0008459126528049375,60,80448,125.63668823242188,0.0013571105664595962
68,-1.6157848970588233,85375,2.9755005836486816,1257.0,172,-27.51974868774414,0.0008459126528049375,60,85476,-38.39834213256836,0.0006116684526205063
72,-1.5771282777777778,90403,2.0458340644836426,1257.0,254,-25.66399574279785,0.0008459126528049375,60,90504,25.7015438079834,0.0005106676835566759
76,-1.5568604342105261,95431,2.3912415504455566,1257.0,335,-8.293680191040039,0.0008459126528049375,61,95532,-12.965373992919922,0.0007029395783320069
