time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
17,8704,4,1929,0.002888704839278944,0.021915954,0.267578125,-43.698092341423035,0.0004092704424510632,0.5566484928131104,0.2,-0.02791320802498376,-0.03652168810367584,256,0.9914807081222534,-2.4614815,1258.0
18,9216,4,1925,0.003113421222224133,0.02019991,0.2437744140625,-43.675668358802795,0.0004092704424510632,0.13940978050231934,0.2,-0.02614025812363252,-0.04240802302956581,272,0.9887653589248657,-2.4830074285714288,1258.0
19,9728,5,1922,0.04737176885828376,0.01582126,0.2388916015625,-43.607452154159546,0.0004092704424510632,0.004147946834564209,0.2,-0.02821724396198988,-0.01358969509601593,288,0.988593578338623,-2.4830074285714288,1258.0
20,10240,5,1913,0.0021098509496368933,0.028889738,0.281494140625,-43.59644687175751,0.0004092704424510632,0.6485412120819092,0.2,-0.02973174066573847,-0.03461649268865585,304,0.9873167872428894,-2.4739745,1258.0
21,10752,5,1906,0.05057887628208846,0.03261815,0.2874755859375,-43.563942074775696,0.0004092704424510632,0.10301399230957031,0.2,-0.032612066221190616,-0.026428528130054474,320,0.9867455959320068,-2.4739745,1258.0
22,11264,5,1900,0.0030920877288735937,0.023544818,0.2301025390625,-43.53964829444885,0.0004092704424510632,0.7157942652702332,0.2,-0.025010182231198996,-0.031453244388103485,336,0.9861119389533997,-2.4739745,1258.0
23,11776,6,1896,0.004295579674362671,0.016186506,0.2452392578125,-43.56231737136841,0.0004092704424510632,0.0484653115272522,0.2,-0.028097846858145203,-0.04097479581832886,352,0.988487958908081,-2.4625544444444447,1258.0
24,12288,6,1897,0.06704484077636153,0.027813898,0.27734375,-43.628910183906555,0.0004092704424510632,0.008369863033294678,0.2,-0.023699333396507427,-0.008578997105360031,368,0.9893250465393066,-2.4625544444444447,1258.0
25,12800,6,1897,0.002214117797848303,0.014067978,0.16357421875,-43.62107479572296,0.0004092704424510632,0.35353249311447144,0.2,-0.01773643374326639,-0.02578480914235115,384,0.988324761390686,-2.4548176,1258.0
26,13312,7,1895,0.05940600868780166,0.018816914,0.2410888671875,-43.569385051727295,0.0004092704424510632,0.18052935600280762,0.2,-0.026292204463970847,-0.011487334966659546,400,0.9862106442451477,-2.4548176,1258.0
27,13824,7,1895,0.00566264984809095,0.016524732,0.1798095703125,-43.55092656612396,0.0004092704424510632,0.5145118236541748,0.2,-0.020208504152833484,-0.029699411243200302,416,0.9879526495933533,-2.4548176,1258.0
28,14336,7,1895,0.005364817043300718,0.023206202,0.2728271484375,-43.5843768119812,0.0004092704424510632,0.406951904296875,0.2,-0.029960574189317413,-0.030822142958641052,432,0.9867615103721619,-2.450761181818182,1258.0
29,14848,7,1896,0.02843507070792839,0.035555195,0.3056640625,-43.51134979724884,0.0004092704424510632,0.2548319101333618,0.2,-0.024583778947999235,-0.019915448501706123,448,0.9843831062316895,-2.450761181818182,1258.0
30,15360,8,1895,0.007593009067932144,0.02229929,0.256591796875,-43.469980359077454,0.0004092704424510632,-0.0399017333984375,0.2,-0.028299130804953165,-0.034734394401311874,464,0.984462320804596,-2.447074666666667,1258.0
31,15872,8,1892,0.06622612883802503,0.016781788,0.250244140625,-43.4901180267334,0.0004092704424510632,0.1823367476463318,0.2,-0.023695409909123555,0.000967223197221756,480,0.9850975275039673,-2.447074666666667,1258.0
32,16384,8,1891,0.009443600079976022,0.015558254,0.2471923828125,-43.475178480148315,0.0004092704424510632,0.30961960554122925,0.2,-0.02711901906877756,-0.034201934933662415,496,0.9832562208175659,-2.436164153846154,1258.0
33,16896,8,1888,0.06545863952487707,0.0314445,0.2945556640625,-43.43407428264618,0.0004092704424510632,0.22647756338119507,0.2,-0.030076457507675514,-0.0038495250046253204,512,0.9833009839057922,-2.436164153846154,1258.0
34,17408,9,1887,0.011160856840433553,0.02244529,0.2901611328125,-43.451419830322266,0.0004092704424510632,-0.23563039302825928,0.2,-0.028161351059679873,-0.03548223525285721,528,0.9837084412574768,-2.436164153846154,1258.0
