time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
1,512,0,4170,,,,,,,,,,,,,
2,1024,0,2351,0.09935710035642842,0.022022273,0.27783203125,-43.979811668395996,0.0004092704424510632,-0.9504337310791016,0.2,-0.034085846004018094,-0.04217997193336487,16,0.9995706677436829,,
3,1536,0,2073,0.0027157332078786567,0.022214087,0.292724609375,-43.956014752388,0.0004092704424510632,0.013709783554077148,0.2,-0.02816842106403783,-0.030320249497890472,32,0.998475968837738,-2.472336,1258.0
4,2048,1,1959,0.0074831834936048836,0.01937755,0.258544921875,-43.92021834850311,0.0004092704424510632,0.014014720916748047,0.2,-0.024706143885850906,-0.03198302909731865,48,0.9972801804542542,-2.472336,1258.0
5,2560,1,1899,0.003966493568441365,0.022124756,0.3021240234375,-43.89721381664276,0.0004092704424510632,0.09758883714675903,0.2,-0.03413201915100217,-0.047166187316179276,64,0.9972673654556274,-2.5157185,1258.0
6,3072,1,1862,0.014989905816037208,0.019538619,0.300537109375,-43.87750029563904,0.0004092704424510632,0.029779791831970215,0.2,-0.02609708928503096,-0.023959364742040634,80,0.9955800771713257,-2.5157185,1258.0
7,3584,1,1840,0.002431689623335842,0.018084547,0.2847900390625,-43.82395648956299,0.0004092704424510632,0.1490473747253418,0.2,-0.03119145453820238,-0.042790405452251434,96,0.9943680167198181,-2.5157185,1258.0
8,4096,2,1820,0.002099616398481885,0.016889226,0.2579345703125,-43.8072292804718,0.0004092704424510632,0.21490204334259033,0.2,-0.026720667257905006,-0.03965158015489578,112,0.9946174025535583,-2.4380033333333335,1258.0
9,4608,2,1806,0.02560133161023259,0.018167837,0.2835693359375,-43.80410611629486,0.0004092704424510632,0.033099353313446045,0.2,-0.030760076479054987,-0.03740669786930084,128,0.9935055375099182,-2.4380033333333335,1258.0
10,5120,2,1790,0.003002019519044552,0.019530248,0.29345703125,-43.74741089344025,0.0004092704424510632,0.5709063410758972,0.2,-0.03372484998544678,-0.044040415436029434,144,0.9914889335632324,-2.4597,1258.0
